sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
153655874.40000000,1492779.11226595,873791795.38111520,2026-07-28 20:00:00
155043386.80000000,1516324.32290400,873791795.38111520,2026-07-28 21:00:00
152348984.00000000,1503684.47208000,873791795.38111520,2026-07-28 22:00:00
151049101.40000000,1490854.63081800,873791795.38111520,2026-07-28 23:00:00
150592712.00000000,1481832.28608000,873791795.38111520,2026-07-29 00:00:00
150868884.10000000,1484549.81954400,873791795.38111520,2026-07-29 01:00:00
151147859.30000000,1469863.05289893,873791795.38111520,2026-07-29 02:00:00
151927553.90000000,1475076.77501941,873791795.38111520,2026-07-29 03:00:00
150887932.20000000,1433774.85374745,873791795.38111520,2026-07-29 04:00:00
151773989.20000000,1442598.10768697,873791795.38111520,2026-07-29 05:00:00
152754457.70000000,1453412.83867819,873791795.38111520,2026-07-29 06:00:00
151794881.80000000,1452677.01882600,873791795.38111520,2026-07-29 07:00:00
152050172.60000000,1455784.61103626,873791795.38111520,2026-07-29 08:00:00
152302842.80000000,1450675.43949943,873791795.38111520,2026-07-29 09:00:00
152130630.10000000,1456650.78320750,873791795.38111520,2026-07-29 10:00:00
152570116.30000000,1457737.27899300,873791795.38111520,2026-07-29 11:00:00
152508105.60000000,1457204.27344061,873791795.38111520,2026-07-29 12:00:00
153667798.00000000,1460572.46636252,873791795.38111520,2026-07-29 13:00:00
153213695.50000000,1493047.54486709,873791795.38111520,2026-07-29 14:00:00
151930975.90000000,1471480.36847692,873791795.38111520,2026-07-29 15:00:00
150490117.60000000,1443295.03655809,873791795.38111520,2026-07-29 16:00:00
149614773.50000000,1456523.75838626,873791795.38111520,2026-07-29 17:00:00
149810675.90000000,1486848.48670612,873791795.38111520,2026-07-29 18:00:00
151610194.10000000,1511861.40387102,873791795.38111520,2026-07-29 19:00:00
151888329.60000000,1500910.34995843,873791795.38111520,2026-07-29 20:00:00
152415725.50000000,1486853.50618388,873791795.38111520,2026-07-29 21:00:00
151754438.40000000,1509454.35488890,873791795.38111520,2026-07-29 22:00:00
151255400.70000000,1520116.77703500,873791795.38111520,2026-07-29 23:00:00
150808357.70000000,1499798.16582796,873791795.38111520,2026-07-30 00:00:00
150018668.30000000,1484451.22488201,873791795.38111520,2026-07-30 01:00:00
149666313.30000000,1503284.37070039,873791795.38111520,2026-07-30 02:00:00
149904097.10000000,1491545.76614500,873791795.38111520,2026-07-30 03:00:00
150137838.80000000,1482618.66504194,873791795.38111520,2026-07-30 04:00:00
150144877.30000000,1478927.04140500,873791795.38111520,2026-07-30 05:00:00
151117511.70000000,1480555.68677935,873791795.38111520,2026-07-30 06:00:00
151682265.90000000,1480418.91518400,873791795.38111520,2026-07-30 07:00:00
152051856.90000000,1473548.22988502,873791795.38111520,2026-07-30 08:00:00
152704009.40000000,1470539.61052200,873791795.38111520,2026-07-30 09:00:00
151719378.00000000,1470160.77282000,873791795.38111520,2026-07-30 10:00:00
151631846.50000000,1465911.49026801,873791795.38111520,2026-07-30 11:00:00
152567613.60000000,1482729.87844774,873791795.38111520,2026-07-30 12:00:00
152971193.70000000,1482290.86695300,873791795.38111520,2026-07-30 13:00:00
153175822.30000000,1497986.01769930,873791795.38111520,2026-07-30 14:00:00
