longAccount,longShortRatio,shortAccount,time
0.7291,2.6914,0.2709,2026-07-28 20:00:00
0.7076,2.4195,0.2924,2026-07-28 21:00:00
0.7071,2.4138,0.2929,2026-07-28 22:00:00
0.7028,2.3651,0.2972,2026-07-28 23:00:00
0.7022,2.3580,0.2978,2026-07-29 00:00:00
0.7030,2.3671,0.2970,2026-07-29 01:00:00
0.7047,2.3859,0.2953,2026-07-29 02:00:00
0.7110,2.4600,0.2890,2026-07-29 03:00:00
0.7120,2.4728,0.2880,2026-07-29 04:00:00
0.7119,2.4710,0.2881,2026-07-29 05:00:00
0.7141,2.4973,0.2859,2026-07-29 06:00:00
0.7144,2.5009,0.2856,2026-07-29 07:00:00
0.7161,2.5218,0.2839,2026-07-29 08:00:00
0.7162,2.5230,0.2838,2026-07-29 09:00:00
0.7166,2.5292,0.2834,2026-07-29 10:00:00
0.7171,2.5352,0.2829,2026-07-29 11:00:00
0.7170,2.5340,0.2830,2026-07-29 12:00:00
0.7184,2.5507,0.2816,2026-07-29 13:00:00
0.7145,2.5027,0.2855,2026-07-29 14:00:00
0.7115,2.4658,0.2885,2026-07-29 15:00:00
0.7100,2.4485,0.2900,2026-07-29 16:00:00
0.7116,2.4679,0.2884,2026-07-29 17:00:00
0.7091,2.4381,0.2909,2026-07-29 18:00:00
0.7056,2.3966,0.2944,2026-07-29 19:00:00
0.7075,2.4184,0.2925,2026-07-29 20:00:00
0.7081,2.4263,0.2919,2026-07-29 21:00:00
0.7084,2.4295,0.2916,2026-07-29 22:00:00
0.7081,2.4258,0.2919,2026-07-29 23:00:00
0.7075,2.4183,0.2925,2026-07-30 00:00:00
0.7078,2.4222,0.2922,2026-07-30 01:00:00
0.7057,2.3974,0.2943,2026-07-30 02:00:00
0.7019,2.3545,0.2981,2026-07-30 03:00:00
0.7034,2.3719,0.2966,2026-07-30 04:00:00
0.7049,2.3890,0.2951,2026-07-30 05:00:00
0.7045,2.3837,0.2955,2026-07-30 06:00:00
0.7028,2.3643,0.2972,2026-07-30 07:00:00
0.7034,2.3711,0.2966,2026-07-30 08:00:00
0.7027,2.3634,0.2973,2026-07-30 09:00:00
0.7012,2.3467,0.2988,2026-07-30 10:00:00
0.7010,2.3450,0.2990,2026-07-30 11:00:00
0.7014,2.3492,0.2986,2026-07-30 12:00:00
0.7017,2.3524,0.2983,2026-07-30 13:00:00
0.7021,2.3573,0.2979,2026-07-30 14:00:00
0.7042,2.3806,0.2958,2026-07-30 15:00:00
0.7038,2.3764,0.2962,2026-07-30 16:00:00
0.7062,2.4036,0.2938,2026-07-30 17:00:00
0.7052,2.3919,0.2948,2026-07-30 18:00:00
0.7062,2.4041,0.2938,2026-07-30 19:00:00
0.7060,2.4010,0.2940,2026-07-30 20:00:00
0.7041,2.3798,0.2959,2026-07-30 21:00:00
0.7050,2.3895,0.2950,2026-07-30 22:00:00
0.7058,2.3989,0.2942,2026-07-30 23:00:00
0.7057,2.3983,0.2943,2026-07-31 00:00:00
0.7058,2.3987,0.2942,2026-07-31 01:00:00
0.7052,2.3925,0.2948,2026-07-31 02:00:00
0.7064,2.4060,0.2936,2026-07-31 03:00:00
0.7062,2.4039,0.2938,2026-07-31 04:00:00
0.7076,2.4194,0.2924,2026-07-31 05:00:00
0.7082,2.4268,0.2918,2026-07-31 06:00:00
0.7088,2.4335,0.2912,2026-07-31 07:00:00
0.7103,2.4515,0.2897,2026-07-31 08:00:00
0.7136,2.4914,0.2864,2026-07-31 09:00:00
0.7133,2.4881,0.2867,2026-07-31 10:00:00
0.7132,2.4868,0.2868,2026-07-31 11:00:00
0.7127,2.4811,0.2873,2026-07-31 12:00:00
0.7095,2.4419,0.2905,2026-07-31 13:00:00
0.7084,2.4290,0.2916,2026-07-31 14:00:00
0.7066,2.4086,0.2934,2026-07-31 15:00:00
0.7067,2.4093,0.2933,2026-07-31 16:00:00
0.7049,2.3888,0.2951,2026-07-31 17:00:00
0.7059,2.4003,0.2941,2026-07-31 18:00:00
0.7059,2.4006,0.2941,2026-07-31 19:00:00
0.7068,2.4105,0.2932,2026-07-31 20:00:00
0.7058,2.3991,0.2942,2026-07-31 21:00:00
0.7051,2.3906,0.2949,2026-07-31 22:00:00
0.7044,2.3829,0.2956,2026-07-31 23:00:00
0.7051,2.3906,0.2949,2026-08-01 00:00:00
0.7056,2.3970,0.2944,2026-08-01 01:00:00
0.7097,2.4449,0.2903,2026-08-01 02:00:00
0.7106,2.4559,0.2894,2026-08-01 03:00:00
0.7098,2.4457,0.2902,2026-08-01 04:00:00
0.7092,2.4392,0.2908,2026-08-01 05:00:00
0.7094,2.4415,0.2906,2026-08-01 06:00:00
0.7111,2.4611,0.2889,2026-08-01 07:00:00
0.7113,2.4633,0.2887,2026-08-01 08:00:00
0.7096,2.4434,0.2904,2026-08-01 09:00:00
0.7066,2.4078,0.2934,2026-08-01 10:00:00
0.7084,2.4298,0.2916,2026-08-01 11:00:00
0.7089,2.4350,0.2911,2026-08-01 12:00:00
0.7108,2.4581,0.2892,2026-08-01 13:00:00
0.7107,2.4567,0.2893,2026-08-01 14:00:00
0.7115,2.4661,0.2885,2026-08-01 15:00:00
0.7129,2.4827,0.2871,2026-08-01 16:00:00
0.7115,2.4660,0.2885,2026-08-01 17:00:00
0.7092,2.4391,0.2908,2026-08-01 18:00:00
