longAccount,longShortRatio,shortAccount,time
0.6506,1.8620,0.3494,2026-07-28 20:00:00
0.6499,1.8563,0.3501,2026-07-28 21:00:00
0.6442,1.8106,0.3558,2026-07-28 22:00:00
0.5274,1.1160,0.4726,2026-07-28 23:00:00
0.5256,1.1079,0.4744,2026-07-29 00:00:00
0.5238,1.1000,0.4762,2026-07-29 01:00:00
0.5256,1.1079,0.4744,2026-07-29 02:00:00
0.5131,1.0538,0.4869,2026-07-29 03:00:00
0.5200,1.0833,0.4800,2026-07-29 04:00:00
0.5838,1.4027,0.4162,2026-07-29 05:00:00
0.5797,1.3793,0.4203,2026-07-29 06:00:00
0.5789,1.3747,0.4211,2026-07-29 07:00:00
0.5727,1.3403,0.4273,2026-07-29 08:00:00
0.5720,1.3364,0.4280,2026-07-29 09:00:00
0.5612,1.2789,0.4388,2026-07-29 10:00:00
0.5633,1.2899,0.4367,2026-07-29 11:00:00
0.5616,1.2810,0.4384,2026-07-29 12:00:00
0.5564,1.2543,0.4436,2026-07-29 13:00:00
0.5519,1.2316,0.4481,2026-07-29 14:00:00
0.5498,1.2212,0.4502,2026-07-29 15:00:00
0.5544,1.2442,0.4456,2026-07-29 16:00:00
0.5506,1.2252,0.4494,2026-07-29 17:00:00
0.5462,1.2036,0.4538,2026-07-29 18:00:00
0.5417,1.1820,0.4583,2026-07-29 19:00:00
0.5454,1.1997,0.4546,2026-07-29 20:00:00
0.5482,1.2134,0.4518,2026-07-29 21:00:00
0.5485,1.2148,0.4515,2026-07-29 22:00:00
0.5372,1.1608,0.4628,2026-07-29 23:00:00
0.5397,1.1725,0.4603,2026-07-30 00:00:00
0.5306,1.1304,0.4694,2026-07-30 01:00:00
0.5347,1.1492,0.4653,2026-07-30 02:00:00
0.5365,1.1575,0.4635,2026-07-30 03:00:00
0.5374,1.1617,0.4626,2026-07-30 04:00:00
0.5366,1.1580,0.4634,2026-07-30 05:00:00
0.5399,1.1734,0.4601,2026-07-30 06:00:00
0.5410,1.1786,0.4590,2026-07-30 07:00:00
0.5460,1.2026,0.4540,2026-07-30 08:00:00
0.5466,1.2056,0.4534,2026-07-30 09:00:00
0.5456,1.2007,0.4544,2026-07-30 10:00:00
0.5529,1.2366,0.4471,2026-07-30 11:00:00
0.5522,1.2331,0.4478,2026-07-30 12:00:00
0.5549,1.2467,0.4451,2026-07-30 13:00:00
0.5587,1.2660,0.4413,2026-07-30 14:00:00
0.5617,1.2815,0.4383,2026-07-30 15:00:00
0.5609,1.2774,0.4391,2026-07-30 16:00:00
0.5601,1.2732,0.4399,2026-07-30 17:00:00
0.5604,1.2748,0.4396,2026-07-30 18:00:00
0.5609,1.2774,0.4391,2026-07-30 19:00:00
0.5582,1.2635,0.4418,2026-07-30 20:00:00
0.5664,1.3063,0.4336,2026-07-30 21:00:00
0.5693,1.3218,0.4307,2026-07-30 22:00:00
0.5735,1.3447,0.4265,2026-07-30 23:00:00
0.5753,1.3546,0.4247,2026-07-31 00:00:00
0.5762,1.3596,0.4238,2026-07-31 01:00:00
0.5740,1.3474,0.4260,2026-07-31 02:00:00
0.5737,1.3458,0.4263,2026-07-31 03:00:00
0.5767,1.3624,0.4233,2026-07-31 04:00:00
0.5788,1.3742,0.4212,2026-07-31 05:00:00
0.5761,1.3590,0.4239,2026-07-31 06:00:00
0.5813,1.3883,0.4187,2026-07-31 07:00:00
0.5844,1.4062,0.4156,2026-07-31 08:00:00
0.5827,1.3964,0.4173,2026-07-31 09:00:00
0.5815,1.3895,0.4185,2026-07-31 10:00:00
0.5804,1.3832,0.4196,2026-07-31 11:00:00
0.5867,1.4195,0.4133,2026-07-31 12:00:00
0.5910,1.4450,0.4090,2026-07-31 13:00:00
0.5953,1.4710,0.4047,2026-07-31 14:00:00
0.5917,1.4492,0.4083,2026-07-31 15:00:00
0.6119,1.5767,0.3881,2026-07-31 16:00:00
0.6152,1.5988,0.3848,2026-07-31 17:00:00
0.6169,1.6103,0.3831,2026-07-31 18:00:00
0.6212,1.6399,0.3788,2026-07-31 19:00:00
0.6173,1.6130,0.3827,2026-07-31 20:00:00
0.6158,1.6028,0.3842,2026-07-31 21:00:00
0.6198,1.6302,0.3802,2026-07-31 22:00:00
0.6142,1.5920,0.3858,2026-07-31 23:00:00
0.6039,1.5246,0.3961,2026-08-01 00:00:00
0.6076,1.5484,0.3924,2026-08-01 01:00:00
0.6100,1.5641,0.3900,2026-08-01 02:00:00
0.6132,1.5853,0.3868,2026-08-01 03:00:00
0.6079,1.5504,0.3921,2026-08-01 04:00:00
0.6085,1.5543,0.3915,2026-08-01 05:00:00
0.6032,1.5202,0.3968,2026-08-01 06:00:00
0.5965,1.4783,0.4035,2026-08-01 07:00:00
0.5958,1.4740,0.4042,2026-08-01 08:00:00
0.5903,1.4408,0.4097,2026-08-01 09:00:00
0.5837,1.4021,0.4163,2026-08-01 10:00:00
0.5836,1.4015,0.4164,2026-08-01 11:00:00
0.5850,1.4096,0.4150,2026-08-01 12:00:00
0.5819,1.3918,0.4181,2026-08-01 13:00:00
0.5860,1.4155,0.4140,2026-08-01 14:00:00
0.5883,1.4290,0.4117,2026-08-01 15:00:00
0.5840,1.4038,0.4160,2026-08-01 16:00:00
0.5794,1.3776,0.4206,2026-08-01 17:00:00
0.5864,1.4178,0.4136,2026-08-01 18:00:00
0.5801,1.3815,0.4199,2026-08-01 19:00:00
0.5678,1.3137,0.4322,2026-08-01 20:00:00
0.5746,1.3507,0.4254,2026-08-01 21:00:00
0.5767,1.3624,0.4233,2026-08-01 22:00:00
0.5810,1.3866,0.4190,2026-08-01 23:00:00
0.5818,1.3912,0.4182,2026-08-02 00:00:00
0.5750,1.3529,0.4250,2026-08-02 01:00:00
0.5695,1.3229,0.4305,2026-08-02 02:00:00
0.5759,1.3579,0.4241,2026-08-02 03:00:00
0.5802,1.3821,0.4198,2026-08-02 04:00:00
0.5794,1.3776,0.4206,2026-08-02 05:00:00
0.5821,1.3929,0.4179,2026-08-02 06:00:00
0.5996,1.4975,0.4004,2026-08-02 07:00:00
0.6034,1.5214,0.3966,2026-08-02 08:00:00
0.5994,1.4963,0.4006,2026-08-02 09:00:00
0.6066,1.5419,0.3934,2026-08-02 10:00:00
0.6052,1.5329,0.3948,2026-08-02 11:00:00
0.6038,1.5240,0.3962,2026-08-02 12:00:00
0.6057,1.5361,0.3943,2026-08-02 13:00:00
0.6013,1.5082,0.3987,2026-08-02 14:00:00
0.6000,1.5000,0.4000,2026-08-02 15:00:00
0.5968,1.4802,0.4032,2026-08-02 16:00:00
0.5932,1.4582,0.4068,2026-08-02 17:00:00
0.5889,1.4325,0.4111,2026-08-02 18:00:00
0.5839,1.4033,0.4161,2026-08-02 19:00:00
0.5802,1.3821,0.4198,2026-08-02 20:00:00
0.5817,1.3906,0.4183,2026-08-02 21:00:00
0.5821,1.3929,0.4179,2026-08-02 22:00:00
0.5807,1.3849,0.4193,2026-08-02 23:00:00
0.5771,1.3646,0.4229,2026-08-03 00:00:00
0.5750,1.3529,0.4250,2026-08-03 01:00:00
0.5708,1.3299,0.4292,2026-08-03 02:00:00
0.5658,1.3031,0.4342,2026-08-03 03:00:00
0.5616,1.2810,0.4384,2026-08-03 04:00:00
0.5639,1.2931,0.4361,2026-08-03 05:00:00
0.5610,1.2779,0.4390,2026-08-03 06:00:00
0.5665,1.3068,0.4335,2026-08-03 07:00:00
0.5617,1.2815,0.4383,2026-08-03 08:00:00
0.5588,1.2665,0.4412,2026-08-03 09:00:00
0.5592,1.2686,0.4408,2026-08-03 10:00:00
0.5629,1.2878,0.4371,2026-08-03 11:00:00
0.5655,1.3015,0.4345,2026-08-03 12:00:00
0.5657,1.3026,0.4343,2026-08-03 13:00:00
0.5623,1.2847,0.4377,2026-08-03 14:00:00
0.5637,1.2920,0.4363,2026-08-03 15:00:00
0.5632,1.2894,0.4368,2026-08-03 16:00:00
0.5565,1.2548,0.4435,2026-08-03 17:00:00
0.5611,1.2784,0.4389,2026-08-03 18:00:00
0.5602,1.2738,0.4398,2026-08-03 19:00:00
0.5657,1.3026,0.4343,2026-08-03 20:00:00
0.5659,1.3036,0.4341,2026-08-03 21:00:00
0.5734,1.3441,0.4266,2026-08-03 22:00:00
0.5763,1.3602,0.4237,2026-08-03 23:00:00
0.5732,1.3430,0.4268,2026-08-04 00:00:00
0.5767,1.3624,0.4233,2026-08-04 01:00:00
0.5690,1.3202,0.4310,2026-08-04 02:00:00
0.5697,1.3240,0.4303,2026-08-04 03:00:00
0.5659,1.3036,0.4341,2026-08-04 04:00:00
0.5708,1.3299,0.4292,2026-08-04 05:00:00
0.5696,1.3234,0.4304,2026-08-04 06:00:00
0.5674,1.3116,0.4326,2026-08-04 07:00:00
0.5669,1.3089,0.4331,2026-08-04 08:00:00
0.5705,1.3283,0.4295,2026-08-04 09:00:00
0.5706,1.3288,0.4294,2026-08-04 10:00:00
0.5690,1.3202,0.4310,2026-08-04 11:00:00
0.5654,1.3010,0.4346,2026-08-04 12:00:00
0.5678,1.3137,0.4322,2026-08-04 13:00:00
0.5637,1.2920,0.4363,2026-08-04 14:00:00
0.5524,1.2341,0.4476,2026-08-04 15:00:00
0.5592,1.2686,0.4408,2026-08-04 16:00:00
0.5574,1.2594,0.4426,2026-08-04 17:00:00
0.5547,1.2457,0.4453,2026-08-04 18:00:00
0.5620,1.2831,0.4380,2026-08-04 19:00:00
0.5247,1.1039,0.4753,2026-08-04 20:00:00
0.5245,1.1030,0.4755,2026-08-04 21:00:00
0.5272,1.1151,0.4728,2026-08-04 22:00:00
0.5264,1.1115,0.4736,2026-08-04 23:00:00
0.5294,1.1249,0.4706,2026-08-05 00:00:00
0.5326,1.1395,0.4674,2026-08-05 01:00:00
0.5371,1.1603,0.4629,2026-08-05 02:00:00
0.5738,1.3463,0.4262,2026-08-05 03:00:00
0.5754,1.3552,0.4246,2026-08-05 04:00:00
0.5796,1.3787,0.4204,2026-08-05 05:00:00
0.5787,1.3736,0.4213,2026-08-05 06:00:00
0.5800,1.3810,0.4200,2026-08-05 07:00:00
0.5821,1.3929,0.4179,2026-08-05 08:00:00
0.5823,1.3941,0.4177,2026-08-05 09:00:00
0.5827,1.3964,0.4173,2026-08-05 10:00:00
0.5797,1.3793,0.4203,2026-08-05 11:00:00
0.5794,1.3776,0.4206,2026-08-05 12:00:00
0.5778,1.3685,0.4222,2026-08-05 13:00:00
0.5743,1.3491,0.4257,2026-08-05 14:00:00
0.5778,1.3685,0.4222,2026-08-05 15:00:00
0.5775,1.3669,0.4225,2026-08-05 16:00:00
0.5788,1.3742,0.4212,2026-08-05 17:00:00
0.5832,1.3992,0.4168,2026-08-05 18:00:00
0.5845,1.4067,0.4155,2026-08-05 19:00:00
0.5796,1.3787,0.4204,2026-08-05 20:00:00
0.5768,1.3629,0.4232,2026-08-05 21:00:00
0.5762,1.3596,0.4238,2026-08-05 22:00:00
0.5717,1.3348,0.4283,2026-08-05 23:00:00
0.5706,1.3288,0.4294,2026-08-06 00:00:00
0.5696,1.3234,0.4304,2026-08-06 01:00:00
0.5712,1.3321,0.4288,2026-08-06 02:00:00
0.5733,1.3436,0.4267,2026-08-06 03:00:00
0.5734,1.3441,0.4266,2026-08-06 04:00:00
0.5704,1.3277,0.4296,2026-08-06 05:00:00
0.5741,1.3480,0.4259,2026-08-06 06:00:00
0.5667,1.3079,0.4333,2026-08-06 07:00:00
0.5672,1.3105,0.4328,2026-08-06 08:00:00
0.5690,1.3202,0.4310,2026-08-06 09:00:00
0.5724,1.3386,0.4276,2026-08-06 10:00:00
0.5752,1.3540,0.4248,2026-08-06 11:00:00
0.5380,1.1645,0.4620,2026-08-06 12:00:00
0.5307,1.1308,0.4693,2026-08-06 13:00:00
0.5330,1.1413,0.4670,2026-08-06 14:00:00
0.5350,1.1505,0.4650,2026-08-06 15:00:00
0.5652,1.2999,0.4348,2026-08-06 16:00:00
0.5634,1.2904,0.4366,2026-08-06 17:00:00
0.5613,1.2795,0.4387,2026-08-06 18:00:00
0.5617,1.2815,0.4383,2026-08-06 19:00:00
0.5579,1.2619,0.4421,2026-08-06 20:00:00
0.5617,1.2815,0.4383,2026-08-06 21:00:00
0.5667,1.3079,0.4333,2026-08-06 22:00:00
0.5657,1.3026,0.4343,2026-08-06 23:00:00
0.5682,1.3159,0.4318,2026-08-07 00:00:00
0.5687,1.3186,0.4313,2026-08-07 01:00:00
0.5763,1.3602,0.4237,2026-08-07 02:00:00
0.5668,1.3084,0.4332,2026-08-07 03:00:00
0.5818,1.3912,0.4182,2026-08-07 04:00:00
0.5742,1.3485,0.4258,2026-08-07 05:00:00
0.5765,1.3613,0.4235,2026-08-07 06:00:00
0.5780,1.3697,0.4220,2026-08-07 07:00:00
0.5743,1.3491,0.4257,2026-08-07 08:00:00
0.5741,1.3480,0.4259,2026-08-07 09:00:00
0.5675,1.3121,0.4325,2026-08-07 10:00:00
0.5673,1.3111,0.4327,2026-08-07 11:00:00
0.5590,1.2676,0.4410,2026-08-07 12:00:00
0.5622,1.2841,0.4378,2026-08-07 13:00:00
0.5565,1.2548,0.4435,2026-08-07 14:00:00
0.5558,1.2512,0.4442,2026-08-07 15:00:00
0.5532,1.2381,0.4468,2026-08-07 16:00:00
0.5573,1.2589,0.4427,2026-08-07 17:00:00
0.5533,1.2386,0.4467,2026-08-07 18:00:00
0.5494,1.2193,0.4506,2026-08-07 19:00:00
0.5490,1.2173,0.4510,2026-08-07 20:00:00
0.5534,1.2391,0.4466,2026-08-07 21:00:00
0.5542,1.2432,0.4458,2026-08-07 22:00:00
0.5481,1.2129,0.4519,2026-08-07 23:00:00
0.5439,1.1925,0.4561,2026-08-08 00:00:00
0.5440,1.1930,0.4560,2026-08-08 01:00:00
0.5422,1.1844,0.4578,2026-08-08 02:00:00
0.5397,1.1725,0.4603,2026-08-08 03:00:00
0.5354,1.1524,0.4646,2026-08-08 04:00:00
0.5250,1.1053,0.4750,2026-08-08 05:00:00
0.5283,1.1200,0.4717,2026-08-08 06:00:00
0.5277,1.1173,0.4723,2026-08-08 07:00:00
0.5263,1.1110,0.4737,2026-08-08 08:00:00
0.5273,1.1155,0.4727,2026-08-08 09:00:00
0.5335,1.1436,0.4665,2026-08-08 10:00:00
0.5416,1.1815,0.4584,2026-08-08 11:00:00
0.5380,1.1645,0.4620,2026-08-08 12:00:00
0.5467,1.2060,0.4533,2026-08-08 13:00:00
0.5431,1.1887,0.4569,2026-08-08 14:00:00
0.5440,1.1930,0.4560,2026-08-08 15:00:00
0.5504,1.2242,0.4496,2026-08-08 16:00:00
0.5469,1.2070,0.4531,2026-08-08 17:00:00
0.5508,1.2262,0.4492,2026-08-08 18:00:00
0.5531,1.2376,0.4469,2026-08-08 19:00:00
0.5524,1.2341,0.4476,2026-08-08 20:00:00
0.5510,1.2272,0.4490,2026-08-08 21:00:00
0.5574,1.2594,0.4426,2026-08-08 22:00:00
0.5556,1.2502,0.4444,2026-08-08 23:00:00
0.5590,1.2676,0.4410,2026-08-09 00:00:00
0.5568,1.2563,0.4432,2026-08-09 01:00:00
0.5520,1.2321,0.4480,2026-08-09 02:00:00
0.5519,1.2316,0.4481,2026-08-09 03:00:00
0.5651,1.2994,0.4349,2026-08-09 04:00:00
0.5716,1.3343,0.4284,2026-08-09 05:00:00
0.5687,1.3186,0.4313,2026-08-09 06:00:00
0.5682,1.3159,0.4318,2026-08-09 07:00:00
0.5823,1.3941,0.4177,2026-08-09 08:00:00
