longAccount,longShortRatio,shortAccount,time
0.5607,1.2761,0.4393,2026-07-28 20:00:00
0.5594,1.2696,0.4406,2026-07-28 21:00:00
0.5553,1.2487,0.4447,2026-07-28 22:00:00
0.5724,1.3389,0.4276,2026-07-28 23:00:00
0.5718,1.3354,0.4282,2026-07-29 00:00:00
0.5681,1.3151,0.4319,2026-07-29 01:00:00
0.5711,1.3313,0.4289,2026-07-29 02:00:00
0.5720,1.3362,0.4280,2026-07-29 03:00:00
0.5677,1.3131,0.4323,2026-07-29 04:00:00
0.5803,1.3826,0.4197,2026-07-29 05:00:00
0.5799,1.3803,0.4201,2026-07-29 06:00:00
0.5745,1.3504,0.4255,2026-07-29 07:00:00
0.5746,1.3505,0.4254,2026-07-29 08:00:00
0.5724,1.3388,0.4276,2026-07-29 09:00:00
0.5735,1.3448,0.4265,2026-07-29 10:00:00
0.5767,1.3624,0.4233,2026-07-29 11:00:00
0.5770,1.3639,0.4230,2026-07-29 12:00:00
0.5777,1.3682,0.4223,2026-07-29 13:00:00
0.5752,1.3543,0.4248,2026-07-29 14:00:00
0.5761,1.3590,0.4239,2026-07-29 15:00:00
0.5756,1.3561,0.4244,2026-07-29 16:00:00
0.5764,1.3609,0.4236,2026-07-29 17:00:00
0.5779,1.3690,0.4221,2026-07-29 18:00:00
0.5789,1.3746,0.4211,2026-07-29 19:00:00
0.5786,1.3733,0.4214,2026-07-29 20:00:00
0.5796,1.3785,0.4204,2026-07-29 21:00:00
0.5793,1.3772,0.4207,2026-07-29 22:00:00
0.5791,1.3757,0.4209,2026-07-29 23:00:00
0.5787,1.3736,0.4213,2026-07-30 00:00:00
0.5775,1.3666,0.4225,2026-07-30 01:00:00
0.5796,1.3786,0.4204,2026-07-30 02:00:00
0.5773,1.3655,0.4227,2026-07-30 03:00:00
0.5785,1.3727,0.4215,2026-07-30 04:00:00
0.5798,1.3800,0.4202,2026-07-30 05:00:00
0.5796,1.3785,0.4204,2026-07-30 06:00:00
0.5799,1.3806,0.4201,2026-07-30 07:00:00
