longAccount,longShortRatio,shortAccount,time
0.6419,1.7925,0.3581,2026-07-28 20:00:00
0.6370,1.7548,0.3630,2026-07-28 21:00:00
0.6385,1.7663,0.3615,2026-07-28 22:00:00
0.6395,1.7739,0.3605,2026-07-28 23:00:00
0.6348,1.7382,0.3652,2026-07-29 00:00:00
0.6408,1.7840,0.3592,2026-07-29 01:00:00
0.6390,1.7701,0.3610,2026-07-29 02:00:00
0.6425,1.7972,0.3575,2026-07-29 03:00:00
0.6395,1.7739,0.3605,2026-07-29 04:00:00
0.6413,1.7878,0.3587,2026-07-29 05:00:00
0.6429,1.8003,0.3571,2026-07-29 06:00:00
0.6408,1.7840,0.3592,2026-07-29 07:00:00
0.6448,1.8153,0.3552,2026-07-29 08:00:00
0.6467,1.8305,0.3533,2026-07-29 09:00:00
0.6475,1.8369,0.3525,2026-07-29 10:00:00
0.6491,1.8498,0.3509,2026-07-29 11:00:00
0.6456,1.8217,0.3544,2026-07-29 12:00:00
0.6487,1.8466,0.3513,2026-07-29 13:00:00
0.6463,1.8273,0.3537,2026-07-29 14:00:00
0.6500,1.8571,0.3500,2026-07-29 15:00:00
0.6515,1.8694,0.3485,2026-07-29 16:00:00
0.6514,1.8686,0.3486,2026-07-29 17:00:00
0.6552,1.9002,0.3448,2026-07-29 18:00:00
0.6528,1.8802,0.3472,2026-07-29 19:00:00
0.6552,1.9002,0.3448,2026-07-29 20:00:00
0.6513,1.8678,0.3487,2026-07-29 21:00:00
0.6506,1.8620,0.3494,2026-07-29 22:00:00
0.6463,1.8273,0.3537,2026-07-29 23:00:00
0.6456,1.8217,0.3544,2026-07-30 00:00:00
0.6420,1.7933,0.3580,2026-07-30 01:00:00
0.6495,1.8531,0.3505,2026-07-30 02:00:00
0.6389,1.7693,0.3611,2026-07-30 03:00:00
0.6383,1.7647,0.3617,2026-07-30 04:00:00
0.6414,1.7886,0.3586,2026-07-30 05:00:00
0.6429,1.8003,0.3571,2026-07-30 06:00:00
0.6443,1.8114,0.3557,2026-07-30 07:00:00
0.6458,1.8233,0.3542,2026-07-30 08:00:00
0.6419,1.7925,0.3581,2026-07-30 09:00:00
0.6463,1.8273,0.3537,2026-07-30 10:00:00
0.6481,1.8417,0.3519,2026-07-30 11:00:00
0.6467,1.8305,0.3533,2026-07-30 12:00:00
0.6536,1.8868,0.3464,2026-07-30 13:00:00
0.6764,2.0902,0.3236,2026-07-30 14:00:00
0.6585,1.9283,0.3415,2026-07-30 15:00:00
0.6465,1.8289,0.3535,2026-07-30 16:00:00
0.6434,1.8043,0.3566,2026-07-30 17:00:00
0.6420,1.7933,0.3580,2026-07-30 18:00:00
0.6416,1.7902,0.3584,2026-07-30 19:00:00
0.6450,1.8169,0.3550,2026-07-30 20:00:00
0.6454,1.8201,0.3546,2026-07-30 21:00:00
0.6416,1.7902,0.3584,2026-07-30 22:00:00
0.6417,1.7910,0.3583,2026-07-30 23:00:00
0.6417,1.7910,0.3583,2026-07-31 00:00:00
0.6404,1.7809,0.3596,2026-07-31 01:00:00
0.6415,1.7894,0.3585,2026-07-31 02:00:00
0.6372,1.7563,0.3628,2026-07-31 03:00:00
0.6313,1.7122,0.3687,2026-07-31 04:00:00
0.6312,1.7115,0.3688,2026-07-31 05:00:00
0.6305,1.7064,0.3695,2026-07-31 06:00:00
0.6339,1.7315,0.3661,2026-07-31 07:00:00
0.6336,1.7293,0.3664,2026-07-31 08:00:00
0.6281,1.6889,0.3719,2026-07-31 09:00:00
0.6332,1.7263,0.3668,2026-07-31 10:00:00
0.6258,1.6724,0.3742,2026-07-31 11:00:00
0.6264,1.6767,0.3736,2026-07-31 12:00:00
0.6251,1.6674,0.3749,2026-07-31 13:00:00
0.6160,1.6042,0.3840,2026-07-31 14:00:00
0.6178,1.6164,0.3822,2026-07-31 15:00:00
0.5814,1.3889,0.4186,2026-07-31 16:00:00
0.5776,1.3674,0.4224,2026-07-31 17:00:00
0.5831,1.3987,0.4169,2026-07-31 18:00:00
0.5810,1.3866,0.4190,2026-07-31 19:00:00
0.5845,1.4067,0.4155,2026-07-31 20:00:00
0.5884,1.4295,0.4116,2026-07-31 21:00:00
0.5881,1.4278,0.4119,2026-07-31 22:00:00
0.5884,1.4295,0.4116,2026-07-31 23:00:00
0.5841,1.4044,0.4159,2026-08-01 00:00:00
0.5830,1.3981,0.4170,2026-08-01 01:00:00
0.5822,1.3935,0.4178,2026-08-01 02:00:00
0.5817,1.3906,0.4183,2026-08-01 03:00:00
0.5848,1.4085,0.4152,2026-08-01 04:00:00
0.5843,1.4056,0.4157,2026-08-01 05:00:00
0.5851,1.4102,0.4149,2026-08-01 06:00:00
0.5845,1.4067,0.4155,2026-08-01 07:00:00
0.5831,1.3987,0.4169,2026-08-01 08:00:00
0.5877,1.4254,0.4123,2026-08-01 09:00:00
0.5828,1.3969,0.4172,2026-08-01 10:00:00
0.5849,1.4091,0.4151,2026-08-01 11:00:00
0.5857,1.4137,0.4143,2026-08-01 12:00:00
0.5862,1.4166,0.4138,2026-08-01 13:00:00
0.5872,1.4225,0.4128,2026-08-01 14:00:00
0.5859,1.4149,0.4141,2026-08-01 15:00:00
0.5902,1.4402,0.4098,2026-08-01 16:00:00
0.5873,1.4231,0.4127,2026-08-01 17:00:00
0.5872,1.4225,0.4128,2026-08-01 18:00:00
0.5858,1.4143,0.4142,2026-08-01 19:00:00
0.5901,1.4396,0.4099,2026-08-01 20:00:00
0.5873,1.4231,0.4127,2026-08-01 21:00:00
0.5861,1.4160,0.4139,2026-08-01 22:00:00
0.5866,1.4190,0.4134,2026-08-01 23:00:00
0.5844,1.4062,0.4156,2026-08-02 00:00:00
0.5778,1.3685,0.4222,2026-08-02 01:00:00
0.5808,1.3855,0.4192,2026-08-02 02:00:00
0.6172,1.6123,0.3828,2026-08-02 03:00:00
0.6135,1.5873,0.3865,2026-08-02 04:00:00
0.6134,1.5867,0.3866,2026-08-02 05:00:00
0.6130,1.5840,0.3870,2026-08-02 06:00:00
0.6155,1.6008,0.3845,2026-08-02 07:00:00
0.6141,1.5913,0.3859,2026-08-02 08:00:00
0.6160,1.6042,0.3840,2026-08-02 09:00:00
0.6192,1.6261,0.3808,2026-08-02 10:00:00
0.6207,1.6364,0.3793,2026-08-02 11:00:00
0.6143,1.5927,0.3857,2026-08-02 12:00:00
0.6168,1.6096,0.3832,2026-08-02 13:00:00
0.6165,1.6076,0.3835,2026-08-02 14:00:00
0.6151,1.5981,0.3849,2026-08-02 15:00:00
0.6177,1.6157,0.3823,2026-08-02 16:00:00
0.6134,1.5867,0.3866,2026-08-02 17:00:00
0.6168,1.6096,0.3832,2026-08-02 18:00:00
0.6147,1.5954,0.3853,2026-08-02 19:00:00
0.6108,1.5694,0.3892,2026-08-02 20:00:00
0.6163,1.6062,0.3837,2026-08-02 21:00:00
0.6165,1.6076,0.3835,2026-08-02 22:00:00
0.6125,1.5806,0.3875,2026-08-02 23:00:00
0.6136,1.5880,0.3864,2026-08-03 00:00:00
0.6101,1.5648,0.3899,2026-08-03 01:00:00
0.5738,1.3463,0.4262,2026-08-03 02:00:00
0.5746,1.3507,0.4254,2026-08-03 03:00:00
