sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
96403.68000000,65234442.18240000,0.00000000,2026-07-28 20:00:00
96503.35000000,65390669.96000000,0.00000000,2026-07-28 21:00:00
96337.00000000,65347032.82978785,0.00000000,2026-07-28 22:00:00
96466.21000000,64891854.80490000,0.00000000,2026-07-28 23:00:00
96411.52000000,65647151.16989995,0.00000000,2026-07-29 00:00:00
95273.22000000,64683264.84083155,0.00000000,2026-07-29 01:00:00
94627.76000000,63753560.74480000,0.00000000,2026-07-29 02:00:00
94219.78000000,63572912.15940000,0.00000000,2026-07-29 03:00:00
94607.66000000,63569848.42787477,0.00000000,2026-07-29 04:00:00
93362.54000000,62833923.04540000,0.00000000,2026-07-29 05:00:00
93923.22000000,63312703.36980000,0.00000000,2026-07-29 06:00:00
94785.49000000,64195646.26554276,0.00000000,2026-07-29 07:00:00
90048.80000000,60922815.61146305,0.00000000,2026-07-29 08:00:00
87303.77000000,59048777.87720000,0.00000000,2026-07-29 09:00:00
88093.97000000,59821972.20790000,0.00000000,2026-07-29 10:00:00
86798.58000000,58789073.12847964,0.00000000,2026-07-29 11:00:00
86803.72000000,58913848.67286036,0.00000000,2026-07-29 12:00:00
86199.24000000,58310450.32955065,0.00000000,2026-07-29 13:00:00
88619.19000000,59590201.93170000,0.00000000,2026-07-29 14:00:00
92337.65000000,61784044.99150000,0.00000000,2026-07-29 15:00:00
91266.22000000,60901115.44854223,0.00000000,2026-07-29 16:00:00
92698.93000000,62040612.88110000,0.00000000,2026-07-29 17:00:00
92340.77000000,62069618.77860000,0.00000000,2026-07-29 18:00:00
91263.73000000,62059754.51656526,0.00000000,2026-07-29 19:00:00
95473.81000000,63324559.04817766,0.00000000,2026-07-29 20:00:00
95814.14000000,63375895.36187524,0.00000000,2026-07-29 21:00:00
95393.24000000,62940459.75200000,0.00000000,2026-07-29 22:00:00
94758.35000000,63057891.59100000,0.00000000,2026-07-29 23:00:00
92077.53000000,61428603.36420000,0.00000000,2026-07-30 00:00:00
91436.51000000,61062248.96015535,0.00000000,2026-07-30 01:00:00
91015.62000000,61002309.14880000,0.00000000,2026-07-30 02:00:00
88475.62000000,59091097.08560000,0.00000000,2026-07-30 03:00:00
88028.59000000,58775501.16935901,0.00000000,2026-07-30 04:00:00
88433.19000000,58869090.25110000,0.00000000,2026-07-30 05:00:00
88315.84000000,58871823.45706246,0.00000000,2026-07-30 06:00:00
88333.04000000,58771504.83360000,0.00000000,2026-07-30 07:00:00
88928.47000000,59083186.18330000,0.00000000,2026-07-30 08:00:00
89328.35000000,59556997.51200000,0.00000000,2026-07-30 09:00:00
89302.48000000,59609675.78379777,0.00000000,2026-07-30 10:00:00
91034.00000000,60984521.54754678,0.00000000,2026-07-30 11:00:00
92013.54000000,61885910.23162954,0.00000000,2026-07-30 12:00:00
91386.81000000,61616642.77440000,0.00000000,2026-07-30 13:00:00
87078.98000000,59415729.63360000,0.00000000,2026-07-30 14:00:00
81653.75000000,55567009.95000000,0.00000000,2026-07-30 15:00:00
82514.73000000,56188064.99300889,0.00000000,2026-07-30 16:00:00
81568.33000000,55640038.66178088,0.00000000,2026-07-30 17:00:00
80605.95000000,55077540.68789288,0.00000000,2026-07-30 18:00:00
80075.08000000,54729715.67840000,0.00000000,2026-07-30 19:00:00
79893.57000000,54686651.75975096,0.00000000,2026-07-30 20:00:00
79256.40000000,54445292.55572005,0.00000000,2026-07-30 21:00:00
79258.23000000,54431560.89843281,0.00000000,2026-07-30 22:00:00
78776.89000000,54237100.99610000,0.00000000,2026-07-30 23:00:00
78390.91000000,54016824.35370000,0.00000000,2026-07-31 00:00:00
77897.17000000,53867450.99840000,0.00000000,2026-07-31 01:00:00
77897.53000000,53777338.81080000,0.00000000,2026-07-31 02:00:00
77111.55000000,53153762.53050000,0.00000000,2026-07-31 03:00:00
76790.33000000,52981488.18350000,0.00000000,2026-07-31 04:00:00
76760.61000000,53122947.75660000,0.00000000,2026-07-31 05:00:00
76453.24000000,52985172.15617877,0.00000000,2026-07-31 06:00:00
76438.17000000,52788780.75295868,0.00000000,2026-07-31 07:00:00
73818.13000000,51121269.56890000,0.00000000,2026-07-31 08:00:00
73440.34000000,50932675.45214133,0.00000000,2026-07-31 09:00:00
71631.53000000,49610888.25889178,0.00000000,2026-07-31 10:00:00
71719.18000000,49676178.55387852,0.00000000,2026-07-31 11:00:00
71444.70000000,49474825.34934199,0.00000000,2026-07-31 12:00:00
70878.17000000,48939250.03990000,0.00000000,2026-07-31 13:00:00
69197.32000000,47600836.42800000,0.00000000,2026-07-31 14:00:00
71251.61000000,48939880.84460000,0.00000000,2026-07-31 15:00:00
72383.67000000,49644972.48996781,0.00000000,2026-07-31 16:00:00
73915.64000000,50883555.16878703,0.00000000,2026-07-31 17:00:00
73530.59000000,50719717.95356099,0.00000000,2026-07-31 18:00:00
73420.15000000,50651610.07145463,0.00000000,2026-07-31 19:00:00
73774.00000000,50849310.90920530,0.00000000,2026-07-31 20:00:00
73430.55000000,50404583.32416753,0.00000000,2026-07-31 21:00:00
72983.16000000,50048201.97000000,0.00000000,2026-07-31 22:00:00
72691.25000000,49858201.46250000,0.00000000,2026-07-31 23:00:00
72393.77000000,49647014.26447950,0.00000000,2026-08-01 00:00:00
72570.97000000,49850804.45523901,0.00000000,2026-08-01 01:00:00
72435.59000000,49758179.83870000,0.00000000,2026-08-01 02:00:00
72287.06000000,49682173.46740000,0.00000000,2026-08-01 03:00:00
72161.15000000,49567700.67741636,0.00000000,2026-08-01 04:00:00
72021.78000000,49493018.50166582,0.00000000,2026-08-01 05:00:00
71898.10000000,49412354.72104277,0.00000000,2026-08-01 06:00:00
71574.72000000,49201052.85982838,0.00000000,2026-08-01 07:00:00
71362.38000000,49060445.54014475,0.00000000,2026-08-01 08:00:00
71184.79000000,48925306.16700000,0.00000000,2026-08-01 09:00:00
71099.59000000,48874531.64264636,0.00000000,2026-08-01 10:00:00
70878.33000000,48706170.80940000,0.00000000,2026-08-01 11:00:00
70829.43000000,48667661.67789099,0.00000000,2026-08-01 12:00:00
70806.86000000,48631567.58520000,0.00000000,2026-08-01 13:00:00
70623.31000000,48477252.45020000,0.00000000,2026-08-01 14:00:00
70570.01000000,48460838.49125987,0.00000000,2026-08-01 15:00:00
70379.87000000,48287039.57969037,0.00000000,2026-08-01 16:00:00
70157.16000000,48115183.47120000,0.00000000,2026-08-01 17:00:00
70094.92000000,48040348.66428828,0.00000000,2026-08-01 18:00:00
69879.75000000,47845479.46108992,0.00000000,2026-08-01 19:00:00
69717.60000000,47666620.29600000,0.00000000,2026-08-01 20:00:00
69697.20000000,47697975.79200000,0.00000000,2026-08-01 21:00:00
70034.89000000,48021523.37520000,0.00000000,2026-08-01 22:00:00
70077.31000000,48014169.71960000,0.00000000,2026-08-01 23:00:00
69979.54000000,47978434.91164042,0.00000000,2026-08-02 00:00:00
69913.01000000,48034432.65060000,0.00000000,2026-08-02 01:00:00
70157.67000000,48227785.51140000,0.00000000,2026-08-02 02:00:00
70969.99000000,49068651.08600000,0.00000000,2026-08-02 03:00:00
71072.68000000,49136714.97512554,0.00000000,2026-08-02 04:00:00
70910.49000000,49024676.36640000,0.00000000,2026-08-02 05:00:00
70747.72000000,48910110.27247662,0.00000000,2026-08-02 06:00:00
70494.38000000,48710206.69240000,0.00000000,2026-08-02 07:00:00
70720.61000000,48919329.23108754,0.00000000,2026-08-02 08:00:00
70769.65000000,48916783.82016479,0.00000000,2026-08-02 09:00:00
69964.96000000,48359080.70240000,0.00000000,2026-08-02 10:00:00
70050.46000000,48391558.27260000,0.00000000,2026-08-02 11:00:00
70036.22000000,48356110.23373961,0.00000000,2026-08-02 12:00:00
70024.77000000,48372965.64794330,0.00000000,2026-08-02 13:00:00
70019.78000000,48366863.23280000,0.00000000,2026-08-02 14:00:00
69989.49000000,48406830.96870000,0.00000000,2026-08-02 15:00:00
69917.63000000,48332314.46201424,0.00000000,2026-08-02 16:00:00
69957.93000000,48422584.47202840,0.00000000,2026-08-02 17:00:00
70404.14000000,48721072.96280000,0.00000000,2026-08-02 18:00:00
70505.84000000,48833754.90080000,0.00000000,2026-08-02 19:00:00
70594.88000000,48918722.09600000,0.00000000,2026-08-02 20:00:00
70416.43000000,48777461.06100000,0.00000000,2026-08-02 21:00:00
70288.05000000,48711537.24104737,0.00000000,2026-08-02 22:00:00
70491.59000000,48858842.99429392,0.00000000,2026-08-02 23:00:00
71314.76000000,49466078.44739535,0.00000000,2026-08-03 00:00:00
72018.20000000,49989272.98400000,0.00000000,2026-08-03 01:00:00
74486.71000000,51730275.22790000,0.00000000,2026-08-03 02:00:00
76122.83000000,52909319.56981531,0.00000000,2026-08-03 03:00:00
75364.35000000,52399325.26800000,0.00000000,2026-08-03 04:00:00
75189.93000000,52244357.97604758,0.00000000,2026-08-03 05:00:00
74461.28000000,51714230.77574924,0.00000000,2026-08-03 06:00:00
73642.57000000,51061206.96143058,0.00000000,2026-08-03 07:00:00
73541.28000000,50990180.03741709,0.00000000,2026-08-03 08:00:00
76624.48000000,53121453.24960000,0.00000000,2026-08-03 09:00:00
76520.06000000,53002810.35958251,0.00000000,2026-08-03 10:00:00
75968.60000000,52593061.78000000,0.00000000,2026-08-03 11:00:00
76088.85000000,52443791.37123056,0.00000000,2026-08-03 12:00:00
76231.17000000,52623901.27440000,0.00000000,2026-08-03 13:00:00
71749.25000000,49819437.29121541,0.00000000,2026-08-03 14:00:00
67891.19000000,47416622.25390995,0.00000000,2026-08-03 15:00:00
67850.84000000,47371420.96280000,0.00000000,2026-08-03 16:00:00
68573.89000000,47924046.74418901,0.00000000,2026-08-03 17:00:00
68832.27000000,48264499.40130000,0.00000000,2026-08-03 18:00:00
69774.83000000,48914550.59845486,0.00000000,2026-08-03 19:00:00
71227.69000000,49899982.78330000,0.00000000,2026-08-03 20:00:00
71776.87000000,50337836.69970000,0.00000000,2026-08-03 21:00:00
71189.12000000,49931929.67643304,0.00000000,2026-08-03 22:00:00
71465.46000000,50159384.16338250,0.00000000,2026-08-03 23:00:00
71382.89000000,50135904.94906872,0.00000000,2026-08-04 00:00:00
71505.67000000,50052538.88660000,0.00000000,2026-08-04 01:00:00
73057.84000000,51453530.66305942,0.00000000,2026-08-04 02:00:00
73804.81000000,51856879.90462647,0.00000000,2026-08-04 03:00:00
73935.88000000,51984317.22800000,0.00000000,2026-08-04 04:00:00
74009.84000000,52058008.83054373,0.00000000,2026-08-04 05:00:00
74839.89000000,52771103.23680000,0.00000000,2026-08-04 06:00:00
75432.57000000,53179274.16444964,0.00000000,2026-08-04 07:00:00
75665.36000000,53354697.63273649,0.00000000,2026-08-04 08:00:00
75422.28000000,53170444.73160000,0.00000000,2026-08-04 09:00:00
75500.09000000,53232984.64638235,0.00000000,2026-08-04 10:00:00
76410.11000000,53961596.85763392,0.00000000,2026-08-04 11:00:00
76433.41000000,54201542.57870819,0.00000000,2026-08-04 12:00:00
76089.40000000,53888228.20888272,0.00000000,2026-08-04 13:00:00
78278.05000000,55916023.03466227,0.00000000,2026-08-04 14:00:00
79462.52000000,56949382.39678896,0.00000000,2026-08-04 15:00:00
79846.03000000,57445257.37554408,0.00000000,2026-08-04 16:00:00
80156.24000000,57808680.28800000,0.00000000,2026-08-04 17:00:00
80247.22000000,58058818.70748264,0.00000000,2026-08-04 18:00:00
80116.75000000,58029692.45792148,0.00000000,2026-08-04 19:00:00
80390.33000000,58200557.90277408,0.00000000,2026-08-04 20:00:00
79189.95000000,57240908.25908233,0.00000000,2026-08-04 21:00:00
78715.78000000,56843769.14195185,0.00000000,2026-08-04 22:00:00
78999.24000000,57119610.48960000,0.00000000,2026-08-04 23:00:00
78560.94000000,56833900.51983289,0.00000000,2026-08-05 00:00:00
78181.30000000,56562606.92400000,0.00000000,2026-08-05 01:00:00
77583.06000000,56188755.37440000,0.00000000,2026-08-05 02:00:00
77752.17000000,56292571.08000000,0.00000000,2026-08-05 03:00:00
78627.80000000,56983925.49400000,0.00000000,2026-08-05 04:00:00
79195.22000000,57426136.03660634,0.00000000,2026-08-05 05:00:00
78021.96000000,56732135.06688160,0.00000000,2026-08-05 06:00:00
78114.54000000,56764273.92720000,0.00000000,2026-08-05 07:00:00
78785.55000000,57127402.30500000,0.00000000,2026-08-05 08:00:00
79544.78000000,57560620.27282357,0.00000000,2026-08-05 09:00:00
79711.06000000,57716269.95365097,0.00000000,2026-08-05 10:00:00
78845.81000000,57105537.61623031,0.00000000,2026-08-05 11:00:00
79419.59000000,57625997.00353900,0.00000000,2026-08-05 12:00:00
78952.03000000,57272592.08230000,0.00000000,2026-08-05 13:00:00
81483.99000000,59333633.59110342,0.00000000,2026-08-05 14:00:00
91641.29000000,66319885.16010000,0.00000000,2026-08-05 15:00:00
91352.42000000,65855959.57800000,0.00000000,2026-08-05 16:00:00
91167.59000000,65904579.44903278,0.00000000,2026-08-05 17:00:00
90802.75000000,65509643.98750000,0.00000000,2026-08-05 18:00:00
89538.38000000,64534787.38500000,0.00000000,2026-08-05 19:00:00
88708.83000000,63690278.67510000,0.00000000,2026-08-05 20:00:00
88609.83000000,63582244.14282078,0.00000000,2026-08-05 21:00:00
88307.21000000,63302255.41269808,0.00000000,2026-08-05 22:00:00
88330.35000000,63462706.56450000,0.00000000,2026-08-05 23:00:00
88053.28000000,63179989.46560000,0.00000000,2026-08-06 00:00:00
89623.89000000,64218748.13967808,0.00000000,2026-08-06 01:00:00
89645.69000000,64170177.81580000,0.00000000,2026-08-06 02:00:00
89518.40000000,64278696.45139802,0.00000000,2026-08-06 03:00:00
89077.20000000,63936941.84400000,0.00000000,2026-08-06 04:00:00
88837.85000000,63759813.32350000,0.00000000,2026-08-06 05:00:00
88327.59000000,63397127.72250000,0.00000000,2026-08-06 06:00:00
85964.55000000,61596078.09685511,0.00000000,2026-08-06 07:00:00
85409.72000000,61157747.81333499,0.00000000,2026-08-06 08:00:00
84030.59000000,60202875.89960000,0.00000000,2026-08-06 09:00:00
84215.30000000,60347607.26801998,0.00000000,2026-08-06 10:00:00
84596.12000000,60518894.40040305,0.00000000,2026-08-06 11:00:00
84014.46000000,60066697.53855352,0.00000000,2026-08-06 12:00:00
82553.05000000,58896647.99200000,0.00000000,2026-08-06 13:00:00
83361.34000000,59733478.95465799,0.00000000,2026-08-06 14:00:00
86837.27000000,62493157.08825191,0.00000000,2026-08-06 15:00:00
88113.58000000,63096950.59502717,0.00000000,2026-08-06 16:00:00
88212.64000000,63274637.31866252,0.00000000,2026-08-06 17:00:00
88646.41000000,63511606.90860000,0.00000000,2026-08-06 18:00:00
89208.87000000,63882471.80700000,0.00000000,2026-08-06 19:00:00
88387.62000000,63230382.07075241,0.00000000,2026-08-06 20:00:00
88599.80000000,63428781.17846384,0.00000000,2026-08-06 21:00:00
88414.53000000,63320718.09540000,0.00000000,2026-08-06 22:00:00
88621.71000000,63570125.01720000,0.00000000,2026-08-06 23:00:00
88521.98000000,63563936.56524749,0.00000000,2026-08-07 00:00:00
87617.93000000,62864988.59570000,0.00000000,2026-08-07 01:00:00
87447.20000000,62671659.29600000,0.00000000,2026-08-07 02:00:00
87457.96000000,62679370.77280000,0.00000000,2026-08-07 03:00:00
87512.46000000,62626180.41610341,0.00000000,2026-08-07 04:00:00
87734.22000000,62818578.86220000,0.00000000,2026-08-07 05:00:00
87536.45000000,62729385.54386676,0.00000000,2026-08-07 06:00:00
87432.65000000,62709319.55950000,0.00000000,2026-08-07 07:00:00
87675.27000000,62952666.99446917,0.00000000,2026-08-07 08:00:00
87316.97000000,62790631.90565402,0.00000000,2026-08-07 09:00:00
87709.48000000,63038301.87578981,0.00000000,2026-08-07 10:00:00
88190.36000000,63359482.23840000,0.00000000,2026-08-07 11:00:00
88803.76000000,63826814.46240000,0.00000000,2026-08-07 12:00:00
92942.47000000,67272292.78318271,0.00000000,2026-08-07 13:00:00
92931.78000000,66903447.05760000,0.00000000,2026-08-07 14:00:00
90971.74000000,65589798.14907497,0.00000000,2026-08-07 15:00:00
89893.83000000,65017510.42410000,0.00000000,2026-08-07 16:00:00
89423.60000000,64528640.95861042,0.00000000,2026-08-07 17:00:00
89115.82000000,64318451.92680000,0.00000000,2026-08-07 18:00:00
89269.69000000,64360628.46281204,0.00000000,2026-08-07 19:00:00
89942.45000000,65069740.67708440,0.00000000,2026-08-07 20:00:00
89715.13000000,64929531.03490000,0.00000000,2026-08-07 21:00:00
89614.50000000,64832968.21250440,0.00000000,2026-08-07 22:00:00
89170.37000000,64513485.06728886,0.00000000,2026-08-07 23:00:00
89178.68000000,64539544.51041722,0.00000000,2026-08-08 00:00:00
89124.80000000,64419670.74046590,0.00000000,2026-08-08 01:00:00
89002.72000000,64397918.05600000,0.00000000,2026-08-08 02:00:00
88746.99000000,64177655.90221467,0.00000000,2026-08-08 03:00:00
88753.98000000,64205886.40756758,0.00000000,2026-08-08 04:00:00
88654.03000000,64036619.09480441,0.00000000,2026-08-08 05:00:00
87810.73000000,63381203.74131782,0.00000000,2026-08-08 06:00:00
87769.95000000,63355094.91957475,0.00000000,2026-08-08 07:00:00
87584.36000000,63229777.01480000,0.00000000,2026-08-08 08:00:00
87454.32000000,63144541.61001144,0.00000000,2026-08-08 09:00:00
87324.23000000,63027509.59779888,0.00000000,2026-08-08 10:00:00
87142.73000000,62877650.37132919,0.00000000,2026-08-08 11:00:00
86890.95000000,62790007.19850000,0.00000000,2026-08-08 12:00:00
86772.01000000,62701454.42600000,0.00000000,2026-08-08 13:00:00
87015.51000000,62882188.03803799,0.00000000,2026-08-08 14:00:00
87010.92000000,62885024.52765010,0.00000000,2026-08-08 15:00:00
87155.88000000,63038976.44520000,0.00000000,2026-08-08 16:00:00
87141.98000000,63015851.41720000,0.00000000,2026-08-08 17:00:00
87271.04000000,63183360.24960000,0.00000000,2026-08-08 18:00:00
87438.09000000,63260862.96414289,0.00000000,2026-08-08 19:00:00
