longAccount,longShortRatio,shortAccount,time
0.6523,1.8762,0.3477,2026-07-28 20:00:00
0.6557,1.9045,0.3443,2026-07-28 21:00:00
0.6559,1.9064,0.3441,2026-07-28 22:00:00
0.6563,1.9092,0.3437,2026-07-28 23:00:00
0.6564,1.9103,0.3436,2026-07-29 00:00:00
0.6562,1.9083,0.3438,2026-07-29 01:00:00
0.6581,1.9247,0.3419,2026-07-29 02:00:00
0.6527,1.8791,0.3473,2026-07-29 03:00:00
0.6533,1.8847,0.3467,2026-07-29 04:00:00
0.6455,1.8208,0.3545,2026-07-29 05:00:00
0.6473,1.8355,0.3527,2026-07-29 06:00:00
0.6487,1.8462,0.3513,2026-07-29 07:00:00
0.6731,2.0594,0.3269,2026-07-29 08:00:00
0.6872,2.1974,0.3128,2026-07-29 09:00:00
0.6944,2.2719,0.3056,2026-07-29 10:00:00
0.7072,2.4157,0.2928,2026-07-29 11:00:00
0.7085,2.4303,0.2915,2026-07-29 12:00:00
0.7092,2.4387,0.2908,2026-07-29 13:00:00
0.6984,2.3157,0.3016,2026-07-29 14:00:00
0.6989,2.3216,0.3011,2026-07-29 15:00:00
0.7109,2.4590,0.2891,2026-07-29 16:00:00
0.7135,2.4898,0.2865,2026-07-29 17:00:00
0.7101,2.4489,0.2899,2026-07-29 18:00:00
0.6991,2.3229,0.3009,2026-07-29 19:00:00
0.6914,2.2400,0.3086,2026-07-29 20:00:00
0.6927,2.2541,0.3073,2026-07-29 21:00:00
0.6858,2.1831,0.3142,2026-07-29 22:00:00
0.6921,2.2482,0.3079,2026-07-29 23:00:00
0.6976,2.3066,0.3024,2026-07-30 00:00:00
0.6991,2.3237,0.3009,2026-07-30 01:00:00
0.6978,2.3093,0.3022,2026-07-30 02:00:00
0.7018,2.3530,0.2982,2026-07-30 03:00:00
0.6990,2.3222,0.3010,2026-07-30 04:00:00
0.6958,2.2878,0.3042,2026-07-30 05:00:00
0.6976,2.3064,0.3024,2026-07-30 06:00:00
0.6966,2.2956,0.3034,2026-07-30 07:00:00
0.6981,2.3119,0.3019,2026-07-30 08:00:00
0.6984,2.3153,0.3016,2026-07-30 09:00:00
0.7003,2.3371,0.2997,2026-07-30 10:00:00
0.7123,2.4759,0.2877,2026-07-30 11:00:00
0.7093,2.4402,0.2907,2026-07-30 12:00:00
0.7136,2.4911,0.2864,2026-07-30 13:00:00
0.7254,2.6415,0.2746,2026-07-30 14:00:00
0.7075,2.4189,0.2925,2026-07-30 15:00:00
0.6954,2.2833,0.3046,2026-07-30 16:00:00
0.6983,2.3150,0.3017,2026-07-30 17:00:00
0.7112,2.4626,0.2888,2026-07-30 18:00:00
0.7115,2.4660,0.2885,2026-07-30 19:00:00
0.7117,2.4684,0.2883,2026-07-30 20:00:00
0.6995,2.3283,0.3005,2026-07-30 21:00:00
0.7001,2.3340,0.2999,2026-07-30 22:00:00
0.7004,2.3381,0.2996,2026-07-30 23:00:00
0.7000,2.3338,0.3000,2026-07-31 00:00:00
0.6924,2.2510,0.3076,2026-07-31 01:00:00
0.7010,2.3449,0.2990,2026-07-31 02:00:00
0.7006,2.3403,0.2994,2026-07-31 03:00:00
0.7031,2.3686,0.2969,2026-07-31 04:00:00
0.6980,2.3112,0.3020,2026-07-31 05:00:00
0.7002,2.3356,0.2998,2026-07-31 06:00:00
0.6999,2.3320,0.3001,2026-07-31 07:00:00
0.6925,2.2520,0.3075,2026-07-31 08:00:00
0.6898,2.2234,0.3102,2026-07-31 09:00:00
0.6789,2.1145,0.3211,2026-07-31 10:00:00
0.6794,2.1196,0.3206,2026-07-31 11:00:00
0.6771,2.0971,0.3229,2026-07-31 12:00:00
0.6736,2.0634,0.3264,2026-07-31 13:00:00
0.6673,2.0053,0.3327,2026-07-31 14:00:00
0.6684,2.0153,0.3316,2026-07-31 15:00:00
0.6546,1.8953,0.3454,2026-07-31 16:00:00
0.6611,1.9505,0.3389,2026-07-31 17:00:00
0.6602,1.9426,0.3398,2026-07-31 18:00:00
0.6607,1.9476,0.3393,2026-07-31 19:00:00
0.6630,1.9675,0.3370,2026-07-31 20:00:00
0.6594,1.9357,0.3406,2026-07-31 21:00:00
0.6571,1.9162,0.3429,2026-07-31 22:00:00
0.6575,1.9197,0.3425,2026-07-31 23:00:00
0.6598,1.9392,0.3402,2026-08-01 00:00:00
0.6581,1.9246,0.3419,2026-08-01 01:00:00
0.6549,1.8979,0.3451,2026-08-01 02:00:00
0.6542,1.8917,0.3458,2026-08-01 03:00:00
0.6508,1.8636,0.3492,2026-08-01 04:00:00
0.6503,1.8594,0.3497,2026-08-01 05:00:00
0.6494,1.8520,0.3506,2026-08-01 06:00:00
0.6475,1.8368,0.3525,2026-08-01 07:00:00
0.6472,1.8341,0.3528,2026-08-01 08:00:00
0.6465,1.8288,0.3535,2026-08-01 09:00:00
0.6451,1.8176,0.3549,2026-08-01 10:00:00
0.6436,1.8059,0.3564,2026-08-01 11:00:00
0.6418,1.7914,0.3582,2026-08-01 12:00:00
0.6401,1.7789,0.3599,2026-08-01 13:00:00
0.6407,1.7834,0.3593,2026-08-01 14:00:00
0.6403,1.7798,0.3597,2026-08-01 15:00:00
0.6402,1.7791,0.3598,2026-08-01 16:00:00
0.6402,1.7793,0.3598,2026-08-01 17:00:00
0.6412,1.7873,0.3588,2026-08-01 18:00:00
0.6427,1.7990,0.3573,2026-08-01 19:00:00
0.6420,1.7932,0.3580,2026-08-01 20:00:00
0.6431,1.8020,0.3569,2026-08-01 21:00:00
0.6380,1.7626,0.3620,2026-08-01 22:00:00
0.6389,1.7695,0.3611,2026-08-01 23:00:00
0.6403,1.7800,0.3597,2026-08-02 00:00:00
