buySellRatio,sellVol,buyVol,time
0.8722,8908.6000,7770.4500,2026-07-28 19:00:00
0.6983,12817.8400,8950.8400,2026-07-28 20:00:00
0.7926,3959.2300,3137.9300,2026-07-28 21:00:00
0.8065,32312.6700,26061.5300,2026-07-28 22:00:00
0.8376,156151.5300,130789.9200,2026-07-28 23:00:00
0.9757,139282.7400,135899.8600,2026-07-29 00:00:00
0.9836,147143.0800,144724.0400,2026-07-29 01:00:00
1.0459,136995.5900,143286.2700,2026-07-29 02:00:00
0.8872,78266.1200,69438.5400,2026-07-29 03:00:00
0.9772,315983.0200,308786.5500,2026-07-29 04:00:00
1.1620,155879.0600,181126.4400,2026-07-29 05:00:00
1.0680,68495.7800,73156.6200,2026-07-29 06:00:00
1.1956,27404.9600,32764.6900,2026-07-29 07:00:00
0.9702,33185.1800,32195.5300,2026-07-29 08:00:00
1.2350,35803.5200,44217.4400,2026-07-29 09:00:00
0.9026,35636.2400,32166.4000,2026-07-29 10:00:00
1.2988,28177.6100,36597.7900,2026-07-29 11:00:00
1.0911,21914.3900,23910.2600,2026-07-29 12:00:00
1.0373,52722.2300,54690.5300,2026-07-29 13:00:00
0.8139,72907.4200,59337.4400,2026-07-29 14:00:00
1.0125,37559.9300,38027.9300,2026-07-29 15:00:00
0.8120,30272.4000,24582.5600,2026-07-29 16:00:00
1.1934,19875.4500,23718.5400,2026-07-29 17:00:00
1.1743,45521.8800,53454.6300,2026-07-29 18:00:00
0.9487,48118.5800,45652.2900,2026-07-29 19:00:00
1.0133,40469.9600,41007.5000,2026-07-29 20:00:00
0.9284,17476.9200,16225.7800,2026-07-29 21:00:00
1.2173,12366.1700,15053.6700,2026-07-29 22:00:00
0.8364,51395.1600,42987.9100,2026-07-29 23:00:00
0.9644,156445.7800,150872.8100,2026-07-30 00:00:00
0.8887,149878.9500,133203.6000,2026-07-30 01:00:00
0.8773,178656.3300,156743.7600,2026-07-30 02:00:00
1.0216,115280.1600,117772.6700,2026-07-30 03:00:00
1.0460,99854.5600,104451.9800,2026-07-30 04:00:00
1.0190,71693.4900,73056.7800,2026-07-30 05:00:00
0.9607,48253.2500,46357.0400,2026-07-30 06:00:00
1.2834,34527.3100,44311.5900,2026-07-30 07:00:00
1.2276,24596.5300,30195.5600,2026-07-30 08:00:00
1.0023,14470.4800,14503.7300,2026-07-30 09:00:00
0.8596,24697.7300,21230.8000,2026-07-30 10:00:00
1.0520,19890.2900,20923.9600,2026-07-30 11:00:00
1.3307,34739.6700,46229.2800,2026-07-30 12:00:00
1.4000,56927.9000,79701.2700,2026-07-30 13:00:00
0.9221,56906.5000,52473.4800,2026-07-30 14:00:00
1.0119,40280.1500,40759.6800,2026-07-30 15:00:00
1.1251,40075.0200,45089.6200,2026-07-30 16:00:00
1.0670,13137.0900,14017.4600,2026-07-30 17:00:00
1.1997,12719.3400,15259.8500,2026-07-30 18:00:00
0.9394,14797.4200,13900.8900,2026-07-30 19:00:00
