longAccount,longShortRatio,shortAccount,time
0.7237,2.6193,0.2763,2026-07-28 20:00:00
0.7213,2.5878,0.2787,2026-07-28 21:00:00
0.7249,2.6352,0.2751,2026-07-28 22:00:00
0.7191,2.5597,0.2809,2026-07-28 23:00:00
0.7234,2.6147,0.2766,2026-07-29 00:00:00
0.7285,2.6837,0.2715,2026-07-29 01:00:00
0.7335,2.7520,0.2665,2026-07-29 02:00:00
0.7373,2.8060,0.2627,2026-07-29 03:00:00
0.7408,2.8573,0.2592,2026-07-29 04:00:00
0.7334,2.7509,0.2666,2026-07-29 05:00:00
0.7645,3.2456,0.2355,2026-07-29 06:00:00
0.7637,3.2321,0.2363,2026-07-29 07:00:00
0.7606,3.1771,0.2394,2026-07-29 08:00:00
0.7598,3.1639,0.2402,2026-07-29 09:00:00
0.7712,3.3697,0.2288,2026-07-29 10:00:00
0.7741,3.4260,0.2259,2026-07-29 11:00:00
0.7574,3.1214,0.2426,2026-07-29 12:00:00
0.7593,3.1549,0.2407,2026-07-29 13:00:00
0.7677,3.3051,0.2323,2026-07-29 14:00:00
0.7792,3.5281,0.2208,2026-07-29 15:00:00
0.7658,3.2695,0.2342,2026-07-29 16:00:00
0.7646,3.2489,0.2354,2026-07-29 17:00:00
0.7768,3.4805,0.2232,2026-07-29 18:00:00
0.7818,3.5838,0.2182,2026-07-29 19:00:00
0.7824,3.5964,0.2176,2026-07-29 20:00:00
0.7799,3.5440,0.2201,2026-07-29 21:00:00
0.7860,3.6737,0.2140,2026-07-29 22:00:00
0.7881,3.7195,0.2119,2026-07-29 23:00:00
0.7794,3.5331,0.2206,2026-07-30 00:00:00
0.7670,3.2917,0.2330,2026-07-30 01:00:00
0.7758,3.4606,0.2242,2026-07-30 02:00:00
0.7548,3.0779,0.2452,2026-07-30 03:00:00
0.7769,3.4830,0.2231,2026-07-30 04:00:00
0.7962,3.9065,0.2038,2026-07-30 05:00:00
0.8011,4.0265,0.1989,2026-07-30 06:00:00
0.8040,4.1013,0.1960,2026-07-30 07:00:00
0.8063,4.1639,0.1937,2026-07-30 08:00:00
0.8053,4.1363,0.1947,2026-07-30 09:00:00
0.8026,4.0649,0.1974,2026-07-30 10:00:00
0.8123,4.3267,0.1877,2026-07-30 11:00:00
