buySellRatio,sellVol,buyVol,time
0.8451,28669.1700,24229.2500,2026-07-28 19:00:00
1.1514,24602.0600,28326.9000,2026-07-28 20:00:00
1.3322,8133.5600,10835.8800,2026-07-28 21:00:00
0.7523,92179.8800,69347.1200,2026-07-28 22:00:00
1.0655,130769.9400,139338.4300,2026-07-28 23:00:00
0.9690,212239.3800,205660.4700,2026-07-29 00:00:00
0.9648,278676.8500,268858.4200,2026-07-29 01:00:00
1.0062,238290.2700,239772.5900,2026-07-29 02:00:00
0.9719,162154.0900,157595.8100,2026-07-29 03:00:00
1.0029,385085.3100,386216.2800,2026-07-29 04:00:00
1.0069,342667.3000,345042.2700,2026-07-29 05:00:00
1.0425,148609.5800,154927.8500,2026-07-29 06:00:00
0.8130,91642.7800,74509.7000,2026-07-29 07:00:00
1.0564,85098.1900,89900.5700,2026-07-29 08:00:00
1.0203,73910.0000,75412.8500,2026-07-29 09:00:00
1.0036,45212.2600,45376.3500,2026-07-29 10:00:00
1.2401,31549.8400,39123.8400,2026-07-29 11:00:00
0.9839,31604.3400,31095.0100,2026-07-29 12:00:00
1.0097,92036.0900,92928.4400,2026-07-29 13:00:00
0.9779,91766.5200,89739.4500,2026-07-29 14:00:00
0.9570,47346.8600,45310.0200,2026-07-29 15:00:00
0.9670,40415.3400,39082.0400,2026-07-29 16:00:00
1.0199,31452.9400,32078.8300,2026-07-29 17:00:00
1.0583,80357.4100,85044.5400,2026-07-29 18:00:00
0.9177,76933.5800,70604.7100,2026-07-29 19:00:00
1.0141,57002.2200,57808.7800,2026-07-29 20:00:00
0.8963,39714.4100,35595.7500,2026-07-29 21:00:00
0.8640,53385.4900,46124.0400,2026-07-29 22:00:00
0.8857,79985.5600,70839.9700,2026-07-29 23:00:00
0.9768,300323.8600,293355.2700,2026-07-30 00:00:00
0.9201,292678.5800,269299.1000,2026-07-30 01:00:00
1.0312,194929.8700,201006.9300,2026-07-30 02:00:00
0.9560,156361.1500,149484.7500,2026-07-30 03:00:00
0.9990,132643.7300,132507.8800,2026-07-30 04:00:00
0.9902,97065.9500,96117.3600,2026-07-30 05:00:00
0.9237,72877.8100,67313.8900,2026-07-30 06:00:00
1.0246,42618.0000,43665.4800,2026-07-30 07:00:00
1.0211,60171.1800,61441.4400,2026-07-30 08:00:00
1.0251,28866.9400,29592.2400,2026-07-30 09:00:00
1.1215,54823.2000,61486.0200,2026-07-30 10:00:00
1.0987,51100.7100,56145.1100,2026-07-30 11:00:00
1.0702,70387.4500,75328.2100,2026-07-30 12:00:00
1.0657,124001.7800,132151.8700,2026-07-30 13:00:00
1.0666,146778.7100,156552.3800,2026-07-30 14:00:00
1.0605,66587.3800,70614.2500,2026-07-30 15:00:00
0.9215,53455.8800,49261.6500,2026-07-30 16:00:00
0.8375,41052.7400,34383.3400,2026-07-30 17:00:00
0.9665,25071.1400,24231.7500,2026-07-30 18:00:00
1.0009,27380.4400,27404.5100,2026-07-30 19:00:00
1.2437,35932.3900,44688.9800,2026-07-30 20:00:00
0.9582,28510.0200,27319.0900,2026-07-30 21:00:00
1.0498,24780.6800,26014.8700,2026-07-30 22:00:00
1.0850,63091.4900,68453.6300,2026-07-30 23:00:00
0.8363,335789.6800,280809.5400,2026-07-31 00:00:00
0.9040,211780.3300,191440.1800,2026-07-31 01:00:00
0.8803,106458.8700,93716.4200,2026-07-31 02:00:00
0.9132,66879.7400,61071.8000,2026-07-31 03:00:00
0.9658,64246.2800,62049.7300,2026-07-31 04:00:00
0.9748,90209.9700,87939.5300,2026-07-31 05:00:00
1.1122,106193.7900,118111.0500,2026-07-31 06:00:00
0.9754,35738.2300,34859.1600,2026-07-31 07:00:00
0.8866,35335.5800,31328.3600,2026-07-31 08:00:00
0.8724,32221.5600,28110.7600,2026-07-31 09:00:00
1.1971,18091.8100,21658.1100,2026-07-31 10:00:00
1.2303,18939.0300,23300.9400,2026-07-31 11:00:00
0.9260,40917.9400,37888.7500,2026-07-31 12:00:00
1.0688,136331.1400,145707.2400,2026-07-31 13:00:00
1.0085,147137.5500,148391.3700,2026-07-31 14:00:00
0.9953,73083.6700,72740.4700,2026-07-31 15:00:00
0.9478,27288.5300,25865.2000,2026-07-31 16:00:00
0.9146,21572.4400,19731.1700,2026-07-31 17:00:00
0.7865,18019.7000,14172.2600,2026-07-31 18:00:00
0.8316,18389.1700,15291.7000,2026-07-31 19:00:00
0.7889,20065.6900,15830.3700,2026-07-31 20:00:00
1.0687,4249.7200,4541.7800,2026-07-31 21:00:00
0.8232,3264.6300,2687.5000,2026-07-31 22:00:00
0.9101,8902.0300,8101.8700,2026-07-31 23:00:00
1.2405,8417.3600,10441.9100,2026-08-01 00:00:00
1.3043,3233.2000,4217.0500,2026-08-01 01:00:00
1.1124,2292.6500,2550.4400,2026-08-01 02:00:00
0.7526,2630.1600,1979.4600,2026-08-01 03:00:00
1.0574,1737.3000,1837.0100,2026-08-01 04:00:00
0.8215,2539.0800,2085.7800,2026-08-01 05:00:00
0.9110,4178.2600,3806.3300,2026-08-01 06:00:00
1.3209,2180.6300,2880.3100,2026-08-01 07:00:00
0.9137,2605.6700,2380.9000,2026-08-01 08:00:00
1.3890,1539.6800,2138.5900,2026-08-01 09:00:00
1.1378,1054.3200,1199.6500,2026-08-01 10:00:00
1.0597,1839.3000,1949.0900,2026-08-01 11:00:00
0.8498,1806.0200,1534.8100,2026-08-01 12:00:00
0.6565,2501.6400,1642.2700,2026-08-01 13:00:00
1.1150,1203.4000,1341.8200,2026-08-01 14:00:00
0.5980,1467.7900,877.7400,2026-08-01 15:00:00
0.6848,4186.4300,2866.9300,2026-08-01 16:00:00
0.8448,3603.2400,3044.1500,2026-08-01 17:00:00
0.9028,7518.8300,6787.7500,2026-08-01 18:00:00
1.1152,2709.0300,3021.0000,2026-08-01 19:00:00
1.1041,2298.8000,2538.0100,2026-08-01 20:00:00
1.8190,2687.2100,4888.0800,2026-08-01 21:00:00
1.2463,3786.8900,4719.7500,2026-08-01 22:00:00
1.2464,1454.1100,1812.3400,2026-08-01 23:00:00
0.9083,3502.6600,3181.3000,2026-08-02 00:00:00
1.0358,2061.4000,2135.1600,2026-08-02 01:00:00
1.1853,21583.8200,25582.9300,2026-08-02 02:00:00
0.9635,9356.0200,9014.8500,2026-08-02 03:00:00
0.9615,7189.5100,6912.9300,2026-08-02 04:00:00
1.7618,2927.2800,5157.4100,2026-08-02 05:00:00
1.1970,2144.4000,2566.8700,2026-08-02 06:00:00
2.0705,2691.0200,5571.7400,2026-08-02 07:00:00
1.2955,7509.6600,9728.9700,2026-08-02 08:00:00
0.8311,7942.6700,6600.9800,2026-08-02 09:00:00
0.5972,5221.4300,3118.3900,2026-08-02 10:00:00
0.6489,25521.7200,16561.8100,2026-08-02 11:00:00
1.5854,4330.1200,6864.9600,2026-08-02 12:00:00
1.1383,3090.8400,3518.4300,2026-08-02 13:00:00
1.2345,4281.6900,5285.5400,2026-08-02 14:00:00
1.3276,2560.1000,3398.8600,2026-08-02 15:00:00
1.4038,3410.6600,4787.8200,2026-08-02 16:00:00
1.7085,4613.0800,7881.4500,2026-08-02 17:00:00
1.4731,3212.4300,4732.1100,2026-08-02 18:00:00
1.4431,3099.2000,4472.4000,2026-08-02 19:00:00
0.8401,4020.3700,3377.4700,2026-08-02 20:00:00
0.8443,6951.8500,5869.6300,2026-08-02 21:00:00
1.0595,11770.8600,12471.4900,2026-08-02 22:00:00
1.0016,52682.8500,52768.3300,2026-08-02 23:00:00
0.9116,126001.0800,114858.0400,2026-08-03 00:00:00
0.9497,82037.9000,77915.2800,2026-08-03 01:00:00
0.9478,46237.7100,43824.9500,2026-08-03 02:00:00
0.8893,31934.4600,28398.4800,2026-08-03 03:00:00
0.8323,34745.5500,28917.9400,2026-08-03 04:00:00
0.8668,39856.9200,34547.4200,2026-08-03 05:00:00
1.0601,26888.3700,28505.4400,2026-08-03 06:00:00
0.9160,14076.9800,12893.8200,2026-08-03 07:00:00
0.9332,43383.7800,40487.4600,2026-08-03 08:00:00
0.9392,19244.6300,18074.4700,2026-08-03 09:00:00
0.9038,25020.6200,22612.5100,2026-08-03 10:00:00
0.8363,23300.1300,19486.4000,2026-08-03 11:00:00
0.9285,20428.1500,18967.5700,2026-08-03 12:00:00
0.8806,90459.0500,79657.6700,2026-08-03 13:00:00
0.8955,57864.9000,51819.4300,2026-08-03 14:00:00
0.9175,28937.5100,26549.9600,2026-08-03 15:00:00
0.9213,19473.0800,17939.9500,2026-08-03 16:00:00
1.1621,19010.3300,22091.6000,2026-08-03 17:00:00
0.7947,18761.1900,14910.1000,2026-08-03 18:00:00
0.9211,11904.7800,10965.1600,2026-08-03 19:00:00
1.0214,17367.6400,17739.0100,2026-08-03 20:00:00
1.1733,6307.1800,7400.4300,2026-08-03 21:00:00
1.0412,10482.7300,10914.7200,2026-08-03 22:00:00
1.0636,35726.5600,37997.9800,2026-08-03 23:00:00
0.9666,180646.9700,174608.8100,2026-08-04 00:00:00
1.0596,122086.2900,129365.6300,2026-08-04 01:00:00
0.9232,81798.5200,75516.9300,2026-08-04 02:00:00
1.0337,40894.7500,42272.4100,2026-08-04 03:00:00
1.0043,45164.0900,45359.0700,2026-08-04 04:00:00
1.0136,84481.3400,85633.5300,2026-08-04 05:00:00
0.9724,81562.9400,79310.0500,2026-08-04 06:00:00
0.9865,15369.3300,15161.4400,2026-08-04 07:00:00
0.9637,25409.9500,24487.9200,2026-08-04 08:00:00
0.8869,21938.5500,19456.7500,2026-08-04 09:00:00
1.2438,19208.8300,23891.6100,2026-08-04 10:00:00
0.8966,41790.4000,37468.3600,2026-08-04 11:00:00
1.0243,17719.4700,18149.9600,2026-08-04 12:00:00
0.9831,80616.4300,79250.8100,2026-08-04 13:00:00
0.8300,46283.6600,38414.1300,2026-08-04 14:00:00
1.0709,24403.7400,26133.6800,2026-08-04 15:00:00
0.8999,18243.3900,16417.8800,2026-08-04 16:00:00
1.2708,14169.8000,18007.5700,2026-08-04 17:00:00
0.9773,13775.0100,13461.6600,2026-08-04 18:00:00
1.1880,10743.9800,12763.4300,2026-08-04 19:00:00
0.9625,25868.7100,24898.3900,2026-08-04 20:00:00
1.0290,12675.5800,13043.5500,2026-08-04 21:00:00
