longAccount,longShortRatio,shortAccount,time
0.7474,2.9588,0.2526,2026-07-28 20:00:00
0.7490,2.9841,0.2510,2026-07-28 21:00:00
0.7521,3.0339,0.2479,2026-07-28 22:00:00
0.7257,2.6456,0.2743,2026-07-28 23:00:00
0.7203,2.5753,0.2797,2026-07-29 00:00:00
0.7086,2.4317,0.2914,2026-07-29 01:00:00
0.7119,2.4710,0.2881,2026-07-29 02:00:00
0.7236,2.6179,0.2764,2026-07-29 03:00:00
0.7367,2.7979,0.2633,2026-07-29 04:00:00
0.7205,2.5778,0.2795,2026-07-29 05:00:00
0.7117,2.4686,0.2883,2026-07-29 06:00:00
0.7057,2.3979,0.2943,2026-07-29 07:00:00
0.7081,2.4258,0.2919,2026-07-29 08:00:00
0.7048,2.3875,0.2952,2026-07-29 09:00:00
0.7060,2.4014,0.2940,2026-07-29 10:00:00
0.7127,2.4807,0.2873,2026-07-29 11:00:00
0.7109,2.4590,0.2891,2026-07-29 12:00:00
0.7044,2.3829,0.2956,2026-07-29 13:00:00
0.6641,1.9771,0.3359,2026-07-29 14:00:00
0.6638,1.9744,0.3362,2026-07-29 15:00:00
0.6586,1.9291,0.3414,2026-07-29 16:00:00
0.6762,2.0883,0.3238,2026-07-29 17:00:00
0.6743,2.0703,0.3257,2026-07-29 18:00:00
0.6939,2.2669,0.3061,2026-07-29 19:00:00
0.6988,2.3201,0.3012,2026-07-29 20:00:00
0.7026,2.3625,0.2974,2026-07-29 21:00:00
0.7058,2.3990,0.2942,2026-07-29 22:00:00
0.7040,2.3784,0.2960,2026-07-29 23:00:00
0.7017,2.3523,0.2983,2026-07-30 00:00:00
0.7131,2.4855,0.2869,2026-07-30 01:00:00
0.6947,2.2755,0.3053,2026-07-30 02:00:00
0.6961,2.2906,0.3039,2026-07-30 03:00:00
0.6939,2.2669,0.3061,2026-07-30 04:00:00
0.6878,2.2031,0.3122,2026-07-30 05:00:00
0.6966,2.2960,0.3034,2026-07-30 06:00:00
0.7002,2.3356,0.2998,2026-07-30 07:00:00
0.7055,2.3956,0.2945,2026-07-30 08:00:00
0.7105,2.4542,0.2895,2026-07-30 09:00:00
0.7102,2.4507,0.2898,2026-07-30 10:00:00
0.7023,2.3591,0.2977,2026-07-30 11:00:00
0.6954,2.2830,0.3046,2026-07-30 12:00:00
0.6863,2.1878,0.3137,2026-07-30 13:00:00
0.6754,2.0807,0.3246,2026-07-30 14:00:00
0.5789,1.3747,0.4211,2026-07-30 15:00:00
0.5682,1.3159,0.4318,2026-07-30 16:00:00
0.5383,1.1659,0.4617,2026-07-30 17:00:00
0.5357,1.1538,0.4643,2026-07-30 18:00:00
0.5221,1.0925,0.4779,2026-07-30 19:00:00
0.5266,1.1124,0.4734,2026-07-30 20:00:00
0.5255,1.1075,0.4745,2026-07-30 21:00:00
0.5228,1.0956,0.4772,2026-07-30 22:00:00
0.5244,1.1026,0.4756,2026-07-30 23:00:00
0.5309,1.1317,0.4691,2026-07-31 00:00:00
0.4931,0.9728,0.5069,2026-07-31 01:00:00
0.4714,0.8918,0.5286,2026-07-31 02:00:00
0.4666,0.8748,0.5334,2026-07-31 03:00:00
0.4635,0.8639,0.5365,2026-07-31 04:00:00
0.4751,0.9051,0.5249,2026-07-31 05:00:00
0.4678,0.8790,0.5322,2026-07-31 06:00:00
0.4576,0.8437,0.5424,2026-07-31 07:00:00
0.4596,0.8505,0.5404,2026-07-31 08:00:00
0.4442,0.7992,0.5558,2026-07-31 09:00:00
0.4437,0.7976,0.5563,2026-07-31 10:00:00
0.4440,0.7986,0.5560,2026-07-31 11:00:00
0.4372,0.7768,0.5628,2026-07-31 12:00:00
0.4463,0.8060,0.5537,2026-07-31 13:00:00
0.4485,0.8132,0.5515,2026-07-31 14:00:00
0.4946,0.9786,0.5054,2026-07-31 15:00:00
0.4987,0.9948,0.5013,2026-07-31 16:00:00
0.5167,1.0691,0.4833,2026-07-31 17:00:00
0.5203,1.0846,0.4797,2026-07-31 18:00:00
0.5154,1.0636,0.4846,2026-07-31 19:00:00
0.5224,1.0938,0.4776,2026-07-31 20:00:00
0.5170,1.0704,0.4830,2026-07-31 21:00:00
0.5180,1.0747,0.4820,2026-07-31 22:00:00
0.5169,1.0700,0.4831,2026-07-31 23:00:00
0.5192,1.0799,0.4808,2026-08-01 00:00:00
0.5155,1.0640,0.4845,2026-08-01 01:00:00
0.5191,1.0794,0.4809,2026-08-01 02:00:00
0.5266,1.1124,0.4734,2026-08-01 03:00:00
0.5248,1.1044,0.4752,2026-08-01 04:00:00
0.5242,1.1017,0.4758,2026-08-01 05:00:00
0.5277,1.1173,0.4723,2026-08-01 06:00:00
0.5295,1.1254,0.4705,2026-08-01 07:00:00
0.5313,1.1336,0.4687,2026-08-01 08:00:00
0.5310,1.1322,0.4690,2026-08-01 09:00:00
0.5325,1.1390,0.4675,2026-08-01 10:00:00
0.5361,1.1556,0.4639,2026-08-01 11:00:00
0.5373,1.1612,0.4627,2026-08-01 12:00:00
0.5401,1.1744,0.4599,2026-08-01 13:00:00
0.5380,1.1645,0.4620,2026-08-01 14:00:00
0.5440,1.1930,0.4560,2026-08-01 15:00:00
0.5458,1.2017,0.4542,2026-08-01 16:00:00
0.5491,1.2178,0.4509,2026-08-01 17:00:00
0.5539,1.2416,0.4461,2026-08-01 18:00:00
0.5526,1.2351,0.4474,2026-08-01 19:00:00
0.5549,1.2467,0.4451,2026-08-01 20:00:00
0.5479,1.2119,0.4521,2026-08-01 21:00:00
0.5363,1.1566,0.4637,2026-08-01 22:00:00
