buySellRatio,sellVol,buyVol,time
0.9300,202994.3000,188791.0900,2026-07-28 19:00:00
1.1387,187603.8400,213631.2800,2026-07-28 20:00:00
1.0510,41500.8500,43617.0700,2026-07-28 21:00:00
0.7180,642761.6000,461502.4400,2026-07-28 22:00:00
0.9719,556099.8300,540466.4700,2026-07-28 23:00:00
0.9705,524972.6500,509463.6700,2026-07-29 00:00:00
0.9471,390822.6600,370153.4900,2026-07-29 01:00:00
1.1032,375906.4200,414688.2200,2026-07-29 02:00:00
0.9717,246982.7800,240003.5100,2026-07-29 03:00:00
1.0039,507257.9300,509223.3500,2026-07-29 04:00:00
1.0945,454733.4800,497697.6300,2026-07-29 05:00:00
0.9124,376716.4200,343716.4400,2026-07-29 06:00:00
0.9896,211711.8300,209505.4000,2026-07-29 07:00:00
0.9169,247306.1600,226751.9500,2026-07-29 08:00:00
0.9245,408212.9700,377388.4200,2026-07-29 09:00:00
0.9972,267209.2000,266454.6400,2026-07-29 10:00:00
0.9808,193812.0100,190098.8200,2026-07-29 11:00:00
0.8567,181421.8400,155425.3400,2026-07-29 12:00:00
0.9226,797875.3700,736115.0600,2026-07-29 13:00:00
0.8620,773816.4800,667006.0700,2026-07-29 14:00:00
0.7840,287002.4800,224995.8800,2026-07-29 15:00:00
0.8983,205348.1700,184474.3800,2026-07-29 16:00:00
1.0028,150522.6100,150941.4400,2026-07-29 17:00:00
1.2260,308036.2500,377658.2500,2026-07-29 18:00:00
0.8046,451165.6200,363010.1400,2026-07-29 19:00:00
1.1064,201185.4000,222595.2500,2026-07-29 20:00:00
0.8699,123027.3200,107019.1600,2026-07-29 21:00:00
1.0722,157308.8400,168667.9400,2026-07-29 22:00:00
0.9246,154740.5200,143071.6200,2026-07-29 23:00:00
0.9580,317494.2500,304146.9300,2026-07-30 00:00:00
1.0424,345775.7400,360433.3700,2026-07-30 01:00:00
0.9432,243790.3500,229948.2700,2026-07-30 02:00:00
1.2882,252830.7800,325686.9500,2026-07-30 03:00:00
0.8613,222037.0500,191234.6100,2026-07-30 04:00:00
1.1037,127876.4800,141136.3600,2026-07-30 05:00:00
0.9802,97926.2300,95983.9300,2026-07-30 06:00:00
0.8229,89746.1200,73854.6600,2026-07-30 07:00:00
0.8533,224478.9100,191542.0000,2026-07-30 08:00:00
1.0811,89218.0600,96449.3200,2026-07-30 09:00:00
1.0096,197447.9200,199341.7500,2026-07-30 10:00:00
1.1278,241155.7600,271970.1400,2026-07-30 11:00:00
0.9379,293479.5400,275266.4300,2026-07-30 12:00:00
1.1721,782913.5300,917660.2900,2026-07-30 13:00:00
1.1416,831714.7800,949464.7700,2026-07-30 14:00:00
1.0555,348890.4900,368269.8900,2026-07-30 15:00:00
0.9518,297386.9000,283064.3100,2026-07-30 16:00:00
1.3043,164865.4600,215031.3000,2026-07-30 17:00:00
0.9887,94519.3200,93448.4900,2026-07-30 18:00:00
0.9618,157373.0600,151366.0700,2026-07-30 19:00:00
0.8847,192601.2100,170386.5900,2026-07-30 20:00:00
1.1668,138434.0300,161523.9900,2026-07-30 21:00:00
1.0943,102841.6700,112536.8600,2026-07-30 22:00:00
0.8530,208996.2400,178268.1200,2026-07-30 23:00:00
1.1223,445656.3800,500178.6300,2026-07-31 00:00:00
0.9513,366733.3300,348860.5600,2026-07-31 01:00:00
0.8867,208720.9600,185072.1600,2026-07-31 02:00:00
0.8824,131886.4700,116379.7900,2026-07-31 03:00:00
1.2025,96801.8100,116400.1600,2026-07-31 04:00:00
0.9836,192177.1100,189033.4500,2026-07-31 05:00:00
0.9710,435480.3600,422856.1300,2026-07-31 06:00:00
1.1291,141924.9200,160245.1000,2026-07-31 07:00:00
0.9708,187730.8500,182244.1600,2026-07-31 08:00:00
0.9324,159453.0900,148670.9300,2026-07-31 09:00:00
0.8704,124311.3600,108194.6800,2026-07-31 10:00:00
0.9344,124133.5400,115991.2500,2026-07-31 11:00:00
0.8455,190755.5100,161285.4700,2026-07-31 12:00:00
0.9997,963130.4900,962804.2200,2026-07-31 13:00:00
1.0337,843376.0600,871831.7700,2026-07-31 14:00:00
1.0220,319938.0400,326987.4500,2026-07-31 15:00:00
1.2344,162147.0600,200154.6100,2026-07-31 16:00:00
0.8886,99832.4700,88707.7300,2026-07-31 17:00:00
1.1270,64664.7300,72879.6300,2026-07-31 18:00:00
0.7215,103409.3800,74612.1900,2026-07-31 19:00:00
0.6836,95759.0200,65459.6600,2026-07-31 20:00:00
1.1402,25196.8900,28729.7400,2026-07-31 21:00:00
0.8590,20979.5100,18021.6600,2026-07-31 22:00:00
1.5929,14785.9800,23552.0000,2026-07-31 23:00:00
0.9932,62536.5500,62113.1000,2026-08-01 00:00:00
0.8398,14550.7000,12219.3700,2026-08-01 01:00:00
1.0128,7514.6900,7610.5400,2026-08-01 02:00:00
1.2615,6437.3000,8120.9400,2026-08-01 03:00:00
1.9688,4345.6200,8555.4700,2026-08-01 04:00:00
1.0694,5953.4500,6366.8400,2026-08-01 05:00:00
0.9950,18066.9700,17976.0200,2026-08-01 06:00:00
1.3527,7156.0300,9679.9100,2026-08-01 07:00:00
0.9200,7718.0800,7100.6500,2026-08-01 08:00:00
1.1742,7250.1500,8513.0000,2026-08-01 09:00:00
0.8079,5386.1100,4351.4800,2026-08-01 10:00:00
1.4734,3942.3500,5808.7900,2026-08-01 11:00:00
0.5309,8334.0400,4424.3300,2026-08-01 12:00:00
0.8383,17758.0200,14887.2700,2026-08-01 13:00:00
1.5059,7984.1500,12023.5300,2026-08-01 14:00:00
1.6242,4605.0900,7479.3700,2026-08-01 15:00:00
0.8465,8651.2400,7323.4100,2026-08-01 16:00:00
0.9222,9193.3600,8478.2500,2026-08-01 17:00:00
0.8231,37946.6500,31232.7400,2026-08-01 18:00:00
0.8291,8782.5800,7281.4200,2026-08-01 19:00:00
0.8865,7674.3200,6803.2700,2026-08-01 20:00:00
0.8474,21539.1300,18251.9200,2026-08-01 21:00:00
0.9685,11117.3700,10767.0900,2026-08-01 22:00:00
1.1206,6037.8700,6766.2600,2026-08-01 23:00:00
0.9826,9283.6000,9122.0000,2026-08-02 00:00:00
1.0851,5538.3600,6009.6100,2026-08-02 01:00:00
1.1219,75168.1800,84333.1900,2026-08-02 02:00:00
1.2498,24216.8800,30265.5100,2026-08-02 03:00:00
1.1411,16239.5200,18531.5300,2026-08-02 04:00:00
1.2864,8611.2800,11077.9100,2026-08-02 05:00:00
1.0473,8368.6900,8764.6500,2026-08-02 06:00:00
1.0928,19295.1900,21085.7000,2026-08-02 07:00:00
0.9531,24999.1000,23826.6200,2026-08-02 08:00:00
1.2957,10999.7700,14252.1600,2026-08-02 09:00:00
0.5927,14853.4700,8803.4400,2026-08-02 10:00:00
0.7782,41262.1500,32109.0200,2026-08-02 11:00:00
1.0820,13314.3500,14406.0500,2026-08-02 12:00:00
0.8567,7105.6600,6087.2800,2026-08-02 13:00:00
1.4050,7614.4600,10698.6400,2026-08-02 14:00:00
1.0885,4302.6300,4683.6000,2026-08-02 15:00:00
1.4087,9722.6900,13696.2100,2026-08-02 16:00:00
1.2356,22434.2000,27719.9200,2026-08-02 17:00:00
1.1639,7952.6800,9256.5000,2026-08-02 18:00:00
1.2915,6919.5200,8936.8900,2026-08-02 19:00:00
0.8325,11614.3100,9668.5600,2026-08-02 20:00:00
1.1839,20546.6200,24324.3700,2026-08-02 21:00:00
1.0747,44500.2800,47824.7700,2026-08-02 22:00:00
0.9569,116456.0800,111433.0200,2026-08-02 23:00:00
0.9882,220433.5300,217842.5200,2026-08-03 00:00:00
1.0515,140803.7100,148052.5000,2026-08-03 01:00:00
1.1303,85694.9300,96865.1800,2026-08-03 02:00:00
0.9409,52632.3300,49524.1100,2026-08-03 03:00:00
1.1272,45774.9100,51599.4400,2026-08-03 04:00:00
1.0384,50576.9600,52519.6400,2026-08-03 05:00:00
0.9912,45445.8500,45045.3300,2026-08-03 06:00:00
0.8787,52615.4100,46232.4000,2026-08-03 07:00:00
0.9327,198737.4800,185355.1200,2026-08-03 08:00:00
0.9695,116262.6600,112716.2000,2026-08-03 09:00:00
0.8960,143675.8000,128730.7400,2026-08-03 10:00:00
0.8735,145860.7300,127410.5500,2026-08-03 11:00:00
0.9054,111634.4100,101079.3000,2026-08-03 12:00:00
0.9619,650308.3900,625527.4900,2026-08-03 13:00:00
0.9963,354392.8200,353070.9800,2026-08-03 14:00:00
0.9149,178101.6700,162951.6600,2026-08-03 15:00:00
0.9873,107766.1900,106396.9900,2026-08-03 16:00:00
1.2441,83207.3500,103522.0500,2026-08-03 17:00:00
0.9034,99791.8300,90151.8600,2026-08-03 18:00:00
0.9609,76689.2500,73691.9600,2026-08-03 19:00:00
0.9728,49046.1000,47709.9200,2026-08-03 20:00:00
0.8381,27869.4400,23357.3600,2026-08-03 21:00:00
0.7772,69775.5700,54232.2900,2026-08-03 22:00:00
0.9995,111805.3200,111754.2400,2026-08-03 23:00:00
0.8608,264804.1000,227951.4700,2026-08-04 00:00:00
1.0568,152155.9400,160793.8300,2026-08-04 01:00:00
0.8288,92439.8600,76614.2200,2026-08-04 02:00:00
0.9145,52497.7500,48008.2200,2026-08-04 03:00:00
0.9698,60242.4100,58423.2400,2026-08-04 04:00:00
1.0207,112680.0300,115016.2700,2026-08-04 05:00:00
0.8363,117955.0900,98641.2300,2026-08-04 06:00:00
0.9423,50177.5800,47280.9800,2026-08-04 07:00:00
0.9823,104795.7700,102939.3600,2026-08-04 08:00:00
0.9209,87216.5500,80319.5800,2026-08-04 09:00:00
1.2775,67130.6400,85762.1900,2026-08-04 10:00:00
1.1281,124167.5000,140077.6100,2026-08-04 11:00:00
0.9092,116228.1100,105677.0200,2026-08-04 12:00:00
1.0979,550484.6200,604400.3400,2026-08-04 13:00:00
0.8734,271390.8700,237021.9000,2026-08-04 14:00:00
1.0855,127345.5900,138233.0600,2026-08-04 15:00:00
0.9452,117339.7000,110905.9000,2026-08-04 16:00:00
1.0756,91304.7000,98207.3800,2026-08-04 17:00:00
0.9300,87239.6200,81130.1600,2026-08-04 18:00:00
0.8462,84101.7700,71165.9400,2026-08-04 19:00:00
0.9615,128240.5700,123308.9900,2026-08-04 20:00:00
1.2298,49696.9700,61119.7400,2026-08-04 21:00:00
1.1556,37964.1800,43869.7400,2026-08-04 22:00:00
0.9536,70765.3900,67480.9300,2026-08-04 23:00:00
0.8144,238390.5300,194136.1200,2026-08-05 00:00:00
1.0299,121725.7900,125361.3800,2026-08-05 01:00:00
0.9964,44545.6700,44384.9900,2026-08-05 02:00:00
1.0723,30006.0300,32174.2400,2026-08-05 03:00:00
0.9204,34250.6800,31523.1600,2026-08-05 04:00:00
0.9485,54899.7600,52071.2800,2026-08-05 05:00:00
0.9774,65798.4100,64309.4400,2026-08-05 06:00:00
0.6859,69711.8200,47813.2100,2026-08-05 07:00:00
0.6537,274259.8100,179275.8800,2026-08-05 08:00:00
0.8949,81048.9300,72528.0600,2026-08-05 09:00:00
0.7918,58732.7400,46504.3000,2026-08-05 10:00:00
1.1549,95893.8100,110744.0600,2026-08-05 11:00:00
1.0774,69783.9100,75182.5200,2026-08-05 12:00:00
1.0842,336721.2100,365076.2400,2026-08-05 13:00:00
0.9328,275941.8200,257387.4100,2026-08-05 14:00:00
0.9240,187252.6600,173016.2100,2026-08-05 15:00:00
1.0982,122612.6900,134655.5200,2026-08-05 16:00:00
1.0979,63949.4400,70212.8300,2026-08-05 17:00:00
0.7081,57521.0200,40733.0900,2026-08-05 18:00:00
1.7380,180842.7700,314297.0600,2026-08-05 19:00:00
0.8370,302712.6800,253373.5800,2026-08-05 20:00:00
0.8375,80921.1800,67767.6400,2026-08-05 21:00:00
0.8811,50623.5000,44604.8800,2026-08-05 22:00:00
0.9029,58315.8300,52653.8500,2026-08-05 23:00:00
0.8404,179324.7700,150699.1500,2026-08-06 00:00:00
0.9517,110734.3900,105389.9500,2026-08-06 01:00:00
0.9205,86700.8800,79809.5100,2026-08-06 02:00:00
1.0413,56119.9100,58440.1400,2026-08-06 03:00:00
1.0434,69141.8600,72145.7300,2026-08-06 04:00:00
1.0515,55988.4600,58869.2700,2026-08-06 05:00:00
0.9055,83904.8500,75973.9900,2026-08-06 06:00:00
0.8013,45360.1500,36348.4700,2026-08-06 07:00:00
0.9344,100630.8000,94033.5700,2026-08-06 08:00:00
0.8593,64441.6600,55376.4400,2026-08-06 09:00:00
0.7764,48512.3200,37664.3300,2026-08-06 10:00:00
0.7274,117959.5000,85808.3100,2026-08-06 11:00:00
0.6635,91367.7400,60619.1100,2026-08-06 12:00:00
1.0570,441505.8400,466668.0100,2026-08-06 13:00:00
1.2048,355220.3800,427975.5400,2026-08-06 14:00:00
1.0979,203892.9800,223858.2000,2026-08-06 15:00:00
0.8488,214907.1700,182413.9400,2026-08-06 16:00:00
0.9699,48996.5500,47522.0300,2026-08-06 17:00:00
1.1140,77148.4800,85941.2200,2026-08-06 18:00:00
1.2542,77072.2200,96665.8700,2026-08-06 19:00:00
1.2258,31251.9600,38309.6800,2026-08-06 20:00:00
1.3840,21325.2200,29513.4800,2026-08-06 21:00:00
1.5856,15788.7300,25034.5500,2026-08-06 22:00:00
0.9621,49120.9200,47260.9500,2026-08-06 23:00:00
0.9485,203732.0500,193236.9700,2026-08-07 00:00:00
0.8631,258052.2300,222735.7900,2026-08-07 01:00:00
0.9680,110693.9300,107147.8800,2026-08-07 02:00:00
0.9833,86330.2000,84887.8400,2026-08-07 03:00:00
0.7596,80058.6900,60811.4900,2026-08-07 04:00:00
0.8104,70399.9100,57054.0300,2026-08-07 05:00:00
1.0349,66429.4200,68746.4500,2026-08-07 06:00:00
1.1835,115577.9500,136782.2600,2026-08-07 07:00:00
0.7717,175926.6200,135754.4000,2026-08-07 08:00:00
0.8445,60373.5100,50987.7000,2026-08-07 09:00:00
0.8346,83770.9500,69912.0500,2026-08-07 10:00:00
0.9161,53048.5600,48595.4600,2026-08-07 11:00:00
1.1102,189631.5700,210525.0800,2026-08-07 12:00:00
0.8633,533778.9200,460832.5200,2026-08-07 13:00:00
0.9712,390564.9400,379306.2100,2026-08-07 14:00:00
1.2101,155828.6800,188573.7000,2026-08-07 15:00:00
0.8989,97351.7400,87506.3800,2026-08-07 16:00:00
1.0446,30148.3000,31492.9400,2026-08-07 17:00:00
1.0730,28421.3400,30495.4400,2026-08-07 18:00:00
0.8537,75026.9500,64048.7000,2026-08-07 19:00:00
1.1395,20446.0900,23299.0500,2026-08-07 20:00:00
0.6794,9410.7300,6393.9000,2026-08-07 21:00:00
1.3826,4375.0800,6049.0100,2026-08-07 22:00:00
0.8325,13177.4000,10969.7600,2026-08-07 23:00:00
0.7954,7668.4600,6099.4800,2026-08-08 00:00:00
1.3553,3189.7200,4322.9900,2026-08-08 01:00:00
0.5274,5858.0800,3089.5100,2026-08-08 02:00:00
0.6638,9473.1300,6288.1300,2026-08-08 03:00:00
1.3679,2824.2500,3863.2600,2026-08-08 04:00:00
0.9725,2140.8800,2081.9300,2026-08-08 05:00:00
0.7258,3835.8700,2783.9900,2026-08-08 06:00:00
0.9061,3143.8000,2848.4800,2026-08-08 07:00:00
3.2331,3540.2100,11445.7200,2026-08-08 08:00:00
2.2718,1900.4200,4317.4500,2026-08-08 09:00:00
0.9457,3463.3600,3275.1500,2026-08-08 10:00:00
0.5569,2025.1700,1127.7900,2026-08-08 11:00:00
1.6604,2853.2900,4737.5400,2026-08-08 12:00:00
1.0841,40933.2000,44374.4400,2026-08-08 13:00:00
1.2351,10684.6300,13196.8900,2026-08-08 14:00:00
0.9698,8736.9600,8472.8500,2026-08-08 15:00:00
0.9698,5180.1500,5023.6400,2026-08-08 16:00:00
0.8686,4142.4100,3598.0300,2026-08-08 17:00:00
0.7475,2322.3100,1736.0300,2026-08-08 18:00:00
1.2537,2375.5400,2978.1800,2026-08-08 19:00:00
0.5921,2354.5800,1394.2100,2026-08-08 20:00:00
0.3365,4262.9100,1434.2700,2026-08-08 21:00:00
