longAccount,longShortRatio,shortAccount,time
0.7819,3.5851,0.2181,2026-07-28 20:00:00
0.7820,3.5872,0.2180,2026-07-28 21:00:00
0.7722,3.3898,0.2278,2026-07-28 22:00:00
0.7858,3.6685,0.2142,2026-07-28 23:00:00
0.7699,3.3459,0.2301,2026-07-29 00:00:00
0.7646,3.2481,0.2354,2026-07-29 01:00:00
0.7760,3.4643,0.2240,2026-07-29 02:00:00
0.7790,3.5249,0.2210,2026-07-29 03:00:00
0.7723,3.3917,0.2277,2026-07-29 04:00:00
0.7815,3.5767,0.2185,2026-07-29 05:00:00
0.7716,3.3783,0.2284,2026-07-29 06:00:00
0.7583,3.1374,0.2417,2026-07-29 07:00:00
0.7640,3.2373,0.2360,2026-07-29 08:00:00
0.7502,3.0032,0.2498,2026-07-29 09:00:00
0.7331,2.7467,0.2669,2026-07-29 10:00:00
0.7595,3.1580,0.2405,2026-07-29 11:00:00
0.7376,2.8110,0.2624,2026-07-29 12:00:00
0.7450,2.9216,0.2550,2026-07-29 13:00:00
0.7777,3.4984,0.2223,2026-07-29 14:00:00
0.7902,3.7664,0.2098,2026-07-29 15:00:00
0.7960,3.9020,0.2040,2026-07-29 16:00:00
0.7943,3.8614,0.2057,2026-07-29 17:00:00
0.7912,3.7893,0.2088,2026-07-29 18:00:00
0.7709,3.3649,0.2291,2026-07-29 19:00:00
0.7951,3.8804,0.2049,2026-07-29 20:00:00
0.8100,4.2632,0.1900,2026-07-29 21:00:00
0.8149,4.4025,0.1851,2026-07-29 22:00:00
0.8164,4.4466,0.1836,2026-07-29 23:00:00
0.8091,4.2383,0.1909,2026-07-30 00:00:00
0.8199,4.5525,0.1801,2026-07-30 01:00:00
0.7967,3.9188,0.2033,2026-07-30 02:00:00
0.8119,4.3163,0.1881,2026-07-30 03:00:00
0.8066,4.1706,0.1934,2026-07-30 04:00:00
0.8069,4.1787,0.1931,2026-07-30 05:00:00
0.8073,4.1894,0.1927,2026-07-30 06:00:00
0.8141,4.3792,0.1859,2026-07-30 07:00:00
0.8063,4.1626,0.1937,2026-07-30 08:00:00
0.8137,4.3677,0.1863,2026-07-30 09:00:00
0.8042,4.1073,0.1958,2026-07-30 10:00:00
0.7963,3.9092,0.2037,2026-07-30 11:00:00
0.7817,3.5809,0.2183,2026-07-30 12:00:00
0.7732,3.4092,0.2268,2026-07-30 13:00:00
0.6424,1.7964,0.3576,2026-07-30 14:00:00
0.5638,1.2925,0.4362,2026-07-30 15:00:00
0.5558,1.2512,0.4442,2026-07-30 16:00:00
0.5268,1.1133,0.4732,2026-07-30 17:00:00
0.5160,1.0661,0.4840,2026-07-30 18:00:00
0.5017,1.0068,0.4983,2026-07-30 19:00:00
0.5230,1.0964,0.4770,2026-07-30 20:00:00
0.5195,1.0812,0.4805,2026-07-30 21:00:00
0.5132,1.0542,0.4868,2026-07-30 22:00:00
0.5058,1.0235,0.4942,2026-07-30 23:00:00
0.4869,0.9489,0.5131,2026-07-31 00:00:00
0.4830,0.9342,0.5170,2026-07-31 01:00:00
0.4738,0.9004,0.5262,2026-07-31 02:00:00
0.4443,0.7995,0.5557,2026-07-31 03:00:00
0.4521,0.8252,0.5479,2026-07-31 04:00:00
0.4713,0.8914,0.5287,2026-07-31 05:00:00
0.4623,0.8598,0.5377,2026-07-31 06:00:00
0.4330,0.7637,0.5670,2026-07-31 07:00:00
0.4485,0.8132,0.5515,2026-07-31 08:00:00
0.4438,0.7979,0.5562,2026-07-31 09:00:00
0.4264,0.7434,0.5736,2026-07-31 10:00:00
0.4327,0.7627,0.5673,2026-07-31 11:00:00
0.4341,0.7671,0.5659,2026-07-31 12:00:00
0.4253,0.7400,0.5747,2026-07-31 13:00:00
0.4783,0.9168,0.5217,2026-07-31 14:00:00
0.5233,1.0978,0.4767,2026-07-31 15:00:00
0.5486,1.2153,0.4514,2026-07-31 16:00:00
0.5521,1.2326,0.4479,2026-07-31 17:00:00
0.5467,1.2060,0.4533,2026-07-31 18:00:00
0.5519,1.2316,0.4481,2026-07-31 19:00:00
0.5534,1.2391,0.4466,2026-07-31 20:00:00
0.5616,1.2810,0.4384,2026-07-31 21:00:00
0.5556,1.2502,0.4444,2026-07-31 22:00:00
0.5631,1.2889,0.4369,2026-07-31 23:00:00
0.5736,1.3452,0.4264,2026-08-01 00:00:00
0.5799,1.3804,0.4201,2026-08-01 01:00:00
0.5922,1.4522,0.4078,2026-08-01 02:00:00
0.6009,1.5056,0.3991,2026-08-01 03:00:00
0.6057,1.5361,0.3943,2026-08-01 04:00:00
0.6027,1.5170,0.3973,2026-08-01 05:00:00
0.6111,1.5714,0.3889,2026-08-01 06:00:00
0.6209,1.6378,0.3791,2026-08-01 07:00:00
0.6241,1.6603,0.3759,2026-08-01 08:00:00
0.6146,1.5947,0.3854,2026-08-01 09:00:00
0.6210,1.6385,0.3790,2026-08-01 10:00:00
0.6184,1.6205,0.3816,2026-08-01 11:00:00
0.6231,1.6532,0.3769,2026-08-01 12:00:00
0.6215,1.6420,0.3785,2026-08-01 13:00:00
0.6183,1.6199,0.3817,2026-08-01 14:00:00
0.6222,1.6469,0.3778,2026-08-01 15:00:00
0.6282,1.6896,0.3718,2026-08-01 16:00:00
0.6347,1.7375,0.3653,2026-08-01 17:00:00
0.6324,1.7203,0.3676,2026-08-01 18:00:00
0.6280,1.6882,0.3720,2026-08-01 19:00:00
0.6313,1.7122,0.3687,2026-08-01 20:00:00
0.6318,1.7159,0.3682,2026-08-01 21:00:00
0.6309,1.7093,0.3691,2026-08-01 22:00:00
0.6229,1.6518,0.3771,2026-08-01 23:00:00
0.6188,1.6233,0.3812,2026-08-02 00:00:00
0.6341,1.7330,0.3659,2026-08-02 01:00:00
0.6359,1.7465,0.3641,2026-08-02 02:00:00
0.6274,1.6838,0.3726,2026-08-02 03:00:00
0.6310,1.7100,0.3690,2026-08-02 04:00:00
0.6377,1.7601,0.3623,2026-08-02 05:00:00
0.6340,1.7322,0.3660,2026-08-02 06:00:00
0.6377,1.7601,0.3623,2026-08-02 07:00:00
0.6400,1.7778,0.3600,2026-08-02 08:00:00
0.6342,1.7337,0.3658,2026-08-02 09:00:00
0.6485,1.8450,0.3515,2026-08-02 10:00:00
0.6420,1.7933,0.3580,2026-08-02 11:00:00
0.6440,1.8090,0.3560,2026-08-02 12:00:00
0.6392,1.7716,0.3608,2026-08-02 13:00:00
0.6396,1.7747,0.3604,2026-08-02 14:00:00
0.6393,1.7724,0.3607,2026-08-02 15:00:00
0.6404,1.7809,0.3596,2026-08-02 16:00:00
0.6396,1.7747,0.3604,2026-08-02 17:00:00
0.6344,1.7352,0.3656,2026-08-02 18:00:00
0.6338,1.7307,0.3662,2026-08-02 19:00:00
0.6365,1.7510,0.3635,2026-08-02 20:00:00
0.6323,1.7196,0.3677,2026-08-02 21:00:00
0.6391,1.7709,0.3609,2026-08-02 22:00:00
0.6393,1.7724,0.3607,2026-08-02 23:00:00
0.6354,1.7427,0.3646,2026-08-03 00:00:00
0.6208,1.6371,0.3792,2026-08-03 01:00:00
0.6258,1.6724,0.3742,2026-08-03 02:00:00
0.6237,1.6575,0.3763,2026-08-03 03:00:00
0.6194,1.6274,0.3806,2026-08-03 04:00:00
0.6161,1.6048,0.3839,2026-08-03 05:00:00
0.6098,1.5628,0.3902,2026-08-03 06:00:00
0.6173,1.6130,0.3827,2026-08-03 07:00:00
0.6134,1.5867,0.3866,2026-08-03 08:00:00
0.6176,1.6151,0.3824,2026-08-03 09:00:00
0.6141,1.5913,0.3859,2026-08-03 10:00:00
0.6326,1.7218,0.3674,2026-08-03 11:00:00
0.6193,1.6267,0.3807,2026-08-03 12:00:00
0.6456,1.8217,0.3544,2026-08-03 13:00:00
0.6248,1.6652,0.3752,2026-08-03 14:00:00
0.6065,1.5413,0.3935,2026-08-03 15:00:00
0.5856,1.4131,0.4144,2026-08-03 16:00:00
0.5874,1.4237,0.4126,2026-08-03 17:00:00
0.5817,1.3906,0.4183,2026-08-03 18:00:00
0.5744,1.3496,0.4256,2026-08-03 19:00:00
0.5868,1.4201,0.4132,2026-08-03 20:00:00
0.5765,1.3613,0.4235,2026-08-03 21:00:00
0.5848,1.4085,0.4152,2026-08-03 22:00:00
0.5797,1.3793,0.4203,2026-08-03 23:00:00
0.5692,1.3213,0.4308,2026-08-04 00:00:00
0.5867,1.4195,0.4133,2026-08-04 01:00:00
0.5868,1.4201,0.4132,2026-08-04 02:00:00
0.5854,1.4120,0.4146,2026-08-04 03:00:00
0.5919,1.4504,0.4081,2026-08-04 04:00:00
0.6023,1.5145,0.3977,2026-08-04 05:00:00
0.5984,1.4900,0.4016,2026-08-04 06:00:00
0.5808,1.3855,0.4192,2026-08-04 07:00:00
0.5757,1.3568,0.4243,2026-08-04 08:00:00
0.5566,1.2553,0.4434,2026-08-04 09:00:00
0.5514,1.2292,0.4486,2026-08-04 10:00:00
0.5558,1.2512,0.4442,2026-08-04 11:00:00
0.5438,1.1920,0.4562,2026-08-04 12:00:00
0.5340,1.1459,0.4660,2026-08-04 13:00:00
0.5216,1.0903,0.4784,2026-08-04 14:00:00
0.5092,1.0375,0.4908,2026-08-04 15:00:00
0.4840,0.9380,0.5160,2026-08-04 16:00:00
0.4858,0.9448,0.5142,2026-08-04 17:00:00
0.4803,0.9242,0.5197,2026-08-04 18:00:00
0.4705,0.8886,0.5295,2026-08-04 19:00:00
0.4703,0.8879,0.5297,2026-08-04 20:00:00
0.4710,0.8904,0.5290,2026-08-04 21:00:00
0.4672,0.8769,0.5328,2026-08-04 22:00:00
0.4667,0.8751,0.5333,2026-08-04 23:00:00
0.4605,0.8536,0.5395,2026-08-05 00:00:00
0.4505,0.8198,0.5495,2026-08-05 01:00:00
0.4608,0.8546,0.5392,2026-08-05 02:00:00
0.4589,0.8481,0.5411,2026-08-05 03:00:00
0.4620,0.8587,0.5380,2026-08-05 04:00:00
0.4657,0.8716,0.5343,2026-08-05 05:00:00
0.4695,0.8850,0.5305,2026-08-05 06:00:00
0.4715,0.8921,0.5285,2026-08-05 07:00:00
0.4635,0.8639,0.5365,2026-08-05 08:00:00
0.4669,0.8758,0.5331,2026-08-05 09:00:00
0.4734,0.8990,0.5266,2026-08-05 10:00:00
