longAccount,longShortRatio,shortAccount,time
0.7713,3.3725,0.2287,2026-07-28 20:00:00
0.7726,3.3975,0.2274,2026-07-28 21:00:00
0.7733,3.4111,0.2267,2026-07-28 22:00:00
0.7740,3.4248,0.2260,2026-07-28 23:00:00
0.7758,3.4603,0.2242,2026-07-29 00:00:00
0.7723,3.3917,0.2277,2026-07-29 01:00:00
0.7725,3.3956,0.2275,2026-07-29 02:00:00
0.7705,3.3573,0.2295,2026-07-29 03:00:00
0.7744,3.4326,0.2256,2026-07-29 04:00:00
0.7747,3.4385,0.2253,2026-07-29 05:00:00
0.7719,3.3840,0.2281,2026-07-29 06:00:00
0.7707,3.3611,0.2293,2026-07-29 07:00:00
0.7678,3.3066,0.2322,2026-07-29 08:00:00
0.7663,3.2790,0.2337,2026-07-29 09:00:00
0.7662,3.2772,0.2338,2026-07-29 10:00:00
0.7662,3.2772,0.2338,2026-07-29 11:00:00
0.7674,3.2992,0.2326,2026-07-29 12:00:00
0.7693,3.3346,0.2307,2026-07-29 13:00:00
0.7683,3.3159,0.2317,2026-07-29 14:00:00
0.7732,3.4092,0.2268,2026-07-29 15:00:00
0.7751,3.4464,0.2249,2026-07-29 16:00:00
0.7746,3.4366,0.2254,2026-07-29 17:00:00
0.7729,3.4033,0.2271,2026-07-29 18:00:00
0.7685,3.3197,0.2315,2026-07-29 19:00:00
0.7734,3.4131,0.2266,2026-07-29 20:00:00
0.7734,3.4131,0.2266,2026-07-29 21:00:00
0.7727,3.3995,0.2273,2026-07-29 22:00:00
0.7695,3.3384,0.2305,2026-07-29 23:00:00
0.7691,3.3309,0.2309,2026-07-30 00:00:00
0.7725,3.3956,0.2275,2026-07-30 01:00:00
0.7711,3.3687,0.2289,2026-07-30 02:00:00
0.7642,3.2409,0.2358,2026-07-30 03:00:00
0.7647,3.2499,0.2353,2026-07-30 04:00:00
0.7669,3.2900,0.2331,2026-07-30 05:00:00
0.7679,3.3085,0.2321,2026-07-30 06:00:00
0.7680,3.3103,0.2320,2026-07-30 07:00:00
0.7704,3.3554,0.2296,2026-07-30 08:00:00
0.7705,3.3573,0.2295,2026-07-30 09:00:00
0.7649,3.2535,0.2351,2026-07-30 10:00:00
0.7630,3.2194,0.2370,2026-07-30 11:00:00
0.7611,3.1859,0.2389,2026-07-30 12:00:00
0.7566,3.1085,0.2434,2026-07-30 13:00:00
0.7552,3.0850,0.2448,2026-07-30 14:00:00
0.7573,3.1203,0.2427,2026-07-30 15:00:00
0.7541,3.0667,0.2459,2026-07-30 16:00:00
0.7550,3.0816,0.2450,2026-07-30 17:00:00
0.7544,3.0717,0.2456,2026-07-30 18:00:00
0.7549,3.0800,0.2451,2026-07-30 19:00:00
0.7545,3.0733,0.2455,2026-07-30 20:00:00
0.7538,3.0617,0.2462,2026-07-30 21:00:00
0.7527,3.0437,0.2473,2026-07-30 22:00:00
0.7501,3.0016,0.2499,2026-07-30 23:00:00
0.7549,3.0800,0.2451,2026-07-31 00:00:00
0.7542,3.0683,0.2458,2026-07-31 01:00:00
0.7574,3.1220,0.2426,2026-07-31 02:00:00
0.7583,3.1374,0.2417,2026-07-31 03:00:00
0.7642,3.2409,0.2358,2026-07-31 04:00:00
0.7695,3.3384,0.2305,2026-07-31 05:00:00
0.7661,3.2753,0.2339,2026-07-31 06:00:00
0.7659,3.2717,0.2341,2026-07-31 07:00:00
0.7711,3.3687,0.2289,2026-07-31 08:00:00
0.7699,3.3459,0.2301,2026-07-31 09:00:00
0.7722,3.3898,0.2278,2026-07-31 10:00:00
0.7755,3.4543,0.2245,2026-07-31 11:00:00
0.7743,3.4307,0.2257,2026-07-31 12:00:00
0.7756,3.4563,0.2244,2026-07-31 13:00:00
0.7767,3.4783,0.2233,2026-07-31 14:00:00
0.7828,3.6041,0.2172,2026-07-31 15:00:00
0.7836,3.6211,0.2164,2026-07-31 16:00:00
0.7844,3.6382,0.2156,2026-07-31 17:00:00
0.7829,3.6062,0.2171,2026-07-31 18:00:00
0.7848,3.6468,0.2152,2026-07-31 19:00:00
0.7854,3.6598,0.2146,2026-07-31 20:00:00
0.7850,3.6512,0.2150,2026-07-31 21:00:00
0.7879,3.7148,0.2121,2026-07-31 22:00:00
0.7881,3.7192,0.2119,2026-07-31 23:00:00
0.7886,3.7304,0.2114,2026-08-01 00:00:00
0.7889,3.7371,0.2111,2026-08-01 01:00:00
0.7830,3.6083,0.2170,2026-08-01 02:00:00
0.7832,3.6125,0.2168,2026-08-01 03:00:00
0.7853,3.6577,0.2147,2026-08-01 04:00:00
0.7840,3.6296,0.2160,2026-08-01 05:00:00
0.7852,3.6555,0.2148,2026-08-01 06:00:00
0.7852,3.6555,0.2148,2026-08-01 07:00:00
0.7863,3.6795,0.2137,2026-08-01 08:00:00
0.7848,3.6468,0.2152,2026-08-01 09:00:00
0.7872,3.6992,0.2128,2026-08-01 10:00:00
0.7846,3.6425,0.2154,2026-08-01 11:00:00
0.7852,3.6555,0.2148,2026-08-01 12:00:00
0.7855,3.6620,0.2145,2026-08-01 13:00:00
0.7849,3.6490,0.2151,2026-08-01 14:00:00
0.7844,3.6382,0.2156,2026-08-01 15:00:00
0.7884,3.7259,0.2116,2026-08-01 16:00:00
0.7901,3.7642,0.2099,2026-08-01 17:00:00
0.7944,3.8638,0.2056,2026-08-01 18:00:00
0.7977,3.9432,0.2023,2026-08-01 19:00:00
0.7991,3.9776,0.2009,2026-08-01 20:00:00
0.7974,3.9358,0.2026,2026-08-01 21:00:00
0.7946,3.8685,0.2054,2026-08-01 22:00:00
0.7935,3.8426,0.2065,2026-08-01 23:00:00
0.7939,3.8520,0.2061,2026-08-02 00:00:00
0.7921,3.8100,0.2079,2026-08-02 01:00:00
0.7877,3.7103,0.2123,2026-08-02 02:00:00
0.7871,3.6970,0.2129,2026-08-02 03:00:00
0.7830,3.6083,0.2170,2026-08-02 04:00:00
0.7804,3.5537,0.2196,2026-08-02 05:00:00
0.7747,3.4385,0.2253,2026-08-02 06:00:00
0.7725,3.3956,0.2275,2026-08-02 07:00:00
0.7706,3.3592,0.2294,2026-08-02 08:00:00
0.7696,3.3403,0.2304,2026-08-02 09:00:00
0.7707,3.3611,0.2293,2026-08-02 10:00:00
0.7705,3.3573,0.2295,2026-08-02 11:00:00
0.7703,3.3535,0.2297,2026-08-02 12:00:00
0.7718,3.3821,0.2282,2026-08-02 13:00:00
0.7728,3.4014,0.2272,2026-08-02 14:00:00
0.7709,3.3649,0.2291,2026-08-02 15:00:00
0.7728,3.4014,0.2272,2026-08-02 16:00:00
0.7735,3.4150,0.2265,2026-08-02 17:00:00
0.7727,3.3995,0.2273,2026-08-02 18:00:00
0.7692,3.3328,0.2308,2026-08-02 19:00:00
0.7689,3.3271,0.2311,2026-08-02 20:00:00
0.7669,3.2900,0.2331,2026-08-02 21:00:00
0.7676,3.3029,0.2324,2026-08-02 22:00:00
0.7688,3.3253,0.2312,2026-08-02 23:00:00
0.7699,3.3459,0.2301,2026-08-03 00:00:00
0.7714,3.3745,0.2286,2026-08-03 01:00:00
0.7732,3.4092,0.2268,2026-08-03 02:00:00
0.7778,3.5005,0.2222,2026-08-03 03:00:00
0.7812,3.5704,0.2188,2026-08-03 04:00:00
0.7795,3.5351,0.2205,2026-08-03 05:00:00
0.7803,3.5517,0.2197,2026-08-03 06:00:00
0.7816,3.5788,0.2184,2026-08-03 07:00:00
0.7839,3.6275,0.2161,2026-08-03 08:00:00
