sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
848231.68000000,93109492.78668809,0.00000000,2026-07-28 20:00:00
873155.61000000,95374787.28030000,0.00000000,2026-07-28 21:00:00
870870.74000000,95906639.28274013,0.00000000,2026-07-28 22:00:00
888149.05000000,90937784.85543269,0.00000000,2026-07-28 23:00:00
867500.06000000,96976156.07898411,0.00000000,2026-07-29 00:00:00
892571.96000000,97379600.83600000,0.00000000,2026-07-29 01:00:00
859790.31000000,88601994.25308424,0.00000000,2026-07-29 02:00:00
850593.91000000,87981182.90962690,0.00000000,2026-07-29 03:00:00
875087.37000000,87388093.91981882,0.00000000,2026-07-29 04:00:00
922501.54000000,93252931.55943570,0.00000000,2026-07-29 05:00:00
875892.69000000,89700170.38290000,0.00000000,2026-07-29 06:00:00
889315.79000000,94002375.44401468,0.00000000,2026-07-29 07:00:00
902740.80000000,94189534.22337015,0.00000000,2026-07-29 08:00:00
926513.27000000,96969583.46080697,0.00000000,2026-07-29 09:00:00
870697.81000000,96153477.96587968,0.00000000,2026-07-29 10:00:00
896899.67000000,95940439.26566893,0.00000000,2026-07-29 11:00:00
874479.25000000,95182274.37361626,0.00000000,2026-07-29 12:00:00
888742.93000000,95267704.14327973,0.00000000,2026-07-29 13:00:00
945725.30000000,97055096.25919210,0.00000000,2026-07-29 14:00:00
1032596.99000000,102630359.41742656,0.00000000,2026-07-29 15:00:00
1053490.11000000,101124515.65890000,0.00000000,2026-07-29 16:00:00
1124033.45000000,107890330.61177225,0.00000000,2026-07-29 17:00:00
1147730.76000000,113223639.47400000,0.00000000,2026-07-29 18:00:00
941271.37000000,101377455.99931446,0.00000000,2026-07-29 19:00:00
1057010.62000000,97497704.86509770,0.00000000,2026-07-29 20:00:00
1083977.97000000,97026247.12708011,0.00000000,2026-07-29 21:00:00
1090567.47000000,95969252.82170476,0.00000000,2026-07-29 22:00:00
1053664.65000000,95841336.56400000,0.00000000,2026-07-29 23:00:00
1059471.33000000,97884556.17870000,0.00000000,2026-07-30 00:00:00
1031987.68000000,97771173.85322830,0.00000000,2026-07-30 01:00:00
994328.50000000,97692775.12500000,0.00000000,2026-07-30 02:00:00
1012883.10000000,95484489.83700000,0.00000000,2026-07-30 03:00:00
1032527.59000000,97418978.11650000,0.00000000,2026-07-30 04:00:00
1084845.53000000,99502032.01160000,0.00000000,2026-07-30 05:00:00
1069588.46000000,100295309.89420000,0.00000000,2026-07-30 06:00:00
