longAccount,longShortRatio,shortAccount,time
0.8610,6.1942,0.1390,2026-07-28 20:00:00
0.8640,6.3529,0.1360,2026-07-28 21:00:00
0.8649,6.4019,0.1351,2026-07-28 22:00:00
0.8687,6.6161,0.1313,2026-07-28 23:00:00
0.8569,5.9881,0.1431,2026-07-29 00:00:00
0.8580,6.0423,0.1420,2026-07-29 01:00:00
0.8650,6.4074,0.1350,2026-07-29 02:00:00
0.8689,6.6278,0.1311,2026-07-29 03:00:00
0.8678,6.5643,0.1322,2026-07-29 04:00:00
0.8622,6.2569,0.1378,2026-07-29 05:00:00
0.8666,6.4963,0.1334,2026-07-29 06:00:00
0.8639,6.3475,0.1361,2026-07-29 07:00:00
0.8606,6.1736,0.1394,2026-07-29 08:00:00
0.8570,5.9930,0.1430,2026-07-29 09:00:00
0.8497,5.6534,0.1503,2026-07-29 10:00:00
0.8477,5.5660,0.1523,2026-07-29 11:00:00
0.8501,5.6711,0.1499,2026-07-29 12:00:00
0.8490,5.6225,0.1510,2026-07-29 13:00:00
0.8559,5.9396,0.1441,2026-07-29 14:00:00
0.8704,6.7160,0.1296,2026-07-29 15:00:00
0.8759,7.0580,0.1241,2026-07-29 16:00:00
0.8796,7.3056,0.1204,2026-07-29 17:00:00
0.8743,6.9554,0.1257,2026-07-29 18:00:00
0.8571,5.9979,0.1429,2026-07-29 19:00:00
0.8818,7.4602,0.1182,2026-07-29 20:00:00
0.8749,6.9936,0.1251,2026-07-29 21:00:00
0.8815,7.4388,0.1185,2026-07-29 22:00:00
0.8776,7.1699,0.1224,2026-07-29 23:00:00
0.8775,7.1633,0.1225,2026-07-30 00:00:00
0.8623,6.2622,0.1377,2026-07-30 01:00:00
0.8558,5.9348,0.1442,2026-07-30 02:00:00
0.8526,5.7843,0.1474,2026-07-30 03:00:00
0.8609,6.1891,0.1391,2026-07-30 04:00:00
0.8597,6.1276,0.1403,2026-07-30 05:00:00
0.8648,6.3964,0.1352,2026-07-30 06:00:00
0.8624,6.2674,0.1376,2026-07-30 07:00:00
0.8592,6.1023,0.1408,2026-07-30 08:00:00
0.8508,5.7024,0.1492,2026-07-30 09:00:00
0.8553,5.9109,0.1447,2026-07-30 10:00:00
0.8488,5.6138,0.1512,2026-07-30 11:00:00
0.8412,5.2972,0.1588,2026-07-30 12:00:00
0.8258,4.7405,0.1742,2026-07-30 13:00:00
0.7929,3.8286,0.2071,2026-07-30 14:00:00
0.7536,3.0584,0.2464,2026-07-30 15:00:00
0.7501,3.0016,0.2499,2026-07-30 16:00:00
0.7433,2.8956,0.2567,2026-07-30 17:00:00
0.7404,2.8521,0.2596,2026-07-30 18:00:00
0.7426,2.8850,0.2574,2026-07-30 19:00:00
0.7461,2.9386,0.2539,2026-07-30 20:00:00
0.7429,2.8895,0.2571,2026-07-30 21:00:00
0.7383,2.8212,0.2617,2026-07-30 22:00:00
0.7347,2.7693,0.2653,2026-07-30 23:00:00
0.7345,2.7665,0.2655,2026-07-31 00:00:00
0.7232,2.6127,0.2768,2026-07-31 01:00:00
0.7305,2.7106,0.2695,2026-07-31 02:00:00
0.7374,2.8081,0.2626,2026-07-31 03:00:00
0.7372,2.8052,0.2628,2026-07-31 04:00:00
0.7311,2.7189,0.2689,2026-07-31 05:00:00
0.7285,2.6832,0.2715,2026-07-31 06:00:00
0.7204,2.5765,0.2796,2026-07-31 07:00:00
0.7010,2.3445,0.2990,2026-07-31 08:00:00
0.6904,2.2300,0.3096,2026-07-31 09:00:00
0.6845,2.1696,0.3155,2026-07-31 10:00:00
0.6920,2.2468,0.3080,2026-07-31 11:00:00
0.6931,2.2584,0.3069,2026-07-31 12:00:00
0.6883,2.2082,0.3117,2026-07-31 13:00:00
0.6926,2.2531,0.3074,2026-07-31 14:00:00
0.7118,2.4698,0.2882,2026-07-31 15:00:00
0.7211,2.5855,0.2789,2026-07-31 16:00:00
0.7120,2.4722,0.2880,2026-07-31 17:00:00
0.7039,2.3772,0.2961,2026-07-31 18:00:00
0.7034,2.3715,0.2966,2026-07-31 19:00:00
0.7112,2.4626,0.2888,2026-07-31 20:00:00
0.7188,2.5562,0.2812,2026-07-31 21:00:00
0.7197,2.5676,0.2803,2026-07-31 22:00:00
0.7227,2.6062,0.2773,2026-07-31 23:00:00
0.7299,2.7023,0.2701,2026-08-01 00:00:00
0.7307,2.7133,0.2693,2026-08-01 01:00:00
0.7293,2.6941,0.2707,2026-08-01 02:00:00
0.7287,2.6860,0.2713,2026-08-01 03:00:00
0.7289,2.6887,0.2711,2026-08-01 04:00:00
0.7307,2.7133,0.2693,2026-08-01 05:00:00
0.7302,2.7064,0.2698,2026-08-01 06:00:00
0.7316,2.7258,0.2684,2026-08-01 07:00:00
0.7321,2.7327,0.2679,2026-08-01 08:00:00
0.7272,2.6657,0.2728,2026-08-01 09:00:00
0.7328,2.7425,0.2672,2026-08-01 10:00:00
0.7328,2.7425,0.2672,2026-08-01 11:00:00
0.7284,2.6819,0.2716,2026-08-01 12:00:00
0.7302,2.7064,0.2698,2026-08-01 13:00:00
0.7365,2.7951,0.2635,2026-08-01 14:00:00
0.7430,2.8911,0.2570,2026-08-01 15:00:00
0.7435,2.8986,0.2565,2026-08-01 16:00:00
0.7422,2.8790,0.2578,2026-08-01 17:00:00
0.7458,2.9339,0.2542,2026-08-01 18:00:00
0.7493,2.9888,0.2507,2026-08-01 19:00:00
0.7417,2.8715,0.2583,2026-08-01 20:00:00
0.7433,2.8956,0.2567,2026-08-01 21:00:00
0.7448,2.9185,0.2552,2026-08-01 22:00:00
0.7487,2.9793,0.2513,2026-08-01 23:00:00
0.7485,2.9761,0.2515,2026-08-02 00:00:00
0.7513,3.0209,0.2487,2026-08-02 01:00:00
0.7444,2.9124,0.2556,2026-08-02 02:00:00
0.7204,2.5765,0.2796,2026-08-02 03:00:00
0.7190,2.5587,0.2810,2026-08-02 04:00:00
0.7174,2.5386,0.2826,2026-08-02 05:00:00
0.7202,2.5740,0.2798,2026-08-02 06:00:00
0.7134,2.4892,0.2866,2026-08-02 07:00:00
0.7125,2.4783,0.2875,2026-08-02 08:00:00
0.7089,2.4352,0.2911,2026-08-02 09:00:00
0.7121,2.4734,0.2879,2026-08-02 10:00:00
0.7055,2.3956,0.2945,2026-08-02 11:00:00
0.6984,2.3156,0.3016,2026-08-02 12:00:00
0.7088,2.4341,0.2912,2026-08-02 13:00:00
0.7052,2.3921,0.2948,2026-08-02 14:00:00
0.7036,2.3738,0.2964,2026-08-02 15:00:00
0.7068,2.4106,0.2932,2026-08-02 16:00:00
0.7003,2.3367,0.2997,2026-08-02 17:00:00
0.7034,2.3715,0.2966,2026-08-02 18:00:00
0.7049,2.3887,0.2951,2026-08-02 19:00:00
0.7019,2.3546,0.2981,2026-08-02 20:00:00
0.7058,2.3990,0.2942,2026-08-02 21:00:00
0.6982,2.3135,0.3018,2026-08-02 22:00:00
0.6989,2.3212,0.3011,2026-08-02 23:00:00
0.6979,2.3102,0.3021,2026-08-03 00:00:00
0.7225,2.6036,0.2775,2026-08-03 01:00:00
0.7187,2.5549,0.2813,2026-08-03 02:00:00
0.7253,2.6403,0.2747,2026-08-03 03:00:00
0.7213,2.5881,0.2787,2026-08-03 04:00:00
0.7221,2.5984,0.2779,2026-08-03 05:00:00
