longAccount,longShortRatio,shortAccount,time
0.2943,0.4170,0.7057,2026-07-28 19:00:00
0.2853,0.3992,0.7147,2026-07-28 20:00:00
0.2819,0.3926,0.7181,2026-07-28 21:00:00
0.2973,0.4231,0.7027,2026-07-28 22:00:00
0.2752,0.3797,0.7248,2026-07-28 23:00:00
0.2813,0.3914,0.7187,2026-07-29 00:00:00
0.2726,0.3748,0.7274,2026-07-29 01:00:00
0.2651,0.3607,0.7349,2026-07-29 02:00:00
0.2644,0.3594,0.7356,2026-07-29 03:00:00
0.2734,0.3763,0.7266,2026-07-29 04:00:00
0.2646,0.3598,0.7354,2026-07-29 05:00:00
0.2816,0.3920,0.7184,2026-07-29 06:00:00
0.2874,0.4033,0.7126,2026-07-29 07:00:00
0.2877,0.4039,0.7123,2026-07-29 08:00:00
0.2771,0.3833,0.7229,2026-07-29 09:00:00
0.2934,0.4152,0.7066,2026-07-29 10:00:00
0.2868,0.4021,0.7132,2026-07-29 11:00:00
0.3020,0.4327,0.6980,2026-07-29 12:00:00
0.2896,0.4077,0.7104,2026-07-29 13:00:00
0.2845,0.3976,0.7155,2026-07-29 14:00:00
0.2651,0.3607,0.7349,2026-07-29 15:00:00
0.2590,0.3495,0.7410,2026-07-29 16:00:00
0.2565,0.3450,0.7435,2026-07-29 17:00:00
0.2593,0.3501,0.7407,2026-07-29 18:00:00
0.2734,0.3763,0.7266,2026-07-29 19:00:00
0.2544,0.3412,0.7456,2026-07-29 20:00:00
0.2334,0.3045,0.7666,2026-07-29 21:00:00
0.2340,0.3055,0.7660,2026-07-29 22:00:00
0.2346,0.3065,0.7654,2026-07-29 23:00:00
0.2491,0.3317,0.7509,2026-07-30 00:00:00
0.2496,0.3326,0.7504,2026-07-30 01:00:00
0.2863,0.4011,0.7137,2026-07-30 02:00:00
0.2877,0.4039,0.7123,2026-07-30 03:00:00
0.2755,0.3803,0.7245,2026-07-30 04:00:00
0.2816,0.3920,0.7184,2026-07-30 05:00:00
0.2667,0.3637,0.7333,2026-07-30 06:00:00
0.2724,0.3744,0.7276,2026-07-30 07:00:00
0.2640,0.3587,0.7360,2026-07-30 08:00:00
0.2628,0.3565,0.7372,2026-07-30 09:00:00
0.2664,0.3631,0.7336,2026-07-30 10:00:00
0.2720,0.3736,0.7280,2026-07-30 11:00:00
0.2928,0.4140,0.7072,2026-07-30 12:00:00
0.3173,0.4648,0.6827,2026-07-30 13:00:00
0.3921,0.6450,0.6079,2026-07-30 14:00:00
0.4670,0.8762,0.5330,2026-07-30 15:00:00
0.4762,0.9091,0.5238,2026-07-30 16:00:00
0.4883,0.9543,0.5117,2026-07-30 17:00:00
0.4917,0.9673,0.5083,2026-07-30 18:00:00
0.4838,0.9372,0.5162,2026-07-30 19:00:00
0.4887,0.9558,0.5113,2026-07-30 20:00:00
0.5071,1.0288,0.4929,2026-07-30 21:00:00
0.5178,1.0738,0.4822,2026-07-30 22:00:00
0.5339,1.1455,0.4661,2026-07-30 23:00:00
0.5352,1.1515,0.4648,2026-07-31 00:00:00
0.5457,1.2012,0.4543,2026-07-31 01:00:00
0.5575,1.2599,0.4425,2026-07-31 02:00:00
0.5599,1.2722,0.4401,2026-07-31 03:00:00
0.5765,1.3613,0.4235,2026-07-31 04:00:00
0.6008,1.5050,0.3992,2026-07-31 05:00:00
0.6097,1.5621,0.3903,2026-07-31 06:00:00
0.6099,1.5634,0.3901,2026-07-31 07:00:00
0.6297,1.7005,0.3703,2026-07-31 08:00:00
0.6330,1.7248,0.3670,2026-07-31 09:00:00
0.6217,1.6434,0.3783,2026-07-31 10:00:00
0.6186,1.6219,0.3814,2026-07-31 11:00:00
0.6294,1.6983,0.3706,2026-07-31 12:00:00
0.6195,1.6281,0.3805,2026-07-31 13:00:00
0.6142,1.5920,0.3858,2026-07-31 14:00:00
0.5744,1.3496,0.4256,2026-07-31 15:00:00
0.5826,1.3958,0.4174,2026-07-31 16:00:00
0.5767,1.3624,0.4233,2026-07-31 17:00:00
0.5809,1.3861,0.4191,2026-07-31 18:00:00
0.5916,1.4486,0.4084,2026-07-31 19:00:00
0.5657,1.3026,0.4343,2026-07-31 20:00:00
0.5532,1.2381,0.4468,2026-07-31 21:00:00
0.5638,1.2925,0.4362,2026-07-31 22:00:00
0.5521,1.2326,0.4479,2026-07-31 23:00:00
0.5526,1.2351,0.4474,2026-08-01 00:00:00
0.5342,1.1468,0.4658,2026-08-01 01:00:00
0.5445,1.1954,0.4555,2026-08-01 02:00:00
0.5279,1.1182,0.4721,2026-08-01 03:00:00
0.5339,1.1455,0.4661,2026-08-01 04:00:00
0.5203,1.0846,0.4797,2026-08-01 05:00:00
0.5203,1.0846,0.4797,2026-08-01 06:00:00
0.5200,1.0833,0.4800,2026-08-01 07:00:00
0.5135,1.0555,0.4865,2026-08-01 08:00:00
0.5063,1.0255,0.4937,2026-08-01 09:00:00
0.5071,1.0288,0.4929,2026-08-01 10:00:00
0.5068,1.0276,0.4932,2026-08-01 11:00:00
0.5124,1.0509,0.4876,2026-08-01 12:00:00
0.5166,1.0687,0.4834,2026-08-01 13:00:00
0.5181,1.0751,0.4819,2026-08-01 14:00:00
0.5095,1.0387,0.4905,2026-08-01 15:00:00
0.5104,1.0425,0.4896,2026-08-01 16:00:00
0.5203,1.0846,0.4797,2026-08-01 17:00:00
0.5132,1.0542,0.4868,2026-08-01 18:00:00
0.5111,1.0454,0.4889,2026-08-01 19:00:00
