longAccount,longShortRatio,shortAccount,time
0.2281,0.2955,0.7719,2026-07-28 19:00:00
0.2328,0.3034,0.7672,2026-07-28 20:00:00
0.2341,0.3057,0.7659,2026-07-28 21:00:00
0.2334,0.3044,0.7666,2026-07-28 22:00:00
0.2048,0.2576,0.7952,2026-07-28 23:00:00
0.1971,0.2455,0.8029,2026-07-29 00:00:00
0.1731,0.2093,0.8269,2026-07-29 01:00:00
0.2308,0.3001,0.7692,2026-07-29 02:00:00
0.2414,0.3181,0.7586,2026-07-29 03:00:00
0.2822,0.3931,0.7178,2026-07-29 04:00:00
0.2801,0.3890,0.7199,2026-07-29 05:00:00
0.2231,0.2871,0.7769,2026-07-29 06:00:00
0.2124,0.2696,0.7876,2026-07-29 07:00:00
0.2394,0.3148,0.7606,2026-07-29 08:00:00
0.2693,0.3685,0.7307,2026-07-29 09:00:00
0.1873,0.2305,0.8127,2026-07-29 10:00:00
0.1888,0.2328,0.8112,2026-07-29 11:00:00
0.1859,0.2284,0.8141,2026-07-29 12:00:00
0.1932,0.2395,0.8068,2026-07-29 13:00:00
0.2565,0.3449,0.7435,2026-07-29 14:00:00
0.3059,0.4406,0.6941,2026-07-29 15:00:00
0.3106,0.4505,0.6894,2026-07-29 16:00:00
0.3209,0.4724,0.6791,2026-07-29 17:00:00
0.2556,0.3434,0.7444,2026-07-29 18:00:00
0.2530,0.3387,0.7470,2026-07-29 19:00:00
0.2915,0.4114,0.7085,2026-07-29 20:00:00
0.2853,0.3991,0.7147,2026-07-29 21:00:00
0.3366,0.5073,0.6634,2026-07-29 22:00:00
0.2905,0.4095,0.7095,2026-07-29 23:00:00
0.2782,0.3855,0.7218,2026-07-30 00:00:00
0.3292,0.4907,0.6708,2026-07-30 01:00:00
0.3163,0.4627,0.6837,2026-07-30 02:00:00
0.3606,0.5639,0.6394,2026-07-30 03:00:00
0.3363,0.5067,0.6637,2026-07-30 04:00:00
0.3470,0.5313,0.6530,2026-07-30 05:00:00
0.3570,0.5552,0.6430,2026-07-30 06:00:00
0.3441,0.5246,0.6559,2026-07-30 07:00:00
0.3248,0.4810,0.6752,2026-07-30 08:00:00
0.3205,0.4717,0.6795,2026-07-30 09:00:00
0.3318,0.4965,0.6682,2026-07-30 10:00:00
0.3085,0.4461,0.6915,2026-07-30 11:00:00
0.3207,0.4721,0.6793,2026-07-30 12:00:00
0.3165,0.4632,0.6835,2026-07-30 13:00:00
0.3337,0.5009,0.6663,2026-07-30 14:00:00
0.3638,0.5717,0.6362,2026-07-30 15:00:00
0.3886,0.6356,0.6114,2026-07-30 16:00:00
0.3902,0.6398,0.6098,2026-07-30 17:00:00
0.3898,0.6389,0.6102,2026-07-30 18:00:00
0.3860,0.6288,0.6140,2026-07-30 19:00:00
0.3918,0.6441,0.6082,2026-07-30 20:00:00
0.3648,0.5743,0.6352,2026-07-30 21:00:00
0.3690,0.5847,0.6310,2026-07-30 22:00:00
0.3565,0.5540,0.6435,2026-07-30 23:00:00
0.3943,0.6509,0.6057,2026-07-31 00:00:00
0.4176,0.7172,0.5824,2026-07-31 01:00:00
0.3979,0.6609,0.6021,2026-07-31 02:00:00
0.4013,0.6704,0.5987,2026-07-31 03:00:00
0.4078,0.6886,0.5922,2026-07-31 04:00:00
0.4340,0.7668,0.5660,2026-07-31 05:00:00
0.4585,0.8468,0.5415,2026-07-31 06:00:00
0.4786,0.9179,0.5214,2026-07-31 07:00:00
0.4939,0.9759,0.5061,2026-07-31 08:00:00
0.5264,1.1113,0.4736,2026-07-31 09:00:00
0.5606,1.2759,0.4394,2026-07-31 10:00:00
0.5891,1.4335,0.4109,2026-07-31 11:00:00
0.6052,1.5326,0.3948,2026-07-31 12:00:00
0.6524,1.8769,0.3476,2026-07-31 13:00:00
0.6086,1.5551,0.3914,2026-07-31 14:00:00
0.5427,1.1869,0.4573,2026-07-31 15:00:00
0.5670,1.3096,0.4330,2026-07-31 16:00:00
0.5536,1.2402,0.4464,2026-07-31 17:00:00
0.5395,1.1717,0.4605,2026-07-31 18:00:00
0.5428,1.1871,0.4572,2026-07-31 19:00:00
0.5275,1.1165,0.4725,2026-07-31 20:00:00
0.5585,1.2649,0.4415,2026-07-31 21:00:00
0.5674,1.3116,0.4326,2026-07-31 22:00:00
0.5867,1.4196,0.4133,2026-07-31 23:00:00
0.5758,1.3577,0.4242,2026-08-01 00:00:00
0.5763,1.3599,0.4237,2026-08-01 01:00:00
0.5590,1.2677,0.4410,2026-08-01 02:00:00
0.5538,1.2409,0.4462,2026-08-01 03:00:00
0.5550,1.2470,0.4450,2026-08-01 04:00:00
0.5548,1.2462,0.4452,2026-08-01 05:00:00
0.5482,1.2134,0.4518,2026-08-01 06:00:00
0.5545,1.2445,0.4455,2026-08-01 07:00:00
