longAccount,longShortRatio,shortAccount,time
0.4735,0.8992,0.5265,2026-07-21 12:00:00
0.4630,0.8621,0.5370,2026-07-21 13:00:00
0.4408,0.7884,0.5592,2026-07-21 14:00:00
0.4671,0.8766,0.5329,2026-07-21 15:00:00
0.4872,0.9502,0.5128,2026-07-21 16:00:00
0.4727,0.8965,0.5273,2026-07-21 17:00:00
0.4573,0.8425,0.5427,2026-07-21 18:00:00
0.4453,0.8027,0.5547,2026-07-21 19:00:00
0.4458,0.8042,0.5542,2026-07-21 20:00:00
0.4411,0.7893,0.5589,2026-07-21 21:00:00
0.4544,0.8328,0.5456,2026-07-21 22:00:00
0.4695,0.8850,0.5305,2026-07-22 00:00:00
0.4608,0.8547,0.5392,2026-07-22 01:00:00
0.4707,0.8892,0.5293,2026-07-22 02:00:00
0.4579,0.8446,0.5421,2026-07-22 03:00:00
0.4927,0.9713,0.5073,2026-07-22 04:00:00
0.4963,0.9854,0.5037,2026-07-22 05:00:00
0.5072,1.0293,0.4928,2026-07-22 06:00:00
0.5110,1.0451,0.4890,2026-07-22 07:00:00
0.5142,1.0587,0.4858,2026-07-22 08:00:00
0.5149,1.0614,0.4851,2026-07-22 09:00:00
0.5167,1.0692,0.4833,2026-07-22 10:00:00
0.5069,1.0280,0.4931,2026-07-22 11:00:00
0.5066,1.0266,0.4934,2026-07-22 12:00:00
0.5000,1.0000,0.5000,2026-07-22 13:00:00
0.4186,0.7199,0.5814,2026-07-22 14:00:00
0.4217,0.7292,0.5783,2026-07-22 15:00:00
0.4462,0.8058,0.5538,2026-07-22 16:00:00
0.4119,0.7004,0.5881,2026-07-22 17:00:00
0.3903,0.6402,0.6097,2026-07-22 18:00:00
0.4004,0.6679,0.5996,2026-07-22 19:00:00
0.4292,0.7521,0.5708,2026-07-22 20:00:00
0.4362,0.7737,0.5638,2026-07-22 21:00:00
0.4094,0.6933,0.5906,2026-07-22 23:00:00
0.4194,0.7225,0.5806,2026-07-23 00:00:00
0.4109,0.6976,0.5891,2026-07-23 01:00:00
0.4271,0.7454,0.5729,2026-07-23 02:00:00
0.4148,0.7089,0.5852,2026-07-23 04:00:00
0.3711,0.5900,0.6289,2026-07-23 07:00:00
0.4007,0.6685,0.5993,2026-07-23 08:00:00
0.4112,0.6985,0.5888,2026-07-23 12:00:00
0.3859,0.6283,0.6141,2026-07-23 14:00:00
0.3651,0.5750,0.6349,2026-07-23 15:00:00
0.3673,0.5806,0.6327,2026-07-23 16:00:00
0.3406,0.5165,0.6594,2026-07-23 17:00:00
0.3546,0.5495,0.6454,2026-07-23 20:00:00
0.3773,0.6060,0.6227,2026-07-23 23:00:00
0.3578,0.5572,0.6422,2026-07-24 00:00:00
0.4105,0.6965,0.5895,2026-07-24 03:00:00
0.4344,0.7680,0.5656,2026-07-24 04:00:00
0.4049,0.6804,0.5951,2026-07-24 05:00:00
0.3530,0.5456,0.6470,2026-07-24 06:00:00
0.3512,0.5414,0.6488,2026-07-24 07:00:00
0.3917,0.6440,0.6083,2026-07-24 08:00:00
0.3683,0.5829,0.6317,2026-07-24 09:00:00
0.4326,0.7625,0.5674,2026-07-24 10:00:00
0.5208,1.0869,0.4792,2026-07-24 11:00:00
0.3793,0.6112,0.6207,2026-07-24 12:00:00
0.6452,1.8188,0.3548,2026-07-24 13:00:00
0.9906,105.0112,0.0094,2026-07-24 14:00:00
0.9936,156.2804,0.0064,2026-07-24 15:00:00
0.9919,122.5094,0.0081,2026-07-24 16:00:00
0.9521,19.8615,0.0479,2026-07-24 18:00:00
0.7206,2.5787,0.2794,2026-07-24 19:00:00
0.5105,1.0428,0.4895,2026-07-24 20:00:00
0.5051,1.0207,0.4949,2026-07-24 22:00:00
0.4121,0.7009,0.5879,2026-07-24 23:00:00
0.4236,0.7350,0.5764,2026-07-25 01:00:00
0.4127,0.7027,0.5873,2026-07-25 04:00:00
0.4101,0.6952,0.5899,2026-07-25 09:00:00
0.4098,0.6944,0.5902,2026-07-25 10:00:00
0.3915,0.6435,0.6085,2026-07-25 13:00:00
0.4336,0.7654,0.5664,2026-07-25 14:00:00
0.4117,0.6999,0.5883,2026-07-25 15:00:00
0.4307,0.7565,0.5693,2026-07-25 16:00:00
0.4452,0.8025,0.5548,2026-07-25 17:00:00
0.4760,0.9085,0.5240,2026-07-25 21:00:00
0.4766,0.9107,0.5234,2026-07-25 22:00:00
0.4872,0.9499,0.5128,2026-07-25 23:00:00
0.4753,0.9057,0.5247,2026-07-26 02:00:00
0.4568,0.8408,0.5432,2026-07-26 03:00:00
0.4654,0.8707,0.5346,2026-07-26 05:00:00
0.4635,0.8640,0.5365,2026-07-26 06:00:00
0.4501,0.8185,0.5499,2026-07-26 09:00:00
0.4572,0.8423,0.5428,2026-07-26 12:00:00
0.4736,0.8996,0.5264,2026-07-26 13:00:00
0.4814,0.9284,0.5186,2026-07-26 14:00:00
0.4546,0.8335,0.5454,2026-07-26 18:00:00
0.4612,0.8559,0.5388,2026-07-26 20:00:00
0.4410,0.7890,0.5590,2026-07-26 21:00:00
0.4463,0.8061,0.5537,2026-07-26 22:00:00
0.4413,0.7900,0.5587,2026-07-26 23:00:00
0.4369,0.7758,0.5631,2026-07-27 00:00:00
0.4330,0.7637,0.5670,2026-07-27 01:00:00
0.4374,0.7775,0.5626,2026-07-27 02:00:00
0.4412,0.7895,0.5588,2026-07-27 05:00:00
0.4411,0.7892,0.5589,2026-07-27 06:00:00
0.4328,0.7631,0.5672,2026-07-27 07:00:00
0.4673,0.8772,0.5327,2026-07-27 09:00:00
0.4471,0.8085,0.5529,2026-07-27 10:00:00
0.4437,0.7976,0.5563,2026-07-27 11:00:00
0.4890,0.9571,0.5110,2026-07-27 12:00:00
0.7254,2.6413,0.2746,2026-07-27 13:00:00
0.5542,1.2430,0.4458,2026-07-27 14:00:00
0.4917,0.9672,0.5083,2026-07-27 15:00:00
0.4772,0.9128,0.5228,2026-07-27 16:00:00
0.4760,0.9085,0.5240,2026-07-27 19:00:00
0.4725,0.8956,0.5275,2026-07-27 20:00:00
0.4685,0.8814,0.5315,2026-07-28 07:00:00
0.4696,0.8855,0.5304,2026-07-28 09:00:00
0.4596,0.8504,0.5404,2026-07-28 12:00:00
0.4740,0.9012,0.5260,2026-07-28 14:00:00
0.4880,0.9532,0.5120,2026-07-28 15:00:00
0.4297,0.7536,0.5703,2026-07-28 16:00:00
0.4278,0.7476,0.5722,2026-07-28 18:00:00
0.4752,0.9056,0.5248,2026-07-28 19:00:00
0.4853,0.9429,0.5147,2026-07-28 20:00:00
0.5278,1.1176,0.4722,2026-07-28 21:00:00
0.5354,1.1524,0.4646,2026-07-28 23:00:00
0.4611,0.8555,0.5389,2026-07-29 01:00:00
0.4241,0.7363,0.5759,2026-07-29 02:00:00
0.4242,0.7366,0.5758,2026-07-29 03:00:00
0.4202,0.7247,0.5798,2026-07-29 04:00:00
0.4104,0.6961,0.5896,2026-07-29 05:00:00
0.3987,0.6630,0.6013,2026-07-29 09:00:00
0.3899,0.6391,0.6101,2026-07-29 10:00:00
0.3922,0.6454,0.6078,2026-07-29 12:00:00
0.4001,0.6670,0.5999,2026-07-29 13:00:00
0.4124,0.7017,0.5876,2026-07-29 14:00:00
0.4618,0.8580,0.5382,2026-07-29 15:00:00
0.5266,1.1124,0.4734,2026-07-29 16:00:00
0.4112,0.6983,0.5888,2026-07-29 17:00:00
0.4320,0.7604,0.5680,2026-07-29 18:00:00
0.3850,0.6261,0.6150,2026-07-29 19:00:00
0.4037,0.6770,0.5963,2026-07-29 20:00:00
0.4097,0.6941,0.5903,2026-07-29 21:00:00
0.4040,0.6779,0.5960,2026-07-29 22:00:00
0.4073,0.6872,0.5927,2026-07-29 23:00:00
0.5509,1.2268,0.4491,2026-07-30 02:00:00
0.5332,1.1422,0.4668,2026-07-30 04:00:00
0.4695,0.8852,0.5305,2026-07-30 05:00:00
0.4283,0.7491,0.5717,2026-07-30 06:00:00
0.4197,0.7233,0.5803,2026-07-30 07:00:00
0.4833,0.9353,0.5167,2026-07-30 09:00:00
0.4724,0.8953,0.5276,2026-07-30 11:00:00
0.4223,0.7309,0.5777,2026-07-30 12:00:00
0.3850,0.6260,0.6150,2026-07-30 13:00:00
0.6291,1.6961,0.3709,2026-07-30 14:00:00
0.4744,0.9025,0.5256,2026-07-30 15:00:00
0.4939,0.9758,0.5061,2026-07-30 16:00:00
0.4453,0.8028,0.5547,2026-07-30 17:00:00
0.4469,0.8079,0.5531,2026-07-30 18:00:00
0.4317,0.7597,0.5683,2026-07-30 19:00:00
0.4233,0.7340,0.5767,2026-07-30 20:00:00
0.3970,0.6584,0.6030,2026-07-30 21:00:00
0.3762,0.6031,0.6238,2026-07-30 22:00:00
0.3945,0.6516,0.6055,2026-07-30 23:00:00
0.4273,0.7462,0.5727,2026-07-31 00:00:00
0.4560,0.8381,0.5440,2026-07-31 01:00:00
0.4837,0.9368,0.5163,2026-07-31 02:00:00
0.4550,0.8347,0.5450,2026-07-31 03:00:00
0.4615,0.8570,0.5385,2026-07-31 04:00:00
0.4760,0.9082,0.5240,2026-07-31 05:00:00
0.4684,0.8810,0.5316,2026-07-31 08:00:00
0.4818,0.9296,0.5182,2026-07-31 10:00:00
