longAccount,longShortRatio,shortAccount,time
0.7551,3.0833,0.2449,2026-07-28 20:00:00
0.7608,3.1806,0.2392,2026-07-28 21:00:00
0.7608,3.1806,0.2392,2026-07-28 22:00:00
0.7608,3.1806,0.2392,2026-07-28 23:00:00
0.7589,3.1477,0.2411,2026-07-29 00:00:00
0.7581,3.1339,0.2419,2026-07-29 01:00:00
0.7570,3.1152,0.2430,2026-07-29 02:00:00
0.7552,3.0850,0.2448,2026-07-29 03:00:00
0.7524,3.0388,0.2476,2026-07-29 04:00:00
0.7521,3.0339,0.2479,2026-07-29 05:00:00
0.7500,3.0000,0.2500,2026-07-29 06:00:00
0.7499,2.9984,0.2501,2026-07-29 07:00:00
0.7474,2.9588,0.2526,2026-07-29 08:00:00
0.7454,2.9277,0.2546,2026-07-29 09:00:00
0.7177,2.5423,0.2823,2026-07-29 10:00:00
0.7154,2.5137,0.2846,2026-07-29 11:00:00
0.7147,2.5051,0.2853,2026-07-29 12:00:00
0.7148,2.5063,0.2852,2026-07-29 13:00:00
0.7168,2.5311,0.2832,2026-07-29 14:00:00
0.7195,2.5651,0.2805,2026-07-29 15:00:00
0.7190,2.5587,0.2810,2026-07-29 16:00:00
0.7214,2.5894,0.2786,2026-07-29 17:00:00
0.7233,2.6140,0.2767,2026-07-29 18:00:00
0.7253,2.6403,0.2747,2026-07-29 19:00:00
0.7263,2.6536,0.2737,2026-07-29 20:00:00
0.7275,2.6697,0.2725,2026-07-29 21:00:00
0.7352,2.7764,0.2648,2026-07-29 22:00:00
0.7356,2.7821,0.2644,2026-07-29 23:00:00
0.7341,2.7608,0.2659,2026-07-30 00:00:00
0.7360,2.7879,0.2640,2026-07-30 01:00:00
0.7370,2.8023,0.2630,2026-07-30 02:00:00
0.7260,2.6496,0.2740,2026-07-30 03:00:00
0.7344,2.7651,0.2656,2026-07-30 04:00:00
0.7347,2.7693,0.2653,2026-07-30 05:00:00
0.7294,2.6955,0.2706,2026-07-30 06:00:00
0.7352,2.7764,0.2648,2026-07-30 07:00:00
0.7363,2.7922,0.2637,2026-07-30 08:00:00
0.7390,2.8314,0.2610,2026-07-30 09:00:00
0.7432,2.8941,0.2568,2026-07-30 10:00:00
0.7457,2.9324,0.2543,2026-07-30 11:00:00
0.7759,3.4623,0.2241,2026-07-30 12:00:00
0.7434,2.8971,0.2566,2026-07-30 13:00:00
0.7410,2.8610,0.2590,2026-07-30 14:00:00
0.7393,2.8358,0.2607,2026-07-30 15:00:00
0.7388,2.8285,0.2612,2026-07-30 16:00:00
0.7343,2.7636,0.2657,2026-07-30 17:00:00
0.7743,3.4307,0.2257,2026-07-30 18:00:00
0.7820,3.5872,0.2180,2026-07-30 19:00:00
0.7838,3.6253,0.2162,2026-07-30 20:00:00
0.7803,3.5517,0.2197,2026-07-30 21:00:00
0.7805,3.5558,0.2195,2026-07-30 22:00:00
0.7835,3.6189,0.2165,2026-07-30 23:00:00
0.7843,3.6361,0.2157,2026-07-31 00:00:00
0.7789,3.5228,0.2211,2026-07-31 01:00:00
0.7793,3.5310,0.2207,2026-07-31 02:00:00
0.7708,3.3630,0.2292,2026-07-31 03:00:00
0.7720,3.3860,0.2280,2026-07-31 04:00:00
0.7762,3.4683,0.2238,2026-07-31 05:00:00
0.7761,3.4663,0.2239,2026-07-31 06:00:00
0.7742,3.4287,0.2258,2026-07-31 07:00:00
0.7715,3.3764,0.2285,2026-07-31 08:00:00
0.7729,3.4033,0.2271,2026-07-31 09:00:00
