longAccount,longShortRatio,shortAccount,time
0.6822,2.1470,0.3178,2026-07-28 20:00:00
0.6825,2.1495,0.3175,2026-07-28 21:00:00
0.6820,2.1447,0.3180,2026-07-28 22:00:00
0.6811,2.1358,0.3189,2026-07-28 23:00:00
0.6803,2.1275,0.3197,2026-07-29 00:00:00
0.6805,2.1297,0.3195,2026-07-29 01:00:00
0.6838,2.1623,0.3162,2026-07-29 02:00:00
0.6808,2.1326,0.3192,2026-07-29 03:00:00
0.6810,2.1344,0.3190,2026-07-29 04:00:00
0.6830,2.1545,0.3170,2026-07-29 05:00:00
0.6821,2.1460,0.3179,2026-07-29 06:00:00
0.6825,2.1495,0.3175,2026-07-29 07:00:00
0.6822,2.1464,0.3178,2026-07-29 08:00:00
0.6997,2.3299,0.3003,2026-07-29 09:00:00
0.6975,2.3060,0.3025,2026-07-29 10:00:00
0.6975,2.3062,0.3025,2026-07-29 11:00:00
0.6975,2.3061,0.3025,2026-07-29 12:00:00
0.6967,2.2967,0.3033,2026-07-29 13:00:00
0.6968,2.2979,0.3032,2026-07-29 14:00:00
0.6957,2.2867,0.3043,2026-07-29 15:00:00
0.6944,2.2718,0.3056,2026-07-29 16:00:00
0.6961,2.2910,0.3039,2026-07-29 17:00:00
0.6978,2.3089,0.3022,2026-07-29 18:00:00
0.6947,2.2750,0.3053,2026-07-29 19:00:00
0.6952,2.2803,0.3048,2026-07-29 20:00:00
0.6954,2.2826,0.3046,2026-07-29 21:00:00
0.6960,2.2898,0.3040,2026-07-29 22:00:00
0.6947,2.2758,0.3053,2026-07-29 23:00:00
0.6946,2.2740,0.3054,2026-07-30 00:00:00
0.6959,2.2879,0.3041,2026-07-30 01:00:00
0.6942,2.2703,0.3058,2026-07-30 02:00:00
0.6947,2.2760,0.3053,2026-07-30 03:00:00
0.6959,2.2880,0.3041,2026-07-30 04:00:00
0.6937,2.2649,0.3063,2026-07-30 05:00:00
0.6935,2.2625,0.3065,2026-07-30 06:00:00
0.6937,2.2651,0.3063,2026-07-30 07:00:00
0.6930,2.2577,0.3070,2026-07-30 08:00:00
0.6944,2.2726,0.3056,2026-07-30 09:00:00
0.6933,2.2606,0.3067,2026-07-30 10:00:00
0.6920,2.2463,0.3080,2026-07-30 11:00:00
0.6916,2.2420,0.3084,2026-07-30 12:00:00
0.6910,2.2364,0.3090,2026-07-30 13:00:00
0.6917,2.2441,0.3083,2026-07-30 14:00:00
0.6919,2.2455,0.3081,2026-07-30 15:00:00
0.6872,2.1968,0.3128,2026-07-30 16:00:00
0.6702,2.0324,0.3298,2026-07-30 17:00:00
0.6729,2.0569,0.3271,2026-07-30 18:00:00
0.6737,2.0645,0.3263,2026-07-30 19:00:00
0.6741,2.0683,0.3259,2026-07-30 20:00:00
0.6767,2.0929,0.3233,2026-07-30 21:00:00
0.6750,2.0768,0.3250,2026-07-30 22:00:00
0.6761,2.0878,0.3239,2026-07-30 23:00:00
0.6802,2.1274,0.3198,2026-07-31 00:00:00
0.6796,2.1212,0.3204,2026-07-31 01:00:00
0.6803,2.1274,0.3197,2026-07-31 02:00:00
0.6808,2.1331,0.3192,2026-07-31 03:00:00
0.6825,2.1501,0.3175,2026-07-31 04:00:00
0.6821,2.1459,0.3179,2026-07-31 05:00:00
0.6831,2.1554,0.3169,2026-07-31 06:00:00
0.6832,2.1561,0.3168,2026-07-31 07:00:00
0.6827,2.1520,0.3173,2026-07-31 08:00:00
0.6832,2.1568,0.3168,2026-07-31 09:00:00
0.6821,2.1459,0.3179,2026-07-31 10:00:00
0.6819,2.1434,0.3181,2026-07-31 11:00:00
0.6817,2.1415,0.3183,2026-07-31 12:00:00
0.6828,2.1526,0.3172,2026-07-31 13:00:00
0.6810,2.1348,0.3190,2026-07-31 14:00:00
0.6840,2.1643,0.3160,2026-07-31 15:00:00
0.6840,2.1649,0.3160,2026-07-31 16:00:00
0.6841,2.1655,0.3159,2026-07-31 17:00:00
0.6866,2.1910,0.3134,2026-07-31 18:00:00
0.6875,2.1999,0.3125,2026-07-31 19:00:00
0.6903,2.2286,0.3097,2026-07-31 20:00:00
0.6911,2.2375,0.3089,2026-07-31 21:00:00
0.6930,2.2570,0.3070,2026-07-31 22:00:00
0.6936,2.2635,0.3064,2026-07-31 23:00:00
0.6934,2.2611,0.3066,2026-08-01 00:00:00
0.6931,2.2584,0.3069,2026-08-01 01:00:00
0.6937,2.2644,0.3063,2026-08-01 02:00:00
0.6937,2.2651,0.3063,2026-08-01 03:00:00
0.6935,2.2625,0.3065,2026-08-01 04:00:00
0.6925,2.2524,0.3075,2026-08-01 05:00:00
0.6945,2.2734,0.3055,2026-08-01 06:00:00
0.6941,2.2695,0.3059,2026-08-01 07:00:00
0.6936,2.2640,0.3064,2026-08-01 08:00:00
0.6931,2.2588,0.3069,2026-08-01 09:00:00
0.6924,2.2508,0.3076,2026-08-01 10:00:00
