longAccount,longShortRatio,shortAccount,time
0.7504,3.0056,0.2496,2026-07-28 16:00:00
0.7502,3.0024,0.2498,2026-07-28 17:00:00
0.7418,2.8732,0.2582,2026-07-28 18:00:00
0.7358,2.7851,0.2642,2026-07-28 19:00:00
0.7215,2.5901,0.2785,2026-07-28 20:00:00
0.7131,2.4851,0.2869,2026-07-28 21:00:00
0.7135,2.4903,0.2865,2026-07-28 22:00:00
0.7264,2.6555,0.2736,2026-07-28 23:00:00
0.7336,2.7540,0.2664,2026-07-29 00:00:00
0.7454,2.9271,0.2546,2026-07-29 01:00:00
0.7313,2.7211,0.2687,2026-07-29 02:00:00
0.7310,2.7180,0.2690,2026-07-29 03:00:00
0.7337,2.7546,0.2663,2026-07-29 04:00:00
0.7311,2.7184,0.2689,2026-07-29 05:00:00
0.7282,2.6787,0.2718,2026-07-29 06:00:00
0.7224,2.6024,0.2776,2026-07-29 07:00:00
0.7174,2.5392,0.2826,2026-07-29 08:00:00
0.7207,2.5805,0.2793,2026-07-29 09:00:00
0.7253,2.6405,0.2747,2026-07-29 10:00:00
0.7261,2.6504,0.2739,2026-07-29 11:00:00
0.7322,2.7345,0.2678,2026-07-29 12:00:00
0.7361,2.7898,0.2639,2026-07-29 13:00:00
0.7190,2.5592,0.2810,2026-07-29 14:00:00
0.7052,2.3927,0.2948,2026-07-29 15:00:00
0.7035,2.3725,0.2965,2026-07-29 16:00:00
0.7200,2.5714,0.2800,2026-07-29 17:00:00
0.7406,2.8553,0.2594,2026-07-29 18:00:00
0.7397,2.8417,0.2603,2026-07-29 19:00:00
0.7267,2.6591,0.2733,2026-07-29 20:00:00
0.7524,3.0382,0.2476,2026-07-29 21:00:00
0.7511,3.0184,0.2489,2026-07-29 22:00:00
0.7526,3.0426,0.2474,2026-07-29 23:00:00
0.7522,3.0348,0.2478,2026-07-30 00:00:00
0.7508,3.0125,0.2492,2026-07-30 01:00:00
0.7517,3.0275,0.2483,2026-07-30 02:00:00
0.7532,3.0511,0.2468,2026-07-30 03:00:00
