buySellRatio,sellVol,buyVol,time
1.4102,774301.0000,1091900.0000,2026-07-28 19:00:00
1.7725,623255.0000,1104715.0000,2026-07-28 20:00:00
3.6212,1123435.0000,4068188.0000,2026-07-28 21:00:00
1.1460,814142.0000,933002.0000,2026-07-28 22:00:00
1.1930,1569126.0000,1872008.0000,2026-07-28 23:00:00
1.4024,1613595.0000,2262904.0000,2026-07-29 00:00:00
0.3570,2592469.0000,925534.0000,2026-07-29 01:00:00
2.2491,908656.0000,2043630.0000,2026-07-29 02:00:00
0.6996,1276356.0000,892943.0000,2026-07-29 03:00:00
1.9377,1204898.0000,2334710.0000,2026-07-29 04:00:00
2.2208,765580.0000,1700227.0000,2026-07-29 05:00:00
1.8643,1230959.0000,2294823.0000,2026-07-29 06:00:00
1.1030,1029344.0000,1135411.0000,2026-07-29 07:00:00
1.0640,1644541.0000,1749739.0000,2026-07-29 08:00:00
1.6708,1052891.0000,1759178.0000,2026-07-29 09:00:00
1.0899,2581241.0000,2813257.0000,2026-07-29 10:00:00
1.6751,2611240.0000,4374105.0000,2026-07-29 11:00:00
1.0262,1131041.0000,1160655.0000,2026-07-29 12:00:00
0.4315,2651096.0000,1143853.0000,2026-07-29 13:00:00
0.7472,1667731.0000,1246195.0000,2026-07-29 14:00:00
0.6186,1698982.0000,1050983.0000,2026-07-29 15:00:00
0.6553,2653962.0000,1739038.0000,2026-07-29 16:00:00
0.5346,2590868.0000,1385188.0000,2026-07-29 17:00:00
0.4216,5480309.0000,2310603.0000,2026-07-29 18:00:00
1.7721,1431239.0000,2536365.0000,2026-07-29 19:00:00
0.9916,1215630.0000,1205362.0000,2026-07-29 20:00:00
1.2963,1384589.0000,1794814.0000,2026-07-29 21:00:00
0.6841,1961867.0000,1342039.0000,2026-07-29 22:00:00
0.9020,1982707.0000,1788431.0000,2026-07-29 23:00:00
1.0108,1136198.0000,1148515.0000,2026-07-30 00:00:00
1.6288,1683914.0000,2742735.0000,2026-07-30 01:00:00
0.6797,1481845.0000,1007280.0000,2026-07-30 02:00:00
1.5659,571984.0000,895672.0000,2026-07-30 03:00:00
1.1821,741805.0000,876887.0000,2026-07-30 04:00:00
1.8360,472527.0000,867540.0000,2026-07-30 05:00:00
1.9561,1570205.0000,3071451.0000,2026-07-30 06:00:00
2.7154,2975464.0000,8079616.0000,2026-07-30 07:00:00
0.9082,1588275.0000,1442488.0000,2026-07-30 08:00:00
1.7103,1565334.0000,2677193.0000,2026-07-30 09:00:00
1.3147,1551285.0000,2039459.0000,2026-07-30 10:00:00
1.2143,1277141.0000,1550820.0000,2026-07-30 11:00:00
2.4852,1978349.0000,4916637.0000,2026-07-30 12:00:00
0.6667,3730096.0000,2486797.0000,2026-07-30 13:00:00
0.8775,2399106.0000,2105283.0000,2026-07-30 14:00:00
1.4328,1917025.0000,2746769.0000,2026-07-30 15:00:00
1.0552,2470621.0000,2607100.0000,2026-07-30 16:00:00
0.6712,1942988.0000,1304104.0000,2026-07-30 17:00:00
0.8122,913553.0000,741950.0000,2026-07-30 18:00:00
1.0919,1354987.0000,1479475.0000,2026-07-30 19:00:00
1.1650,1413250.0000,1646444.0000,2026-07-30 20:00:00
1.0910,929572.0000,1014156.0000,2026-07-30 21:00:00
1.1452,579012.0000,663104.0000,2026-07-30 22:00:00
0.8175,1727839.0000,1412446.0000,2026-07-30 23:00:00
0.9316,1736358.0000,1617557.0000,2026-07-31 00:00:00
1.9134,1847594.0000,3535150.0000,2026-07-31 01:00:00
0.4355,2255553.0000,982260.0000,2026-07-31 02:00:00
0.3457,6186055.0000,2138714.0000,2026-07-31 03:00:00
1.7003,587385.0000,998739.0000,2026-07-31 04:00:00
