longAccount,longShortRatio,shortAccount,time
0.5050,1.0202,0.4950,2026-07-28 20:00:00
0.5032,1.0129,0.4968,2026-07-28 21:00:00
0.5024,1.0096,0.4976,2026-07-28 22:00:00
0.5030,1.0121,0.4970,2026-07-28 23:00:00
0.5030,1.0121,0.4970,2026-07-29 00:00:00
0.5049,1.0198,0.4951,2026-07-29 01:00:00
0.5003,1.0012,0.4997,2026-07-29 02:00:00
0.5042,1.0169,0.4958,2026-07-29 03:00:00
0.5033,1.0133,0.4967,2026-07-29 04:00:00
0.5039,1.0157,0.4961,2026-07-29 05:00:00
0.5054,1.0218,0.4946,2026-07-29 06:00:00
0.5078,1.0317,0.4922,2026-07-29 07:00:00
0.5080,1.0325,0.4920,2026-07-29 08:00:00
0.5094,1.0383,0.4906,2026-07-29 09:00:00
0.5126,1.0517,0.4874,2026-07-29 10:00:00
0.5113,1.0462,0.4887,2026-07-29 11:00:00
0.5083,1.0338,0.4917,2026-07-29 12:00:00
0.5110,1.0450,0.4890,2026-07-29 13:00:00
0.5137,1.0563,0.4863,2026-07-29 14:00:00
0.5163,1.0674,0.4837,2026-07-29 15:00:00
0.5212,1.0886,0.4788,2026-07-29 16:00:00
0.5243,1.1022,0.4757,2026-07-29 17:00:00
0.5288,1.1222,0.4712,2026-07-29 18:00:00
0.5287,1.1218,0.4713,2026-07-29 19:00:00
0.5242,1.1017,0.4758,2026-07-29 20:00:00
0.5244,1.1026,0.4756,2026-07-29 21:00:00
0.5267,1.1128,0.4733,2026-07-29 22:00:00
0.5343,1.1473,0.4657,2026-07-29 23:00:00
0.5388,1.1683,0.4612,2026-07-30 00:00:00
0.5370,1.1598,0.4630,2026-07-30 01:00:00
0.5441,1.1935,0.4559,2026-07-30 02:00:00
0.5462,1.2036,0.4538,2026-07-30 03:00:00
0.5464,1.2046,0.4536,2026-07-30 04:00:00
0.5457,1.2012,0.4543,2026-07-30 05:00:00
0.5461,1.2031,0.4539,2026-07-30 06:00:00
0.5491,1.2178,0.4509,2026-07-30 07:00:00
0.5498,1.2212,0.4502,2026-07-30 08:00:00
0.5549,1.2467,0.4451,2026-07-30 09:00:00
0.5581,1.2630,0.4419,2026-07-30 10:00:00
0.5584,1.2645,0.4416,2026-07-30 11:00:00
0.5618,1.2821,0.4382,2026-07-30 12:00:00
0.5652,1.2999,0.4348,2026-07-30 13:00:00
0.5665,1.3068,0.4335,2026-07-30 14:00:00
0.5642,1.2946,0.4358,2026-07-30 15:00:00
0.5647,1.2973,0.4353,2026-07-30 16:00:00
0.5654,1.3010,0.4346,2026-07-30 17:00:00
0.5656,1.3020,0.4344,2026-07-30 18:00:00
0.5677,1.3132,0.4323,2026-07-30 19:00:00
0.5717,1.3348,0.4283,2026-07-30 20:00:00
0.5716,1.3343,0.4284,2026-07-30 21:00:00
0.5731,1.3425,0.4269,2026-07-30 22:00:00
0.5730,1.3419,0.4270,2026-07-30 23:00:00
0.5735,1.3447,0.4265,2026-07-31 00:00:00
0.5750,1.3529,0.4250,2026-07-31 01:00:00
0.5762,1.3596,0.4238,2026-07-31 02:00:00
0.5792,1.3764,0.4208,2026-07-31 03:00:00
0.5814,1.3889,0.4186,2026-07-31 04:00:00
0.5853,1.4114,0.4147,2026-07-31 05:00:00
0.5869,1.4207,0.4131,2026-07-31 06:00:00
0.5895,1.4361,0.4105,2026-07-31 07:00:00
0.5951,1.4697,0.4049,2026-07-31 08:00:00
0.5998,1.4988,0.4002,2026-07-31 09:00:00
0.6000,1.5000,0.4000,2026-07-31 10:00:00
0.6003,1.5019,0.3997,2026-07-31 11:00:00
0.5977,1.4857,0.4023,2026-07-31 12:00:00
0.5938,1.4618,0.4062,2026-07-31 13:00:00
0.5904,1.4414,0.4096,2026-07-31 14:00:00
0.5901,1.4396,0.4099,2026-07-31 15:00:00
0.5868,1.4201,0.4132,2026-07-31 16:00:00
0.5847,1.4079,0.4153,2026-07-31 17:00:00
0.5866,1.4190,0.4134,2026-07-31 18:00:00
0.5829,1.3975,0.4171,2026-07-31 19:00:00
0.5738,1.3463,0.4262,2026-07-31 20:00:00
0.5705,1.3283,0.4295,2026-07-31 21:00:00
0.5689,1.3196,0.4311,2026-07-31 22:00:00
0.5671,1.3100,0.4329,2026-07-31 23:00:00
0.5658,1.3031,0.4342,2026-08-01 00:00:00
0.5601,1.2732,0.4399,2026-08-01 01:00:00
0.5560,1.2523,0.4440,2026-08-01 02:00:00
0.5555,1.2497,0.4445,2026-08-01 03:00:00
0.5563,1.2538,0.4437,2026-08-01 04:00:00
0.5584,1.2645,0.4416,2026-08-01 05:00:00
0.5514,1.2292,0.4486,2026-08-01 06:00:00
0.5425,1.1858,0.4575,2026-08-01 07:00:00
0.5426,1.1863,0.4574,2026-08-01 08:00:00
0.5429,1.1877,0.4571,2026-08-01 09:00:00
0.5439,1.1925,0.4561,2026-08-01 10:00:00
0.5447,1.1964,0.4553,2026-08-01 11:00:00
0.5471,1.2080,0.4529,2026-08-01 12:00:00
0.5521,1.2326,0.4479,2026-08-01 13:00:00
0.5525,1.2346,0.4475,2026-08-01 14:00:00
0.5512,1.2282,0.4488,2026-08-01 15:00:00
0.5509,1.2267,0.4491,2026-08-01 16:00:00
0.5538,1.2411,0.4462,2026-08-01 17:00:00
0.5551,1.2477,0.4449,2026-08-01 18:00:00
0.5540,1.2422,0.4460,2026-08-01 19:00:00
0.5554,1.2492,0.4446,2026-08-01 20:00:00
0.5566,1.2553,0.4434,2026-08-01 21:00:00
0.5595,1.2701,0.4405,2026-08-01 22:00:00
0.5599,1.2722,0.4401,2026-08-01 23:00:00
0.5633,1.2899,0.4367,2026-08-02 00:00:00
0.5680,1.3148,0.4320,2026-08-02 01:00:00
0.5727,1.3403,0.4273,2026-08-02 02:00:00
0.5743,1.3491,0.4257,2026-08-02 03:00:00
0.5742,1.3485,0.4258,2026-08-02 04:00:00
0.5779,1.3691,0.4221,2026-08-02 05:00:00
0.5768,1.3629,0.4232,2026-08-02 06:00:00
0.5759,1.3579,0.4241,2026-08-02 07:00:00
0.5762,1.3596,0.4238,2026-08-02 08:00:00
0.5877,1.4254,0.4123,2026-08-02 09:00:00
0.5791,1.3759,0.4209,2026-08-02 10:00:00
0.5735,1.3447,0.4265,2026-08-02 11:00:00
0.5689,1.3196,0.4311,2026-08-02 12:00:00
0.5632,1.2894,0.4368,2026-08-02 13:00:00
0.5567,1.2558,0.4433,2026-08-02 14:00:00
0.5573,1.2589,0.4427,2026-08-02 15:00:00
0.5557,1.2507,0.4443,2026-08-02 16:00:00
0.5557,1.2507,0.4443,2026-08-02 17:00:00
0.5571,1.2578,0.4429,2026-08-02 18:00:00
0.5559,1.2517,0.4441,2026-08-02 19:00:00
0.5550,1.2472,0.4450,2026-08-02 20:00:00
0.5528,1.2361,0.4472,2026-08-02 21:00:00
0.5502,1.2232,0.4498,2026-08-02 22:00:00
0.5493,1.2188,0.4507,2026-08-02 23:00:00
0.5420,1.1834,0.4580,2026-08-03 00:00:00
0.5333,1.1427,0.4667,2026-08-03 01:00:00
0.5268,1.1133,0.4732,2026-08-03 02:00:00
0.5228,1.0956,0.4772,2026-08-03 03:00:00
0.5249,1.1048,0.4751,2026-08-03 04:00:00
0.5222,1.0929,0.4778,2026-08-03 05:00:00
0.5204,1.0851,0.4796,2026-08-03 06:00:00
0.5190,1.0790,0.4810,2026-08-03 07:00:00
0.5187,1.0777,0.4813,2026-08-03 08:00:00
0.5056,1.0227,0.4944,2026-08-03 09:00:00
0.5052,1.0210,0.4948,2026-08-03 10:00:00
0.5088,1.0358,0.4912,2026-08-03 11:00:00
0.5110,1.0450,0.4890,2026-08-03 12:00:00
0.5141,1.0580,0.4859,2026-08-03 13:00:00
0.5203,1.0846,0.4797,2026-08-03 14:00:00
0.5191,1.0794,0.4809,2026-08-03 15:00:00
0.5241,1.1013,0.4759,2026-08-03 16:00:00
0.5282,1.1195,0.4718,2026-08-03 17:00:00
0.5339,1.1455,0.4661,2026-08-03 18:00:00
0.5410,1.1786,0.4590,2026-08-03 19:00:00
0.5442,1.1939,0.4558,2026-08-03 20:00:00
0.5437,1.1915,0.4563,2026-08-03 21:00:00
0.5441,1.1935,0.4559,2026-08-03 22:00:00
0.5435,1.1906,0.4565,2026-08-03 23:00:00
0.5446,1.1959,0.4554,2026-08-04 00:00:00
0.5466,1.2056,0.4534,2026-08-04 01:00:00
0.5526,1.2351,0.4474,2026-08-04 02:00:00
0.5543,1.2437,0.4457,2026-08-04 03:00:00
0.5559,1.2517,0.4441,2026-08-04 04:00:00
0.5598,1.2717,0.4402,2026-08-04 05:00:00
0.5621,1.2836,0.4379,2026-08-04 06:00:00
0.5651,1.2994,0.4349,2026-08-04 07:00:00
0.5661,1.3047,0.4339,2026-08-04 08:00:00
0.5727,1.3403,0.4273,2026-08-04 09:00:00
0.5809,1.3861,0.4191,2026-08-04 10:00:00
0.5856,1.4131,0.4144,2026-08-04 11:00:00
0.5842,1.4050,0.4158,2026-08-04 12:00:00
0.5829,1.3975,0.4171,2026-08-04 13:00:00
0.5856,1.4131,0.4144,2026-08-04 14:00:00
0.5880,1.4272,0.4120,2026-08-04 15:00:00
0.5902,1.4402,0.4098,2026-08-04 16:00:00
0.5825,1.3952,0.4175,2026-08-04 17:00:00
0.5847,1.4079,0.4153,2026-08-04 18:00:00
0.5862,1.4166,0.4138,2026-08-04 19:00:00
0.5860,1.4155,0.4140,2026-08-04 20:00:00
0.5855,1.4125,0.4145,2026-08-04 21:00:00
0.5816,1.3901,0.4184,2026-08-04 22:00:00
0.5765,1.3613,0.4235,2026-08-04 23:00:00
0.5743,1.3491,0.4257,2026-08-05 00:00:00
0.5639,1.2931,0.4361,2026-08-05 01:00:00
0.5573,1.2589,0.4427,2026-08-05 02:00:00
0.5545,1.2447,0.4455,2026-08-05 03:00:00
0.5505,1.2247,0.4495,2026-08-05 04:00:00
0.5538,1.2411,0.4462,2026-08-05 05:00:00
0.5523,1.2336,0.4477,2026-08-05 06:00:00
0.5497,1.2207,0.4503,2026-08-05 07:00:00
0.5473,1.2090,0.4527,2026-08-05 08:00:00
0.5402,1.1749,0.4598,2026-08-05 09:00:00
0.5393,1.1706,0.4607,2026-08-05 10:00:00
0.5376,1.1626,0.4624,2026-08-05 11:00:00
0.5396,1.1720,0.4604,2026-08-05 12:00:00
0.5421,1.1839,0.4579,2026-08-05 13:00:00
0.5429,1.1877,0.4571,2026-08-05 14:00:00
0.5444,1.1949,0.4556,2026-08-05 15:00:00
0.5416,1.1815,0.4584,2026-08-05 16:00:00
0.5444,1.1949,0.4556,2026-08-05 17:00:00
0.5437,1.1915,0.4563,2026-08-05 18:00:00
0.5428,1.1872,0.4572,2026-08-05 19:00:00
0.5424,1.1853,0.4576,2026-08-05 20:00:00
0.5409,1.1782,0.4591,2026-08-05 21:00:00
0.5389,1.1687,0.4611,2026-08-05 22:00:00
0.5383,1.1659,0.4617,2026-08-05 23:00:00
0.5365,1.1575,0.4635,2026-08-06 00:00:00
0.5346,1.1487,0.4654,2026-08-06 01:00:00
0.5326,1.1395,0.4674,2026-08-06 02:00:00
0.5361,1.1556,0.4639,2026-08-06 03:00:00
0.5422,1.1844,0.4578,2026-08-06 04:00:00
0.5425,1.1858,0.4575,2026-08-06 05:00:00
0.5385,1.1668,0.4615,2026-08-06 06:00:00
0.5324,1.1386,0.4676,2026-08-06 07:00:00
0.5283,1.1200,0.4717,2026-08-06 08:00:00
0.5283,1.1200,0.4717,2026-08-06 09:00:00
0.5244,1.1026,0.4756,2026-08-06 10:00:00
