longAccount,longShortRatio,shortAccount,time
0.8625,6.2727,0.1375,2026-07-28 20:00:00
0.8642,6.3638,0.1358,2026-07-28 21:00:00
0.8649,6.4019,0.1351,2026-07-28 22:00:00
0.8636,6.3314,0.1364,2026-07-28 23:00:00
0.8608,6.1839,0.1392,2026-07-29 00:00:00
0.8612,6.2046,0.1388,2026-07-29 01:00:00
0.8589,6.0872,0.1411,2026-07-29 02:00:00
0.8597,6.1276,0.1403,2026-07-29 03:00:00
0.8563,5.9589,0.1437,2026-07-29 04:00:00
0.8570,5.9930,0.1430,2026-07-29 05:00:00
0.8584,6.0621,0.1416,2026-07-29 06:00:00
0.8589,6.0872,0.1411,2026-07-29 07:00:00
0.8596,6.1225,0.1404,2026-07-29 08:00:00
0.8594,6.1124,0.1406,2026-07-29 09:00:00
0.8600,6.1429,0.1400,2026-07-29 10:00:00
0.8597,6.1276,0.1403,2026-07-29 11:00:00
0.8561,5.9493,0.1439,2026-07-29 12:00:00
0.8594,6.1124,0.1406,2026-07-29 13:00:00
0.8567,5.9784,0.1433,2026-07-29 14:00:00
0.8549,5.8918,0.1451,2026-07-29 15:00:00
0.8567,5.9784,0.1433,2026-07-29 16:00:00
0.8568,5.9832,0.1432,2026-07-29 17:00:00
0.8587,6.0771,0.1413,2026-07-29 18:00:00
0.8591,6.0972,0.1409,2026-07-29 19:00:00
0.8594,6.1124,0.1406,2026-07-29 20:00:00
0.8564,5.9638,0.1436,2026-07-29 21:00:00
0.8589,6.0872,0.1411,2026-07-29 22:00:00
0.8602,6.1531,0.1398,2026-07-29 23:00:00
0.8624,6.2674,0.1376,2026-07-30 00:00:00
0.8598,6.1327,0.1402,2026-07-30 01:00:00
0.8606,6.1736,0.1394,2026-07-30 02:00:00
0.8563,5.9589,0.1437,2026-07-30 03:00:00
0.8591,6.0972,0.1409,2026-07-30 04:00:00
0.8588,6.0822,0.1412,2026-07-30 05:00:00
0.8586,6.0721,0.1414,2026-07-30 06:00:00
0.8538,5.8399,0.1462,2026-07-30 07:00:00
0.8548,5.8871,0.1452,2026-07-30 08:00:00
0.8578,6.0323,0.1422,2026-07-30 09:00:00
0.8585,6.0671,0.1415,2026-07-30 10:00:00
0.8565,5.9686,0.1435,2026-07-30 11:00:00
0.8594,6.1124,0.1406,2026-07-30 12:00:00
0.8571,5.9979,0.1429,2026-07-30 13:00:00
0.8526,5.7843,0.1474,2026-07-30 14:00:00
0.8566,5.9735,0.1434,2026-07-30 15:00:00
0.8539,5.8446,0.1461,2026-07-30 16:00:00
0.8535,5.8259,0.1465,2026-07-30 17:00:00
0.8486,5.6050,0.1514,2026-07-30 18:00:00
0.8498,5.6578,0.1502,2026-07-30 19:00:00
0.8511,5.7159,0.1489,2026-07-30 20:00:00
0.8536,5.8306,0.1464,2026-07-30 21:00:00
0.8508,5.7024,0.1492,2026-07-30 22:00:00
0.8506,5.6934,0.1494,2026-07-30 23:00:00
0.8543,5.8634,0.1457,2026-07-31 00:00:00
0.8496,5.6489,0.1504,2026-07-31 01:00:00
0.8501,5.6711,0.1499,2026-07-31 02:00:00
0.8512,5.7204,0.1488,2026-07-31 03:00:00
0.8523,5.7705,0.1477,2026-07-31 04:00:00
0.8467,5.5232,0.1533,2026-07-31 05:00:00
0.8468,5.5274,0.1532,2026-07-31 06:00:00
0.8503,5.6800,0.1497,2026-07-31 07:00:00
0.8508,5.7024,0.1492,2026-07-31 08:00:00
0.8500,5.6667,0.1500,2026-07-31 09:00:00
0.8524,5.7751,0.1476,2026-07-31 10:00:00
0.8509,5.7069,0.1491,2026-07-31 11:00:00
0.8511,5.7159,0.1489,2026-07-31 12:00:00
0.8502,5.6756,0.1498,2026-07-31 13:00:00
0.8496,5.6489,0.1504,2026-07-31 14:00:00
0.8431,5.3735,0.1569,2026-07-31 15:00:00
0.8417,5.3171,0.1583,2026-07-31 16:00:00
0.8448,5.4433,0.1552,2026-07-31 17:00:00
0.8454,5.4683,0.1546,2026-07-31 18:00:00
0.8451,5.4558,0.1549,2026-07-31 19:00:00
0.8458,5.4851,0.1542,2026-07-31 20:00:00
0.8485,5.6007,0.1515,2026-07-31 21:00:00
0.8478,5.5703,0.1522,2026-07-31 22:00:00
0.8470,5.5359,0.1530,2026-07-31 23:00:00
0.8478,5.5703,0.1522,2026-08-01 00:00:00
0.8490,5.6225,0.1510,2026-08-01 01:00:00
0.8479,5.5746,0.1521,2026-08-01 02:00:00
0.8485,5.6007,0.1515,2026-08-01 03:00:00
0.8523,5.7705,0.1477,2026-08-01 04:00:00
0.8499,5.6622,0.1501,2026-08-01 05:00:00
0.8496,5.6489,0.1504,2026-08-01 06:00:00
0.8510,5.7114,0.1490,2026-08-01 07:00:00
0.8510,5.7114,0.1490,2026-08-01 08:00:00
0.8507,5.6979,0.1493,2026-08-01 09:00:00
0.8529,5.7981,0.1471,2026-08-01 10:00:00
0.8519,5.7522,0.1481,2026-08-01 11:00:00
0.8517,5.7431,0.1483,2026-08-01 12:00:00
0.8482,5.5876,0.1518,2026-08-01 13:00:00
0.8482,5.5876,0.1518,2026-08-01 14:00:00
0.8482,5.5876,0.1518,2026-08-01 15:00:00
0.8479,5.5746,0.1521,2026-08-01 16:00:00
0.8473,5.5488,0.1527,2026-08-01 17:00:00
0.8466,5.5189,0.1534,2026-08-01 18:00:00
0.8464,5.5104,0.1536,2026-08-01 19:00:00
0.8484,5.5963,0.1516,2026-08-01 20:00:00
0.8465,5.5147,0.1535,2026-08-01 21:00:00
0.8470,5.5359,0.1530,2026-08-01 22:00:00
0.8460,5.4935,0.1540,2026-08-01 23:00:00
0.8440,5.4103,0.1560,2026-08-02 00:00:00
0.8441,5.4144,0.1559,2026-08-02 01:00:00
0.8445,5.4309,0.1555,2026-08-02 02:00:00
0.8457,5.4809,0.1543,2026-08-02 03:00:00
0.8504,5.6845,0.1496,2026-08-02 04:00:00
0.8502,5.6756,0.1498,2026-08-02 05:00:00
0.8484,5.5963,0.1516,2026-08-02 06:00:00
0.8487,5.6094,0.1513,2026-08-02 07:00:00
0.8482,5.5876,0.1518,2026-08-02 08:00:00
0.8476,5.5617,0.1524,2026-08-02 09:00:00
0.8455,5.4725,0.1545,2026-08-02 10:00:00
0.8463,5.5062,0.1537,2026-08-02 11:00:00
0.8451,5.4558,0.1549,2026-08-02 12:00:00
0.8454,5.4683,0.1546,2026-08-02 13:00:00
0.8454,5.4683,0.1546,2026-08-02 14:00:00
0.8469,5.5317,0.1531,2026-08-02 15:00:00
0.8457,5.4809,0.1543,2026-08-02 16:00:00
0.8437,5.3980,0.1563,2026-08-02 17:00:00
0.8437,5.3980,0.1563,2026-08-02 18:00:00
0.8465,5.5147,0.1535,2026-08-02 19:00:00
0.8463,5.5062,0.1537,2026-08-02 20:00:00
0.8464,5.5104,0.1536,2026-08-02 21:00:00
0.8462,5.5020,0.1538,2026-08-02 22:00:00
