sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
165523.83000000,50944924.39740000,0.00000000,2026-07-28 20:00:00
165020.13000000,50651278.70220000,0.00000000,2026-07-28 21:00:00
164756.39000000,50504423.79060000,0.00000000,2026-07-28 22:00:00
164225.46000000,50045189.40113071,0.00000000,2026-07-28 23:00:00
163136.63000000,50144374.68258269,0.00000000,2026-07-29 00:00:00
161859.85000000,49712501.35860796,0.00000000,2026-07-29 01:00:00
161088.23000000,49141575.44380000,0.00000000,2026-07-29 02:00:00
160919.37000000,49075580.26890000,0.00000000,2026-07-29 03:00:00
159751.06000000,48517463.78271147,0.00000000,2026-07-29 04:00:00
157420.58000000,47862153.14320000,0.00000000,2026-07-29 05:00:00
157505.61000000,48018012.62353414,0.00000000,2026-07-29 06:00:00
157523.19000000,48241296.16546239,0.00000000,2026-07-29 07:00:00
155390.27000000,47677217.81100618,0.00000000,2026-07-29 08:00:00
153097.33000000,46884526.33920000,0.00000000,2026-07-29 09:00:00
152830.83000000,46998536.84160000,0.00000000,2026-07-29 10:00:00
152731.35000000,46815213.40200000,0.00000000,2026-07-29 11:00:00
153450.46000000,47466645.24257278,0.00000000,2026-07-29 12:00:00
153975.20000000,47381248.54400000,0.00000000,2026-07-29 13:00:00
154861.71000000,47377239.57366027,0.00000000,2026-07-29 14:00:00
155948.82000000,47342942.77560000,0.00000000,2026-07-29 15:00:00
156815.49000000,47387810.93459716,0.00000000,2026-07-29 16:00:00
159306.23000000,48242283.42956394,0.00000000,2026-07-29 17:00:00
158132.18000000,47998535.69014021,0.00000000,2026-07-29 18:00:00
156710.11000000,48206680.40415982,0.00000000,2026-07-29 19:00:00
156238.56000000,46709079.89760000,0.00000000,2026-07-29 20:00:00
155148.12000000,46014942.07279110,0.00000000,2026-07-29 21:00:00
153333.07000000,45329675.74400868,0.00000000,2026-07-29 22:00:00
152380.74000000,45356127.26100000,0.00000000,2026-07-29 23:00:00
152627.24000000,45339447.91440000,0.00000000,2026-07-30 00:00:00
152103.96000000,45399148.40632076,0.00000000,2026-07-30 01:00:00
152088.91000000,45783985.63935176,0.00000000,2026-07-30 02:00:00
152444.03000000,45703170.33530510,0.00000000,2026-07-30 03:00:00
152715.44000000,45775137.17730913,0.00000000,2026-07-30 04:00:00
152774.80000000,45545480.02391427,0.00000000,2026-07-30 05:00:00
152750.42000000,45632660.47080000,0.00000000,2026-07-30 06:00:00
151975.04000000,45402543.20000000,0.00000000,2026-07-30 07:00:00
151988.14000000,45487165.36647846,0.00000000,2026-07-30 08:00:00
152512.39000000,45823872.69940000,0.00000000,2026-07-30 09:00:00
152211.60000000,45858310.84800000,0.00000000,2026-07-30 10:00:00
151605.02000000,45870513.33531893,0.00000000,2026-07-30 11:00:00
150112.75000000,45598480.63902962,0.00000000,2026-07-30 12:00:00
150644.49000000,45893843.87850000,0.00000000,2026-07-30 13:00:00
149137.62000000,45838387.74661667,0.00000000,2026-07-30 14:00:00
144372.74000000,44065447.70280000,0.00000000,2026-07-30 15:00:00
142627.89000000,43606062.22804444,0.00000000,2026-07-30 16:00:00
142004.58000000,43549638.19403278,0.00000000,2026-07-30 17:00:00
140452.88000000,43277427.23383793,0.00000000,2026-07-30 18:00:00
139887.63000000,43156732.73130000,0.00000000,2026-07-30 19:00:00
137472.13000000,42494010.10430000,0.00000000,2026-07-30 20:00:00
137038.52000000,42262982.39983265,0.00000000,2026-07-30 21:00:00
136911.54000000,42338524.62960000,0.00000000,2026-07-30 22:00:00
136553.12000000,42345122.51200000,0.00000000,2026-07-30 23:00:00
135392.40000000,41885365.00355064,0.00000000,2026-07-31 00:00:00
135830.02000000,42385670.04506419,0.00000000,2026-07-31 01:00:00
132822.42000000,41964178.48937290,0.00000000,2026-07-31 02:00:00
132492.79000000,41678256.95030000,0.00000000,2026-07-31 03:00:00
132552.37000000,41358990.48740000,0.00000000,2026-07-31 04:00:00
133334.56000000,41932005.43623426,0.00000000,2026-07-31 05:00:00
133328.88000000,42075927.95040000,0.00000000,2026-07-31 06:00:00
133657.04000000,42157412.44832385,0.00000000,2026-07-31 07:00:00
133199.27000000,42170888.88200000,0.00000000,2026-07-31 08:00:00
132308.38000000,41908679.36500000,0.00000000,2026-07-31 09:00:00
131648.59000000,41319226.45740000,0.00000000,2026-07-31 10:00:00
130687.55000000,41050106.34018754,0.00000000,2026-07-31 11:00:00
130209.63000000,40789267.38450363,0.00000000,2026-07-31 12:00:00
129914.45000000,40364818.52121616,0.00000000,2026-07-31 13:00:00
129908.55000000,39865470.84350886,0.00000000,2026-07-31 14:00:00
133137.33000000,41181848.42803373,0.00000000,2026-07-31 15:00:00
132551.77000000,40844292.82356887,0.00000000,2026-07-31 16:00:00
129575.61000000,40181969.47849064,0.00000000,2026-07-31 17:00:00
129090.36000000,40209065.33280000,0.00000000,2026-07-31 18:00:00
128830.70000000,40112657.65623067,0.00000000,2026-07-31 19:00:00
128431.09000000,40043966.23093342,0.00000000,2026-07-31 20:00:00
127945.97000000,39655969.08245699,0.00000000,2026-07-31 21:00:00
127635.39000000,39570692.37017164,0.00000000,2026-07-31 22:00:00
127477.25000000,39520497.04500000,0.00000000,2026-07-31 23:00:00
127172.46000000,39393609.69799461,0.00000000,2026-08-01 00:00:00
126982.41000000,39395022.87840000,0.00000000,2026-08-01 01:00:00
127030.75000000,39388424.65250000,0.00000000,2026-08-01 02:00:00
127044.87000000,39420752.71230000,0.00000000,2026-08-01 03:00:00
127483.40000000,39519956.80516343,0.00000000,2026-08-01 04:00:00
127224.11000000,39495065.07434820,0.00000000,2026-08-01 05:00:00
127210.19000000,39468003.20482056,0.00000000,2026-08-01 06:00:00
126896.91000000,39374384.04514439,0.00000000,2026-08-01 07:00:00
126925.60000000,39366624.64322474,0.00000000,2026-08-01 08:00:00
126985.05000000,39369175.05150000,0.00000000,2026-08-01 09:00:00
127131.93000000,39405016.85146046,0.00000000,2026-08-01 10:00:00
127206.63000000,39419379.16961718,0.00000000,2026-08-01 11:00:00
127177.33000000,39409711.02040000,0.00000000,2026-08-01 12:00:00
127174.32000000,39352071.54354119,0.00000000,2026-08-01 13:00:00
127131.42000000,39349430.88327918,0.00000000,2026-08-01 14:00:00
126999.89000000,39272175.98470000,0.00000000,2026-08-01 15:00:00
127687.49000000,39466421.89425388,0.00000000,2026-08-01 16:00:00
126647.55000000,39064436.79750000,0.00000000,2026-08-01 17:00:00
126299.30000000,38929559.09877196,0.00000000,2026-08-01 18:00:00
126103.01000000,38834583.04061899,0.00000000,2026-08-01 19:00:00
126040.29000000,38732181.11700000,0.00000000,2026-08-01 20:00:00
126174.21000000,38806140.02760000,0.00000000,2026-08-01 21:00:00
126780.52000000,39088673.29548175,0.00000000,2026-08-01 22:00:00
126709.72000000,39078544.74520000,0.00000000,2026-08-01 23:00:00
126429.21000000,39038811.46380000,0.00000000,2026-08-02 00:00:00
126385.37000000,39069700.15247031,0.00000000,2026-08-02 01:00:00
126033.98000000,39006809.05736293,0.00000000,2026-08-02 02:00:00
126073.72000000,39320924.82182483,0.00000000,2026-08-02 03:00:00
125271.30000000,39057499.34812410,0.00000000,2026-08-02 04:00:00
125073.18000000,39033515.03177115,0.00000000,2026-08-02 05:00:00
124948.65000000,38991475.71900000,0.00000000,2026-08-02 06:00:00
124814.48000000,38958343.64240000,0.00000000,2026-08-02 07:00:00
124751.94000000,38933114.27489141,0.00000000,2026-08-02 08:00:00
124727.99000000,38930100.23880000,0.00000000,2026-08-02 09:00:00
124854.49000000,39009536.85560000,0.00000000,2026-08-02 10:00:00
124860.16000000,39015054.19520000,0.00000000,2026-08-02 11:00:00
124918.81000000,38974668.72000000,0.00000000,2026-08-02 12:00:00
125355.83000000,39170869.91801399,0.00000000,2026-08-02 13:00:00
125348.27000000,39146944.15124181,0.00000000,2026-08-02 14:00:00
125367.23000000,39134634.51680000,0.00000000,2026-08-02 15:00:00
125326.80000000,39133966.92779020,0.00000000,2026-08-02 16:00:00
125467.31000000,39270949.07453255,0.00000000,2026-08-02 17:00:00
125537.84000000,39328016.73575626,0.00000000,2026-08-02 18:00:00
125492.33000000,39342538.39729287,0.00000000,2026-08-02 19:00:00
125474.72000000,39389024.10240000,0.00000000,2026-08-02 20:00:00
125382.82000000,39368325.82226139,0.00000000,2026-08-02 21:00:00
125257.16000000,39357738.87203683,0.00000000,2026-08-02 22:00:00
124857.45000000,39154047.74550000,0.00000000,2026-08-02 23:00:00
124644.51000000,39292935.33240000,0.00000000,2026-08-03 00:00:00
125213.88000000,39313430.94195091,0.00000000,2026-08-03 01:00:00
125732.68000000,39561081.83838280,0.00000000,2026-08-03 02:00:00
126153.92000000,39782638.67200000,0.00000000,2026-08-03 03:00:00
126642.12000000,39915063.38160000,0.00000000,2026-08-03 04:00:00
129292.42000000,40748517.65180386,0.00000000,2026-08-03 05:00:00
128546.35000000,40513138.85136046,0.00000000,2026-08-03 06:00:00
126235.61000000,39689630.23011351,0.00000000,2026-08-03 07:00:00
125639.91000000,39457765.85380250,0.00000000,2026-08-03 08:00:00
124287.94000000,39184803.55434024,0.00000000,2026-08-03 09:00:00
123755.48000000,38999424.15844236,0.00000000,2026-08-03 10:00:00
123412.08000000,38775194.30093567,0.00000000,2026-08-03 11:00:00
122315.88000000,38212704.07080000,0.00000000,2026-08-03 12:00:00
122001.31000000,38200930.18549147,0.00000000,2026-08-03 13:00:00
123521.56000000,39458962.34200000,0.00000000,2026-08-03 14:00:00
119975.32000000,38704955.26695768,0.00000000,2026-08-03 15:00:00
117938.17000000,38188379.44600000,0.00000000,2026-08-03 16:00:00
115586.30000000,37030382.93100000,0.00000000,2026-08-03 17:00:00
114708.52000000,37017586.48920000,0.00000000,2026-08-03 18:00:00
114020.88000000,36933013.78639333,0.00000000,2026-08-03 19:00:00
113297.94000000,36532920.75300000,0.00000000,2026-08-03 20:00:00
112317.80000000,36251099.65646929,0.00000000,2026-08-03 21:00:00
112299.21000000,36297756.50217596,0.00000000,2026-08-03 22:00:00
112305.74000000,36293333.54583143,0.00000000,2026-08-03 23:00:00
112277.10000000,36269491.20182587,0.00000000,2026-08-04 00:00:00
112119.79000000,36060292.84696823,0.00000000,2026-08-04 01:00:00
111971.53000000,36292212.30360000,0.00000000,2026-08-04 02:00:00
111749.52000000,36172988.73814126,0.00000000,2026-08-04 03:00:00
111756.82000000,36251677.27160000,0.00000000,2026-08-04 04:00:00
112104.84000000,36404632.44394921,0.00000000,2026-08-04 05:00:00
112176.81000000,36570112.54535842,0.00000000,2026-08-04 06:00:00
112345.14000000,36548120.94480000,0.00000000,2026-08-04 07:00:00
112310.81000000,36540666.59969576,0.00000000,2026-08-04 08:00:00
112158.25000000,36421148.52250000,0.00000000,2026-08-04 09:00:00
112112.27000000,36390521.71930000,0.00000000,2026-08-04 10:00:00
112657.25000000,36531366.45750000,0.00000000,2026-08-04 11:00:00
113001.34000000,36839566.85340000,0.00000000,2026-08-04 12:00:00
113541.05000000,36874726.80850000,0.00000000,2026-08-04 13:00:00
115792.72000000,37294272.45468074,0.00000000,2026-08-04 14:00:00
116591.48000000,37823449.56094144,0.00000000,2026-08-04 15:00:00
116704.61000000,37883365.28634828,0.00000000,2026-08-04 16:00:00
116379.23000000,37887258.32650000,0.00000000,2026-08-04 17:00:00
118098.23000000,38502384.94460000,0.00000000,2026-08-04 18:00:00
117231.78000000,38508682.01554526,0.00000000,2026-08-04 19:00:00
116242.48000000,38088464.37618232,0.00000000,2026-08-04 20:00:00
114733.31000000,37414919.69738190,0.00000000,2026-08-04 21:00:00
114782.11000000,37206620.95650000,0.00000000,2026-08-04 22:00:00
114712.35000000,37381313.49450000,0.00000000,2026-08-04 23:00:00
115091.61000000,37471747.29293807,0.00000000,2026-08-05 00:00:00
115069.34000000,37515874.71825635,0.00000000,2026-08-05 01:00:00
115142.10000000,37554747.33600000,0.00000000,2026-08-05 02:00:00
114913.33000000,37498517.84560000,0.00000000,2026-08-05 03:00:00
114879.36000000,37594927.49876896,0.00000000,2026-08-05 04:00:00
114764.51000000,37581822.24824207,0.00000000,2026-08-05 05:00:00
114711.22000000,37679788.21079386,0.00000000,2026-08-05 06:00:00
114557.31000000,37664877.16413448,0.00000000,2026-08-05 07:00:00
113843.40000000,37321281.82200000,0.00000000,2026-08-05 08:00:00
112968.13000000,36704962.69100844,0.00000000,2026-08-05 09:00:00
113092.66000000,36722386.84356977,0.00000000,2026-08-05 10:00:00
113258.93000000,36764249.78223541,0.00000000,2026-08-05 11:00:00
113454.60000000,36825094.06800000,0.00000000,2026-08-05 12:00:00
113718.56000000,36853074.96374484,0.00000000,2026-08-05 13:00:00
114289.41000000,37198871.45789336,0.00000000,2026-08-05 14:00:00
114418.89000000,36998492.27040000,0.00000000,2026-08-05 15:00:00
114288.11000000,36841947.00426795,0.00000000,2026-08-05 16:00:00
114616.96000000,37144501.57251026,0.00000000,2026-08-05 17:00:00
114758.83000000,37023096.80675880,0.00000000,2026-08-05 18:00:00
115081.80000000,36934352.89200000,0.00000000,2026-08-05 19:00:00
115090.71000000,37036190.47800000,0.00000000,2026-08-05 20:00:00
114808.08000000,36954117.63401085,0.00000000,2026-08-05 21:00:00
115034.49000000,37036504.40040000,0.00000000,2026-08-05 22:00:00
114928.16000000,37057009.52117999,0.00000000,2026-08-05 23:00:00
115444.21000000,37141188.02578730,0.00000000,2026-08-06 00:00:00
116001.58000000,37311908.20700000,0.00000000,2026-08-06 01:00:00
115679.89000000,37130267.31867758,0.00000000,2026-08-06 02:00:00
115828.37000000,37328012.17050557,0.00000000,2026-08-06 03:00:00
115985.09000000,37373875.55070000,0.00000000,2026-08-06 04:00:00
116256.26000000,37511244.85160000,0.00000000,2026-08-06 05:00:00
116271.44000000,37496454.70838710,0.00000000,2026-08-06 06:00:00
116656.50000000,37564234.96712218,0.00000000,2026-08-06 07:00:00
116924.41000000,37626330.55432412,0.00000000,2026-08-06 08:00:00
117390.35000000,37840779.32250000,0.00000000,2026-08-06 09:00:00
117578.52000000,37908490.63320000,0.00000000,2026-08-06 10:00:00
117739.46000000,37910011.57150583,0.00000000,2026-08-06 11:00:00
117886.01000000,37965189.52050000,0.00000000,2026-08-06 12:00:00
118297.75000000,38031763.08982625,0.00000000,2026-08-06 13:00:00
117535.72000000,37692294.18787067,0.00000000,2026-08-06 14:00:00
118242.49000000,38129655.75030000,0.00000000,2026-08-06 15:00:00
118265.92000000,37859499.96133246,0.00000000,2026-08-06 16:00:00
118480.91000000,37842574.27019788,0.00000000,2026-08-06 17:00:00
118768.43000000,37842449.55911292,0.00000000,2026-08-06 18:00:00
118912.41000000,37936626.16230000,0.00000000,2026-08-06 19:00:00
118776.98000000,38007326.80972719,0.00000000,2026-08-06 20:00:00
118894.40000000,38023618.06400000,0.00000000,2026-08-06 21:00:00
118848.04000000,38031372.80000000,0.00000000,2026-08-06 22:00:00
118778.06000000,38056490.42400000,0.00000000,2026-08-06 23:00:00
118883.14000000,38150258.41573148,0.00000000,2026-08-07 00:00:00
118589.75000000,38102898.89567374,0.00000000,2026-08-07 01:00:00
118424.02000000,38001051.60199377,0.00000000,2026-08-07 02:00:00
118297.32000000,37981206.45720026,0.00000000,2026-08-07 03:00:00
118226.99000000,37890206.95396119,0.00000000,2026-08-07 04:00:00
117925.39000000,37797446.00280000,0.00000000,2026-08-07 05:00:00
117872.06000000,37799079.95424228,0.00000000,2026-08-07 06:00:00
118077.35000000,37947698.74300000,0.00000000,2026-08-07 07:00:00
117887.12000000,37952579.41280000,0.00000000,2026-08-07 08:00:00
117999.66000000,37993860.98720782,0.00000000,2026-08-07 09:00:00
117451.18000000,37839246.66060000,0.00000000,2026-08-07 10:00:00
117568.97000000,37820382.61596416,0.00000000,2026-08-07 11:00:00
117647.44000000,37862475.61520000,0.00000000,2026-08-07 12:00:00
117618.82000000,38051233.44490498,0.00000000,2026-08-07 13:00:00
118368.19000000,38703492.98163501,0.00000000,2026-08-07 14:00:00
118160.31000000,39023456.34538660,0.00000000,2026-08-07 15:00:00
117503.10000000,39000453.92100000,0.00000000,2026-08-07 16:00:00
117689.88000000,38631703.11000000,0.00000000,2026-08-07 17:00:00
118514.96000000,38818389.99840000,0.00000000,2026-08-07 18:00:00
118844.31000000,38967132.13934743,0.00000000,2026-08-07 19:00:00
118718.79000000,39022602.50359238,0.00000000,2026-08-07 20:00:00
118794.54000000,39104786.67720000,0.00000000,2026-08-07 21:00:00
118427.31000000,38922319.70460000,0.00000000,2026-08-07 22:00:00
118412.59000000,38925325.64750748,0.00000000,2026-08-07 23:00:00
118306.94000000,38957292.27260000,0.00000000,2026-08-08 00:00:00
118190.45000000,38879930.43200000,0.00000000,2026-08-08 01:00:00
118359.24000000,39013031.66397959,0.00000000,2026-08-08 02:00:00
118313.31000000,39003165.77460000,0.00000000,2026-08-08 03:00:00
118307.60000000,39030860.31600000,0.00000000,2026-08-08 04:00:00
