longAccount,longShortRatio,shortAccount,time
0.8900,8.0909,0.1100,2026-07-28 20:00:00
0.8933,8.3721,0.1067,2026-07-28 21:00:00
0.8933,8.3721,0.1067,2026-07-28 22:00:00
0.8917,8.2336,0.1083,2026-07-28 23:00:00
0.8904,8.1241,0.1096,2026-07-29 00:00:00
0.8901,8.0992,0.1099,2026-07-29 01:00:00
0.8885,7.9686,0.1115,2026-07-29 02:00:00
0.8903,8.1158,0.1097,2026-07-29 03:00:00
0.8864,7.8028,0.1136,2026-07-29 04:00:00
0.8872,7.8652,0.1128,2026-07-29 05:00:00
0.8884,7.9606,0.1116,2026-07-29 06:00:00
0.8888,7.9928,0.1112,2026-07-29 07:00:00
0.8895,8.0498,0.1105,2026-07-29 08:00:00
0.8887,7.9847,0.1113,2026-07-29 09:00:00
0.8876,7.8968,0.1124,2026-07-29 10:00:00
0.8893,8.0334,0.1107,2026-07-29 11:00:00
0.8853,7.7184,0.1147,2026-07-29 12:00:00
0.8879,7.9206,0.1121,2026-07-29 13:00:00
0.8854,7.7260,0.1146,2026-07-29 14:00:00
0.8857,7.7489,0.1143,2026-07-29 15:00:00
0.8859,7.7642,0.1141,2026-07-29 16:00:00
0.8873,7.8731,0.1127,2026-07-29 17:00:00
0.8896,8.0580,0.1104,2026-07-29 18:00:00
0.8890,8.0090,0.1110,2026-07-29 19:00:00
0.8908,8.1575,0.1092,2026-07-29 20:00:00
0.8886,7.9767,0.1114,2026-07-29 21:00:00
0.8912,8.1912,0.1088,2026-07-29 22:00:00
0.8920,8.2593,0.1080,2026-07-29 23:00:00
0.8938,8.4162,0.1062,2026-07-30 00:00:00
0.8897,8.0662,0.1103,2026-07-30 01:00:00
0.8906,8.1408,0.1094,2026-07-30 02:00:00
0.8860,7.7719,0.1140,2026-07-30 03:00:00
0.8877,7.9047,0.1123,2026-07-30 04:00:00
0.8877,7.9047,0.1123,2026-07-30 05:00:00
0.8894,8.0416,0.1106,2026-07-30 06:00:00
0.8848,7.6806,0.1152,2026-07-30 07:00:00
0.8858,7.7566,0.1142,2026-07-30 08:00:00
0.8862,7.7873,0.1138,2026-07-30 09:00:00
0.8872,7.8652,0.1128,2026-07-30 10:00:00
0.8855,7.7336,0.1145,2026-07-30 11:00:00
0.8870,7.8496,0.1130,2026-07-30 12:00:00
0.8843,7.6430,0.1157,2026-07-30 13:00:00
0.8787,7.2440,0.1213,2026-07-30 14:00:00
