longAccount,longShortRatio,shortAccount,time
0.7819,3.5858,0.2181,2026-07-28 20:00:00
0.7841,3.6316,0.2159,2026-07-28 21:00:00
0.7832,3.6122,0.2168,2026-07-28 22:00:00
0.7831,3.6113,0.2169,2026-07-28 23:00:00
0.7838,3.6253,0.2162,2026-07-29 00:00:00
0.7879,3.7154,0.2121,2026-07-29 01:00:00
0.7911,3.7873,0.2089,2026-07-29 02:00:00
0.7959,3.8990,0.2041,2026-07-29 03:00:00
0.7985,3.9622,0.2015,2026-07-29 04:00:00
0.8000,4.0004,0.2000,2026-07-29 05:00:00
0.8002,4.0059,0.1998,2026-07-29 06:00:00
0.8022,4.0563,0.1978,2026-07-29 07:00:00
0.8045,4.1154,0.1955,2026-07-29 08:00:00
0.8164,4.4460,0.1836,2026-07-29 09:00:00
0.8165,4.4507,0.1835,2026-07-29 10:00:00
0.8184,4.5071,0.1816,2026-07-29 11:00:00
0.8172,4.4711,0.1828,2026-07-29 12:00:00
0.8155,4.4195,0.1845,2026-07-29 13:00:00
0.8121,4.3224,0.1879,2026-07-29 14:00:00
0.8054,4.1396,0.1946,2026-07-29 15:00:00
0.7955,3.8910,0.2045,2026-07-29 16:00:00
0.7945,3.8655,0.2055,2026-07-29 17:00:00
0.7969,3.9245,0.2031,2026-07-29 18:00:00
0.7989,3.9737,0.2011,2026-07-29 19:00:00
0.8082,4.2131,0.1918,2026-07-29 20:00:00
0.8100,4.2632,0.1900,2026-07-29 21:00:00
0.8148,4.3986,0.1852,2026-07-29 22:00:00
0.8181,4.4975,0.1819,2026-07-29 23:00:00
0.8158,4.4296,0.1842,2026-07-30 00:00:00
0.8112,4.2965,0.1888,2026-07-30 01:00:00
0.8053,4.1358,0.1947,2026-07-30 02:00:00
0.8019,4.0479,0.1981,2026-07-30 03:00:00
0.7960,3.9015,0.2040,2026-07-30 04:00:00
0.7962,3.9066,0.2038,2026-07-30 05:00:00
0.7958,3.8969,0.2042,2026-07-30 06:00:00
0.7995,3.9883,0.2005,2026-07-30 07:00:00
0.7961,3.9048,0.2039,2026-07-30 08:00:00
0.7921,3.8104,0.2079,2026-07-30 09:00:00
0.7872,3.6990,0.2128,2026-07-30 10:00:00
0.7856,3.6652,0.2144,2026-07-30 11:00:00
0.7824,3.5959,0.2176,2026-07-30 12:00:00
0.7818,3.5831,0.2182,2026-07-30 13:00:00
0.7780,3.5045,0.2220,2026-07-30 14:00:00
0.7731,3.4069,0.2269,2026-07-30 15:00:00
0.7701,3.3492,0.2299,2026-07-30 16:00:00
0.7723,3.3926,0.2277,2026-07-30 17:00:00
0.7739,3.4236,0.2261,2026-07-30 18:00:00
0.7742,3.4285,0.2258,2026-07-30 19:00:00
0.7722,3.3896,0.2278,2026-07-30 20:00:00
0.7703,3.3528,0.2297,2026-07-30 21:00:00
0.7725,3.3957,0.2275,2026-07-30 22:00:00
0.7724,3.3930,0.2276,2026-07-30 23:00:00
0.7747,3.4386,0.2253,2026-07-31 00:00:00
0.7771,3.4865,0.2229,2026-07-31 01:00:00
0.7802,3.5496,0.2198,2026-07-31 02:00:00
0.7796,3.5378,0.2204,2026-07-31 03:00:00
0.7773,3.4905,0.2227,2026-07-31 04:00:00
0.7759,3.4624,0.2241,2026-07-31 05:00:00
0.7749,3.4421,0.2251,2026-07-31 06:00:00
0.7747,3.4392,0.2253,2026-07-31 07:00:00
0.7740,3.4244,0.2260,2026-07-31 08:00:00
0.7719,3.3844,0.2281,2026-07-31 09:00:00
0.7691,3.3301,0.2309,2026-07-31 10:00:00
0.7693,3.3342,0.2307,2026-07-31 11:00:00
0.7683,3.3151,0.2317,2026-07-31 12:00:00
0.7664,3.2817,0.2336,2026-07-31 13:00:00
0.7628,3.2165,0.2372,2026-07-31 14:00:00
0.7576,3.1262,0.2424,2026-07-31 15:00:00
0.7597,3.1617,0.2403,2026-07-31 16:00:00
0.7537,3.0607,0.2463,2026-07-31 17:00:00
0.7551,3.0830,0.2449,2026-07-31 18:00:00
0.7550,3.0816,0.2450,2026-07-31 19:00:00
0.7535,3.0573,0.2465,2026-07-31 20:00:00
