buySellRatio,sellVol,buyVol,time
0.8570,1627474.0000,1394816.0000,2026-07-28 19:00:00
0.7588,1450051.0000,1100361.0000,2026-07-28 20:00:00
0.8736,1047716.0000,915281.0000,2026-07-28 21:00:00
0.4893,1493366.0000,730663.0000,2026-07-28 22:00:00
0.8350,2585766.0000,2159230.0000,2026-07-28 23:00:00
0.9315,2223402.0000,2071077.0000,2026-07-29 00:00:00
0.4180,2767723.0000,1156856.0000,2026-07-29 01:00:00
0.8011,2182539.0000,1748351.0000,2026-07-29 02:00:00
1.1867,2933348.0000,3480865.0000,2026-07-29 03:00:00
0.7073,4232353.0000,2993564.0000,2026-07-29 04:00:00
1.2258,3294426.0000,4038150.0000,2026-07-29 05:00:00
1.6874,1214226.0000,2048892.0000,2026-07-29 06:00:00
1.8041,1107738.0000,1998436.0000,2026-07-29 07:00:00
0.7075,1865803.0000,1320048.0000,2026-07-29 08:00:00
1.5919,9949072.0000,15838260.0000,2026-07-29 09:00:00
0.7816,11084800.0000,8664180.0000,2026-07-29 10:00:00
1.1457,4683922.0000,5366289.0000,2026-07-29 11:00:00
0.6613,6562288.0000,4339727.0000,2026-07-29 12:00:00
1.0638,2161535.0000,2299486.0000,2026-07-29 13:00:00
1.0650,3640741.0000,3877536.0000,2026-07-29 14:00:00
1.4728,2456627.0000,3618043.0000,2026-07-29 15:00:00
1.0718,1367151.0000,1465308.0000,2026-07-29 16:00:00
1.7634,906195.0000,1597971.0000,2026-07-29 17:00:00
0.5229,2765702.0000,1446118.0000,2026-07-29 18:00:00
0.8742,1193278.0000,1043155.0000,2026-07-29 19:00:00
1.8453,1564458.0000,2886821.0000,2026-07-29 20:00:00
0.4912,1964771.0000,965032.0000,2026-07-29 21:00:00
2.2670,1119047.0000,2536858.0000,2026-07-29 22:00:00
0.5732,1449959.0000,831072.0000,2026-07-29 23:00:00
1.2401,2473777.0000,3067753.0000,2026-07-30 00:00:00
0.5034,1242777.0000,625640.0000,2026-07-30 01:00:00
1.0536,539135.0000,568033.0000,2026-07-30 02:00:00
0.6191,10546090.0000,6528926.0000,2026-07-30 03:00:00
0.7368,1205367.0000,888152.0000,2026-07-30 04:00:00
0.9997,1484198.0000,1483803.0000,2026-07-30 05:00:00
1.8691,975423.0000,1823126.0000,2026-07-30 06:00:00
0.7298,1818041.0000,1326836.0000,2026-07-30 07:00:00
0.3682,1530229.0000,563372.0000,2026-07-30 08:00:00
0.9888,905672.0000,895560.0000,2026-07-30 09:00:00
0.8372,1478888.0000,1238122.0000,2026-07-30 10:00:00
1.2254,2910500.0000,3566530.0000,2026-07-30 11:00:00
0.7064,2811932.0000,1986358.0000,2026-07-30 12:00:00
0.9989,1545069.0000,1543316.0000,2026-07-30 13:00:00
1.2005,1692414.0000,2031702.0000,2026-07-30 14:00:00
1.1272,839379.0000,946141.0000,2026-07-30 15:00:00
1.0497,866966.0000,910058.0000,2026-07-30 16:00:00
0.9936,743884.0000,739116.0000,2026-07-30 17:00:00
0.8425,986802.0000,831402.0000,2026-07-30 18:00:00
1.6141,1169603.0000,1887899.0000,2026-07-30 19:00:00
0.6292,777948.0000,489446.0000,2026-07-30 20:00:00
1.8005,607937.0000,1094605.0000,2026-07-30 21:00:00
0.6335,623255.0000,394859.0000,2026-07-30 22:00:00
1.7530,800689.0000,1403629.0000,2026-07-30 23:00:00
0.6461,1309934.0000,846369.0000,2026-07-31 00:00:00
0.4659,1100592.0000,512729.0000,2026-07-31 01:00:00
0.8627,1578132.0000,1361447.0000,2026-07-31 02:00:00
1.7041,741098.0000,1262917.0000,2026-07-31 03:00:00
1.3321,1902735.0000,2534549.0000,2026-07-31 04:00:00
1.3037,554261.0000,722617.0000,2026-07-31 05:00:00
2.0408,1387972.0000,2832619.0000,2026-07-31 06:00:00
0.9658,7263661.0000,7015254.0000,2026-07-31 07:00:00
1.2108,4158514.0000,5035080.0000,2026-07-31 08:00:00
0.8073,3500843.0000,2826157.0000,2026-07-31 09:00:00
1.1421,2848575.0000,3253425.0000,2026-07-31 10:00:00
1.4449,710583.0000,1026725.0000,2026-07-31 11:00:00
0.9520,824941.0000,785344.0000,2026-07-31 12:00:00
0.7785,3483284.0000,2711822.0000,2026-07-31 13:00:00
1.4043,4292278.0000,6027433.0000,2026-07-31 14:00:00
1.4954,4139295.0000,6190012.0000,2026-07-31 15:00:00
0.9326,3382884.0000,3155002.0000,2026-07-31 16:00:00
1.4670,1946419.0000,2855336.0000,2026-07-31 17:00:00
2.0753,2202319.0000,4570562.0000,2026-07-31 18:00:00
0.9334,3561255.0000,3324106.0000,2026-07-31 19:00:00
0.7769,3491781.0000,2712790.0000,2026-07-31 20:00:00
0.8125,3168247.0000,2574047.0000,2026-07-31 21:00:00
0.7767,15351306.0000,11923515.0000,2026-07-31 22:00:00
2.0399,1455505.0000,2969082.0000,2026-07-31 23:00:00
1.4602,1237757.0000,1807315.0000,2026-08-01 00:00:00
1.1749,2820033.0000,3313273.0000,2026-08-01 01:00:00
1.0877,3328478.0000,3620528.0000,2026-08-01 02:00:00
1.7964,826043.0000,1483906.0000,2026-08-01 03:00:00
0.7207,1616483.0000,1164921.0000,2026-08-01 04:00:00
1.8895,2729575.0000,5157502.0000,2026-08-01 05:00:00
0.6859,4604584.0000,3158373.0000,2026-08-01 06:00:00
0.9948,3129591.0000,3113411.0000,2026-08-01 07:00:00
1.3394,15896685.0000,21292096.0000,2026-08-01 08:00:00
1.0902,36703561.0000,40014627.0000,2026-08-01 09:00:00
0.8290,23820031.0000,19747517.0000,2026-08-01 10:00:00
1.0776,22411550.0000,24149619.0000,2026-08-01 11:00:00
1.2242,47126229.0000,57691703.0000,2026-08-01 12:00:00
0.8180,30723569.0000,25132634.0000,2026-08-01 13:00:00
1.2071,15602012.0000,18833609.0000,2026-08-01 14:00:00
0.9141,17525884.0000,16021245.0000,2026-08-01 15:00:00
1.1562,14013957.0000,16202549.0000,2026-08-01 16:00:00
1.3725,6656337.0000,9135572.0000,2026-08-01 17:00:00
1.1200,5744511.0000,6433678.0000,2026-08-01 18:00:00
0.8240,4819059.0000,3971017.0000,2026-08-01 19:00:00
1.7692,1648937.0000,2917356.0000,2026-08-01 20:00:00
2.0376,3019591.0000,6152742.0000,2026-08-01 21:00:00
0.8911,2019343.0000,1799435.0000,2026-08-01 22:00:00
0.5337,3655539.0000,1950791.0000,2026-08-01 23:00:00
0.7080,7785769.0000,5512434.0000,2026-08-02 00:00:00
1.5168,2908825.0000,4412077.0000,2026-08-02 01:00:00
0.6916,10789528.0000,7461736.0000,2026-08-02 02:00:00
0.7735,8117139.0000,6278606.0000,2026-08-02 03:00:00
1.4585,2898111.0000,4226789.0000,2026-08-02 04:00:00
1.1623,1714133.0000,1992339.0000,2026-08-02 05:00:00
0.7520,4598669.0000,3458258.0000,2026-08-02 06:00:00
0.9425,4055529.0000,3822402.0000,2026-08-02 07:00:00
0.9054,3499751.0000,3168580.0000,2026-08-02 08:00:00
1.2564,8310661.0000,10441854.0000,2026-08-02 09:00:00
0.9055,5586187.0000,5058128.0000,2026-08-02 10:00:00
0.7348,2562437.0000,1882781.0000,2026-08-02 11:00:00
0.6325,3794647.0000,2400096.0000,2026-08-02 12:00:00
0.7085,4171249.0000,2955146.0000,2026-08-02 13:00:00
1.5960,1787759.0000,2853182.0000,2026-08-02 14:00:00
0.7021,1676588.0000,1177055.0000,2026-08-02 15:00:00
2.0401,2116819.0000,4318491.0000,2026-08-02 16:00:00
0.4642,2993422.0000,1389577.0000,2026-08-02 17:00:00
0.4508,1424245.0000,642104.0000,2026-08-02 18:00:00
0.6572,2346038.0000,1541863.0000,2026-08-02 19:00:00
0.6026,1057209.0000,637049.0000,2026-08-02 20:00:00
0.3831,2849040.0000,1091552.0000,2026-08-02 21:00:00
1.3201,1845367.0000,2435983.0000,2026-08-02 22:00:00
1.3741,3309464.0000,4547638.0000,2026-08-02 23:00:00
0.6615,3600556.0000,2381911.0000,2026-08-03 00:00:00
0.9387,6439948.0000,6044974.0000,2026-08-03 01:00:00
1.2089,8575163.0000,10366826.0000,2026-08-03 02:00:00
1.4229,11602373.0000,16509579.0000,2026-08-03 03:00:00
0.8195,15081199.0000,12359241.0000,2026-08-03 04:00:00
0.8276,15446213.0000,12783100.0000,2026-08-03 05:00:00
1.1533,15612507.0000,18005683.0000,2026-08-03 06:00:00
1.0487,20235573.0000,21220832.0000,2026-08-03 07:00:00
1.2761,28568807.0000,36457326.0000,2026-08-03 08:00:00
1.1494,25258110.0000,29031582.0000,2026-08-03 09:00:00
1.0060,9382857.0000,9438772.0000,2026-08-03 10:00:00
1.2555,16967100.0000,21302081.0000,2026-08-03 11:00:00
0.9508,30449811.0000,28952731.0000,2026-08-03 12:00:00
1.0122,17130440.0000,17339487.0000,2026-08-03 13:00:00
1.1619,39597722.0000,46007574.0000,2026-08-03 14:00:00
0.7910,29228221.0000,23119574.0000,2026-08-03 15:00:00
1.2958,27237396.0000,35294795.0000,2026-08-03 16:00:00
1.4525,38832635.0000,56406333.0000,2026-08-03 17:00:00
1.0992,25801967.0000,28362360.0000,2026-08-03 18:00:00
1.2028,9898435.0000,11905613.0000,2026-08-03 19:00:00
0.9611,10252461.0000,9853375.0000,2026-08-03 20:00:00
1.0828,8065969.0000,8733637.0000,2026-08-03 21:00:00
0.8992,8212774.0000,7385170.0000,2026-08-03 22:00:00
1.0315,6494313.0000,6698934.0000,2026-08-03 23:00:00
1.1587,16277574.0000,18860783.0000,2026-08-04 00:00:00
1.1135,22386921.0000,24927715.0000,2026-08-04 01:00:00
0.9857,25938301.0000,25566329.0000,2026-08-04 02:00:00
1.1818,21202173.0000,25056690.0000,2026-08-04 03:00:00
1.0274,44374707.0000,45588749.0000,2026-08-04 04:00:00
0.8964,63016865.0000,56490204.0000,2026-08-04 05:00:00
0.8434,92265273.0000,77815721.0000,2026-08-04 06:00:00
0.8825,56689035.0000,50030167.0000,2026-08-04 07:00:00
0.7382,80944880.0000,59756977.0000,2026-08-04 08:00:00
1.0736,33456030.0000,35917670.0000,2026-08-04 09:00:00
0.8451,25089599.0000,21202359.0000,2026-08-04 10:00:00
1.1725,26991693.0000,31648284.0000,2026-08-04 11:00:00
0.8321,31458915.0000,26175921.0000,2026-08-04 12:00:00
0.9026,27031418.0000,24399492.0000,2026-08-04 13:00:00
1.1116,24397247.0000,27118894.0000,2026-08-04 14:00:00
0.9987,21414305.0000,21386385.0000,2026-08-04 15:00:00
1.0930,48260102.0000,52750150.0000,2026-08-04 16:00:00
0.9452,23113196.0000,21846803.0000,2026-08-04 17:00:00
1.1068,14475052.0000,16021707.0000,2026-08-04 18:00:00
0.9172,11698088.0000,10730054.0000,2026-08-04 19:00:00
1.0675,14335868.0000,15304136.0000,2026-08-04 20:00:00
0.6742,11733198.0000,7910369.0000,2026-08-04 21:00:00
1.1130,11480478.0000,12778294.0000,2026-08-04 22:00:00
0.8418,11336899.0000,9542913.0000,2026-08-04 23:00:00
0.7544,12608178.0000,9512180.0000,2026-08-05 00:00:00
1.1158,33629084.0000,37524949.0000,2026-08-05 01:00:00
0.9295,26023649.0000,24188138.0000,2026-08-05 02:00:00
1.3708,16723010.0000,22923919.0000,2026-08-05 03:00:00
1.3506,18455998.0000,24925993.0000,2026-08-05 04:00:00
1.0910,20344639.0000,22196828.0000,2026-08-05 05:00:00
0.9511,18938535.0000,18013107.0000,2026-08-05 06:00:00
0.9628,16659987.0000,16040624.0000,2026-08-05 07:00:00
0.8755,14545502.0000,12734017.0000,2026-08-05 08:00:00
1.0268,10197491.0000,10471212.0000,2026-08-05 09:00:00
1.3858,14547955.0000,20159942.0000,2026-08-05 10:00:00
0.9213,14158340.0000,13044479.0000,2026-08-05 11:00:00
1.4253,6772994.0000,9653781.0000,2026-08-05 12:00:00
1.0231,11241121.0000,11500455.0000,2026-08-05 13:00:00
1.2258,6815729.0000,8354523.0000,2026-08-05 14:00:00
