buySellRatio,sellVol,buyVol,time
1.1486,135465.0000,155595.0000,2026-07-28 19:00:00
0.6021,217943.0000,131219.0000,2026-07-28 20:00:00
1.3699,92779.0000,127096.0000,2026-07-28 21:00:00
0.8896,244501.0000,217519.0000,2026-07-28 22:00:00
0.9507,206537.0000,196363.0000,2026-07-28 23:00:00
1.0239,244388.0000,250238.0000,2026-07-29 00:00:00
1.3965,189551.0000,264709.0000,2026-07-29 01:00:00
1.3103,146967.0000,192566.0000,2026-07-29 02:00:00
0.9180,259737.0000,238438.0000,2026-07-29 03:00:00
1.1647,225129.0000,262211.0000,2026-07-29 04:00:00
1.1052,547169.0000,604750.0000,2026-07-29 05:00:00
0.8837,235711.0000,208291.0000,2026-07-29 06:00:00
1.2219,396671.0000,484701.0000,2026-07-29 07:00:00
0.7637,334942.0000,255787.0000,2026-07-29 08:00:00
1.0341,413679.0000,427784.0000,2026-07-29 09:00:00
0.8898,483215.0000,429982.0000,2026-07-29 10:00:00
0.9026,308007.0000,278009.0000,2026-07-29 11:00:00
0.9301,159310.0000,148173.0000,2026-07-29 12:00:00
0.9048,372078.0000,336653.0000,2026-07-29 13:00:00
1.0415,2110849.0000,2198371.0000,2026-07-29 14:00:00
0.8603,2211276.0000,1902444.0000,2026-07-29 15:00:00
0.8722,1286435.0000,1122047.0000,2026-07-29 16:00:00
0.9402,1316486.0000,1237716.0000,2026-07-29 17:00:00
0.8946,1043726.0000,933728.0000,2026-07-29 18:00:00
0.9049,789672.0000,714573.0000,2026-07-29 19:00:00
0.7549,995998.0000,751855.0000,2026-07-29 20:00:00
1.5946,389897.0000,621713.0000,2026-07-29 21:00:00
0.7526,582393.0000,438290.0000,2026-07-29 22:00:00
1.2302,510180.0000,627619.0000,2026-07-29 23:00:00
0.8617,1020715.0000,879571.0000,2026-07-30 00:00:00
1.0862,429020.0000,466007.0000,2026-07-30 01:00:00
0.9274,699587.0000,648801.0000,2026-07-30 02:00:00
0.8081,743483.0000,600840.0000,2026-07-30 03:00:00
0.8806,443537.0000,390565.0000,2026-07-30 04:00:00
1.0069,407621.0000,410430.0000,2026-07-30 05:00:00
1.0148,453728.0000,460439.0000,2026-07-30 06:00:00
0.9430,344198.0000,324592.0000,2026-07-30 07:00:00
1.1208,249715.0000,279887.0000,2026-07-30 08:00:00
0.9276,509201.0000,472324.0000,2026-07-30 09:00:00
1.1262,217407.0000,244851.0000,2026-07-30 10:00:00
0.7875,251785.0000,198274.0000,2026-07-30 11:00:00
1.0218,336627.0000,343969.0000,2026-07-30 12:00:00
0.8697,336263.0000,292456.0000,2026-07-30 13:00:00
0.7939,488085.0000,387472.0000,2026-07-30 14:00:00
1.2420,434280.0000,539362.0000,2026-07-30 15:00:00
0.7397,548772.0000,405954.0000,2026-07-30 16:00:00
1.0194,243170.0000,247880.0000,2026-07-30 17:00:00
0.9624,231135.0000,222447.0000,2026-07-30 18:00:00
0.7842,179885.0000,141073.0000,2026-07-30 19:00:00
1.1234,333464.0000,374608.0000,2026-07-30 20:00:00
0.9981,191158.0000,190797.0000,2026-07-30 21:00:00
0.9335,176102.0000,164391.0000,2026-07-30 22:00:00
1.2107,163763.0000,198271.0000,2026-07-30 23:00:00
1.2455,209793.0000,261289.0000,2026-07-31 00:00:00
0.9473,221217.0000,209569.0000,2026-07-31 01:00:00
1.4492,637688.0000,924144.0000,2026-07-31 02:00:00
0.8942,342077.0000,305876.0000,2026-07-31 03:00:00
1.1671,383985.0000,448162.0000,2026-07-31 04:00:00
0.6035,510844.0000,308292.0000,2026-07-31 05:00:00
0.5217,544691.0000,284169.0000,2026-07-31 06:00:00
0.7776,194419.0000,151177.0000,2026-07-31 07:00:00
1.1861,277491.0000,329124.0000,2026-07-31 08:00:00
0.9053,144864.0000,131145.0000,2026-07-31 09:00:00
0.8799,270603.0000,238108.0000,2026-07-31 10:00:00
1.3340,166699.0000,222373.0000,2026-07-31 11:00:00
0.7163,328176.0000,235060.0000,2026-07-31 12:00:00
0.9235,415668.0000,383888.0000,2026-07-31 13:00:00
1.1697,292048.0000,341616.0000,2026-07-31 14:00:00
0.8548,145142.0000,124072.0000,2026-07-31 15:00:00
0.9815,335735.0000,329521.0000,2026-07-31 16:00:00
1.0071,161487.0000,162631.0000,2026-07-31 17:00:00
1.1069,204594.0000,226459.0000,2026-07-31 18:00:00
1.0645,134095.0000,142747.0000,2026-07-31 19:00:00
1.1725,144764.0000,169743.0000,2026-07-31 20:00:00
1.1640,100496.0000,116981.0000,2026-07-31 21:00:00
0.9470,154537.0000,146339.0000,2026-07-31 22:00:00
1.0855,317311.0000,344439.0000,2026-07-31 23:00:00
0.9830,254289.0000,249969.0000,2026-08-01 00:00:00
1.2460,106558.0000,132772.0000,2026-08-01 01:00:00
1.1154,122871.0000,137046.0000,2026-08-01 02:00:00
1.2970,114414.0000,148399.0000,2026-08-01 03:00:00
1.7192,62365.0000,107219.0000,2026-08-01 04:00:00
1.1184,141663.0000,158433.0000,2026-08-01 05:00:00
0.7311,252176.0000,184363.0000,2026-08-01 06:00:00
0.8759,177352.0000,155336.0000,2026-08-01 07:00:00
0.6215,309014.0000,192046.0000,2026-08-01 08:00:00
1.1695,232157.0000,271498.0000,2026-08-01 09:00:00
1.4160,140998.0000,199650.0000,2026-08-01 10:00:00
1.2106,331229.0000,400991.0000,2026-08-01 11:00:00
0.5851,311056.0000,181988.0000,2026-08-01 12:00:00
0.6053,286602.0000,173468.0000,2026-08-01 13:00:00
1.0477,123029.0000,128896.0000,2026-08-01 14:00:00
0.6313,177110.0000,111813.0000,2026-08-01 15:00:00
0.9667,220628.0000,213276.0000,2026-08-01 16:00:00
