longAccount,longShortRatio,shortAccount,time
0.4948,0.9794,0.5052,2026-07-28 20:00:00
0.4995,0.9980,0.5005,2026-07-28 21:00:00
0.5025,1.0101,0.4975,2026-07-28 22:00:00
0.5064,1.0259,0.4936,2026-07-28 23:00:00
0.5055,1.0222,0.4945,2026-07-29 00:00:00
0.5032,1.0129,0.4968,2026-07-29 01:00:00
0.5025,1.0101,0.4975,2026-07-29 02:00:00
0.5043,1.0173,0.4957,2026-07-29 03:00:00
0.5056,1.0227,0.4944,2026-07-29 04:00:00
0.5040,1.0161,0.4960,2026-07-29 05:00:00
0.5029,1.0117,0.4971,2026-07-29 06:00:00
0.5030,1.0121,0.4970,2026-07-29 07:00:00
0.5031,1.0125,0.4969,2026-07-29 08:00:00
0.5035,1.0141,0.4965,2026-07-29 09:00:00
0.5040,1.0161,0.4960,2026-07-29 10:00:00
0.5036,1.0145,0.4964,2026-07-29 11:00:00
0.5083,1.0338,0.4917,2026-07-29 12:00:00
0.5116,1.0475,0.4884,2026-07-29 13:00:00
0.5109,1.0446,0.4891,2026-07-29 14:00:00
0.4665,0.8744,0.5335,2026-07-29 15:00:00
0.4710,0.8904,0.5290,2026-07-29 16:00:00
0.4659,0.8723,0.5341,2026-07-29 17:00:00
0.4686,0.8818,0.5314,2026-07-29 18:00:00
0.4624,0.8601,0.5376,2026-07-29 19:00:00
0.4623,0.8598,0.5377,2026-07-29 20:00:00
0.4690,0.8832,0.5310,2026-07-29 21:00:00
0.4674,0.8776,0.5326,2026-07-29 22:00:00
0.4744,0.9026,0.5256,2026-07-29 23:00:00
0.4734,0.8990,0.5266,2026-07-30 00:00:00
0.4804,0.9246,0.5196,2026-07-30 01:00:00
0.4813,0.9279,0.5187,2026-07-30 02:00:00
0.4748,0.9040,0.5252,2026-07-30 03:00:00
0.4736,0.8997,0.5264,2026-07-30 04:00:00
0.4686,0.8818,0.5314,2026-07-30 05:00:00
0.4725,0.8957,0.5275,2026-07-30 06:00:00
0.4688,0.8825,0.5312,2026-07-30 07:00:00
0.4721,0.8943,0.5279,2026-07-30 08:00:00
0.4726,0.8961,0.5274,2026-07-30 09:00:00
0.4748,0.9040,0.5252,2026-07-30 10:00:00
0.4773,0.9131,0.5227,2026-07-30 11:00:00
0.4796,0.9216,0.5204,2026-07-30 12:00:00
0.4808,0.9260,0.5192,2026-07-30 13:00:00
0.4827,0.9331,0.5173,2026-07-30 14:00:00
0.4823,0.9316,0.5177,2026-07-30 15:00:00
0.4850,0.9417,0.5150,2026-07-30 16:00:00
0.4857,0.9444,0.5143,2026-07-30 17:00:00
0.4829,0.9339,0.5171,2026-07-30 18:00:00
0.4826,0.9327,0.5174,2026-07-30 19:00:00
0.4818,0.9298,0.5182,2026-07-30 20:00:00
0.4816,0.9290,0.5184,2026-07-30 21:00:00
0.4816,0.9290,0.5184,2026-07-30 22:00:00
0.4812,0.9275,0.5188,2026-07-30 23:00:00
0.4790,0.9194,0.5210,2026-07-31 00:00:00
0.4797,0.9220,0.5203,2026-07-31 01:00:00
0.4772,0.9128,0.5228,2026-07-31 02:00:00
0.4817,0.9294,0.5183,2026-07-31 03:00:00
0.4821,0.9309,0.5179,2026-07-31 04:00:00
0.4820,0.9305,0.5180,2026-07-31 05:00:00
0.4826,0.9327,0.5174,2026-07-31 06:00:00
0.4860,0.9455,0.5140,2026-07-31 07:00:00
0.4837,0.9369,0.5163,2026-07-31 08:00:00
0.4922,0.9693,0.5078,2026-07-31 09:00:00
0.4921,0.9689,0.5079,2026-07-31 10:00:00
0.4952,0.9810,0.5048,2026-07-31 11:00:00
0.4991,0.9964,0.5009,2026-07-31 12:00:00
0.5016,1.0064,0.4984,2026-07-31 13:00:00
0.5027,1.0109,0.4973,2026-07-31 14:00:00
0.5034,1.0137,0.4966,2026-07-31 15:00:00
0.5048,1.0194,0.4952,2026-07-31 16:00:00
0.5070,1.0284,0.4930,2026-07-31 17:00:00
0.5077,1.0313,0.4923,2026-07-31 18:00:00
0.5105,1.0429,0.4895,2026-07-31 19:00:00
0.5142,1.0585,0.4858,2026-07-31 20:00:00
0.5161,1.0665,0.4839,2026-07-31 21:00:00
0.5173,1.0717,0.4827,2026-07-31 22:00:00
0.5155,1.0640,0.4845,2026-07-31 23:00:00
0.5090,1.0367,0.4910,2026-08-01 00:00:00
0.5105,1.0429,0.4895,2026-08-01 01:00:00
0.5099,1.0404,0.4901,2026-08-01 02:00:00
0.5125,1.0513,0.4875,2026-08-01 03:00:00
0.5118,1.0483,0.4882,2026-08-01 04:00:00
0.5115,1.0471,0.4885,2026-08-01 05:00:00
0.5161,1.0665,0.4839,2026-08-01 06:00:00
0.5190,1.0790,0.4810,2026-08-01 07:00:00
0.5196,1.0816,0.4804,2026-08-01 08:00:00
