longAccount,longShortRatio,shortAccount,time
0.5955,1.4724,0.4045,2026-07-28 20:00:00
0.5951,1.4700,0.4049,2026-07-28 21:00:00
0.5938,1.4620,0.4062,2026-07-28 22:00:00
0.5949,1.4688,0.4051,2026-07-28 23:00:00
0.5946,1.4667,0.4054,2026-07-29 00:00:00
0.5950,1.4692,0.4050,2026-07-29 01:00:00
0.5942,1.4642,0.4058,2026-07-29 02:00:00
0.5911,1.4453,0.4089,2026-07-29 03:00:00
0.5911,1.4453,0.4089,2026-07-29 04:00:00
0.5940,1.4634,0.4060,2026-07-29 05:00:00
0.6009,1.5054,0.3991,2026-07-29 06:00:00
0.6000,1.5000,0.4000,2026-07-29 07:00:00
0.5998,1.4988,0.4002,2026-07-29 08:00:00
0.5977,1.4858,0.4023,2026-07-29 09:00:00
0.5985,1.4909,0.4015,2026-07-29 10:00:00
0.6019,1.5117,0.3981,2026-07-29 11:00:00
0.6016,1.5098,0.3984,2026-07-29 12:00:00
0.6021,1.5134,0.3979,2026-07-29 13:00:00
0.6045,1.5287,0.3955,2026-07-29 14:00:00
0.5993,1.4953,0.4007,2026-07-29 15:00:00
0.5981,1.4883,0.4019,2026-07-29 16:00:00
0.5914,1.4475,0.4086,2026-07-29 17:00:00
0.5950,1.4689,0.4050,2026-07-29 18:00:00
0.5954,1.4717,0.4046,2026-07-29 19:00:00
0.5908,1.4437,0.4092,2026-07-29 20:00:00
0.5925,1.4541,0.4075,2026-07-29 21:00:00
0.5913,1.4466,0.4087,2026-07-29 22:00:00
0.5941,1.4639,0.4059,2026-07-29 23:00:00
0.5943,1.4650,0.4057,2026-07-30 00:00:00
0.5960,1.4750,0.4040,2026-07-30 01:00:00
0.5962,1.4765,0.4038,2026-07-30 02:00:00
0.6025,1.5158,0.3975,2026-07-30 03:00:00
0.6082,1.5523,0.3918,2026-07-30 04:00:00
0.6099,1.5632,0.3901,2026-07-30 05:00:00
0.6099,1.5634,0.3901,2026-07-30 06:00:00
0.6094,1.5603,0.3906,2026-07-30 07:00:00
0.6083,1.5530,0.3917,2026-07-30 08:00:00
0.6080,1.5513,0.3920,2026-07-30 09:00:00
0.6111,1.5715,0.3889,2026-07-30 10:00:00
0.6128,1.5830,0.3872,2026-07-30 11:00:00
0.6142,1.5917,0.3858,2026-07-30 12:00:00
0.6141,1.5914,0.3859,2026-07-30 13:00:00
0.6161,1.6046,0.3839,2026-07-30 14:00:00
0.6198,1.6304,0.3802,2026-07-30 15:00:00
0.6228,1.6511,0.3772,2026-07-30 16:00:00
0.6226,1.6495,0.3774,2026-07-30 17:00:00
0.6240,1.6598,0.3760,2026-07-30 18:00:00
0.6260,1.6741,0.3740,2026-07-30 19:00:00
0.6262,1.6751,0.3738,2026-07-30 20:00:00
0.6245,1.6632,0.3755,2026-07-30 21:00:00
0.6261,1.6743,0.3739,2026-07-30 22:00:00
0.6266,1.6779,0.3734,2026-07-30 23:00:00
0.6275,1.6843,0.3725,2026-07-31 00:00:00
0.6294,1.6981,0.3706,2026-07-31 01:00:00
0.6293,1.6979,0.3707,2026-07-31 02:00:00
0.6221,1.6461,0.3779,2026-07-31 03:00:00
0.6263,1.6758,0.3737,2026-07-31 04:00:00
0.6271,1.6818,0.3729,2026-07-31 05:00:00
0.6286,1.6924,0.3714,2026-07-31 06:00:00
0.6289,1.6949,0.3711,2026-07-31 07:00:00
0.6266,1.6781,0.3734,2026-07-31 08:00:00
0.6242,1.6611,0.3758,2026-07-31 09:00:00
0.6238,1.6580,0.3762,2026-07-31 10:00:00
0.6247,1.6643,0.3753,2026-07-31 11:00:00
0.6255,1.6703,0.3745,2026-07-31 12:00:00
0.6268,1.6798,0.3732,2026-07-31 13:00:00
0.6262,1.6751,0.3738,2026-07-31 14:00:00
0.6259,1.6734,0.3741,2026-07-31 15:00:00
0.6262,1.6750,0.3738,2026-07-31 16:00:00
0.6263,1.6756,0.3737,2026-07-31 17:00:00
0.6275,1.6849,0.3725,2026-07-31 18:00:00
0.6289,1.6944,0.3711,2026-07-31 19:00:00
0.6302,1.7039,0.3698,2026-07-31 20:00:00
0.6297,1.7006,0.3703,2026-07-31 21:00:00
0.6305,1.7066,0.3695,2026-07-31 22:00:00
0.6317,1.7155,0.3683,2026-07-31 23:00:00
0.6302,1.7044,0.3698,2026-08-01 00:00:00
0.6298,1.7010,0.3702,2026-08-01 01:00:00
0.6361,1.7482,0.3639,2026-08-01 02:00:00
0.6370,1.7551,0.3630,2026-08-01 03:00:00
0.6370,1.7546,0.3630,2026-08-01 04:00:00
0.6378,1.7607,0.3622,2026-08-01 05:00:00
0.6390,1.7704,0.3610,2026-08-01 06:00:00
0.6379,1.7618,0.3621,2026-08-01 07:00:00
0.6362,1.7490,0.3638,2026-08-01 08:00:00
0.6368,1.7534,0.3632,2026-08-01 09:00:00
0.6372,1.7561,0.3628,2026-08-01 10:00:00
0.6386,1.7667,0.3614,2026-08-01 11:00:00
0.6382,1.7643,0.3618,2026-08-01 12:00:00
0.6395,1.7736,0.3605,2026-08-01 13:00:00
0.6388,1.7685,0.3612,2026-08-01 14:00:00
0.6385,1.7664,0.3615,2026-08-01 15:00:00
0.6411,1.7860,0.3589,2026-08-01 16:00:00
0.6365,1.7511,0.3635,2026-08-01 17:00:00
0.6332,1.7262,0.3668,2026-08-01 18:00:00
0.6331,1.7259,0.3669,2026-08-01 19:00:00
0.6313,1.7125,0.3687,2026-08-01 20:00:00
0.6310,1.7103,0.3690,2026-08-01 21:00:00
0.6324,1.7202,0.3676,2026-08-01 22:00:00
0.6322,1.7189,0.3678,2026-08-01 23:00:00
0.6326,1.7220,0.3674,2026-08-02 00:00:00
0.6317,1.7154,0.3683,2026-08-02 01:00:00
0.6381,1.7633,0.3619,2026-08-02 02:00:00
0.6405,1.7818,0.3595,2026-08-02 03:00:00
0.6415,1.7896,0.3585,2026-08-02 04:00:00
0.6398,1.7764,0.3602,2026-08-02 05:00:00
0.6383,1.7644,0.3617,2026-08-02 06:00:00
0.6380,1.7625,0.3620,2026-08-02 07:00:00
0.6379,1.7615,0.3621,2026-08-02 08:00:00
0.6365,1.7511,0.3635,2026-08-02 09:00:00
0.6348,1.7383,0.3652,2026-08-02 10:00:00
0.6353,1.7417,0.3647,2026-08-02 11:00:00
0.6367,1.7529,0.3633,2026-08-02 12:00:00
0.6366,1.7517,0.3634,2026-08-02 13:00:00
0.6386,1.7668,0.3614,2026-08-02 14:00:00
0.6406,1.7822,0.3594,2026-08-02 15:00:00
0.6387,1.7674,0.3613,2026-08-02 16:00:00
0.6403,1.7801,0.3597,2026-08-02 17:00:00
0.6416,1.7903,0.3584,2026-08-02 18:00:00
0.6411,1.7864,0.3589,2026-08-02 19:00:00
0.6433,1.8034,0.3567,2026-08-02 20:00:00
0.6436,1.8056,0.3564,2026-08-02 21:00:00
0.6434,1.8043,0.3566,2026-08-02 22:00:00
0.6422,1.7947,0.3578,2026-08-02 23:00:00
0.6412,1.7872,0.3588,2026-08-03 00:00:00
0.6365,1.7511,0.3635,2026-08-03 01:00:00
0.6323,1.7197,0.3677,2026-08-03 02:00:00
0.6346,1.7369,0.3654,2026-08-03 03:00:00
0.6341,1.7329,0.3659,2026-08-03 04:00:00
0.6385,1.7662,0.3615,2026-08-03 05:00:00
0.6363,1.7492,0.3637,2026-08-03 06:00:00
0.6368,1.7534,0.3632,2026-08-03 07:00:00
0.6362,1.7488,0.3638,2026-08-03 08:00:00
0.6354,1.7429,0.3646,2026-08-03 09:00:00
0.6362,1.7484,0.3638,2026-08-03 10:00:00
0.6365,1.7511,0.3635,2026-08-03 11:00:00
0.6369,1.7544,0.3631,2026-08-03 12:00:00
0.6350,1.7401,0.3650,2026-08-03 13:00:00
0.6353,1.7417,0.3647,2026-08-03 14:00:00
0.6349,1.7389,0.3651,2026-08-03 15:00:00
0.6376,1.7595,0.3624,2026-08-03 16:00:00
0.6368,1.7535,0.3632,2026-08-03 17:00:00
0.6370,1.7550,0.3630,2026-08-03 18:00:00
0.6336,1.7293,0.3664,2026-08-03 19:00:00
0.6337,1.7302,0.3663,2026-08-03 20:00:00
0.6286,1.6923,0.3714,2026-08-03 21:00:00
0.6276,1.6852,0.3724,2026-08-03 22:00:00
0.6293,1.6973,0.3707,2026-08-03 23:00:00
0.6247,1.6645,0.3753,2026-08-04 00:00:00
0.6228,1.6511,0.3772,2026-08-04 01:00:00
0.6264,1.6768,0.3736,2026-08-04 02:00:00
0.6283,1.6907,0.3717,2026-08-04 03:00:00
0.6294,1.6983,0.3706,2026-08-04 04:00:00
0.6289,1.6946,0.3711,2026-08-04 05:00:00
0.6280,1.6885,0.3720,2026-08-04 06:00:00
0.6278,1.6866,0.3722,2026-08-04 07:00:00
0.6267,1.6791,0.3733,2026-08-04 08:00:00
0.6261,1.6748,0.3739,2026-08-04 09:00:00
0.6259,1.6729,0.3741,2026-08-04 10:00:00
0.6241,1.6599,0.3759,2026-08-04 11:00:00
0.6234,1.6552,0.3766,2026-08-04 12:00:00
0.6216,1.6430,0.3784,2026-08-04 13:00:00
0.6275,1.6846,0.3725,2026-08-04 14:00:00
0.6271,1.6818,0.3729,2026-08-04 15:00:00
0.6260,1.6736,0.3740,2026-08-04 16:00:00
0.6284,1.6913,0.3716,2026-08-04 17:00:00
0.6291,1.6965,0.3709,2026-08-04 18:00:00
0.6305,1.7066,0.3695,2026-08-04 19:00:00
0.6279,1.6871,0.3721,2026-08-04 20:00:00
0.6288,1.6937,0.3712,2026-08-04 21:00:00
0.6291,1.6959,0.3709,2026-08-04 22:00:00
0.6309,1.7095,0.3691,2026-08-04 23:00:00
0.6310,1.7101,0.3690,2026-08-05 00:00:00
0.6298,1.7010,0.3702,2026-08-05 01:00:00
0.6289,1.6947,0.3711,2026-08-05 02:00:00
0.6289,1.6945,0.3711,2026-08-05 03:00:00
0.6308,1.7084,0.3692,2026-08-05 04:00:00
0.6306,1.7069,0.3694,2026-08-05 05:00:00
0.6299,1.7016,0.3701,2026-08-05 06:00:00
0.6301,1.7032,0.3699,2026-08-05 07:00:00
0.6281,1.6892,0.3719,2026-08-05 08:00:00
0.6312,1.7117,0.3688,2026-08-05 09:00:00
0.6317,1.7152,0.3683,2026-08-05 10:00:00
0.6289,1.6948,0.3711,2026-08-05 11:00:00
0.6197,1.6292,0.3803,2026-08-05 12:00:00
0.6180,1.6177,0.3820,2026-08-05 13:00:00
0.6193,1.6269,0.3807,2026-08-05 14:00:00
0.6201,1.6320,0.3799,2026-08-05 15:00:00
0.6149,1.5968,0.3851,2026-08-05 16:00:00
0.6132,1.5852,0.3868,2026-08-05 17:00:00
0.6221,1.6462,0.3779,2026-08-05 18:00:00
0.6174,1.6135,0.3826,2026-08-05 19:00:00
0.6167,1.6089,0.3833,2026-08-05 20:00:00
0.6184,1.6204,0.3816,2026-08-05 21:00:00
0.6117,1.5756,0.3883,2026-08-05 22:00:00
0.6155,1.6008,0.3845,2026-08-05 23:00:00
0.6211,1.6395,0.3789,2026-08-06 00:00:00
0.6260,1.6738,0.3740,2026-08-06 01:00:00
0.6264,1.6764,0.3736,2026-08-06 02:00:00
0.6329,1.7243,0.3671,2026-08-06 03:00:00
0.6304,1.7055,0.3696,2026-08-06 04:00:00
0.6305,1.7066,0.3695,2026-08-06 05:00:00
0.6311,1.7107,0.3689,2026-08-06 06:00:00
0.6303,1.7049,0.3697,2026-08-06 07:00:00
0.6275,1.6848,0.3725,2026-08-06 08:00:00
0.6312,1.7114,0.3688,2026-08-06 09:00:00
0.6290,1.6953,0.3710,2026-08-06 10:00:00
0.6264,1.6764,0.3736,2026-08-06 11:00:00
0.6255,1.6701,0.3745,2026-08-06 12:00:00
0.6244,1.6622,0.3756,2026-08-06 13:00:00
0.6222,1.6468,0.3778,2026-08-06 14:00:00
0.6209,1.6381,0.3791,2026-08-06 15:00:00
0.6215,1.6422,0.3785,2026-08-06 16:00:00
0.6212,1.6399,0.3788,2026-08-06 17:00:00
0.6245,1.6628,0.3755,2026-08-06 18:00:00
0.6244,1.6624,0.3756,2026-08-06 19:00:00
0.6241,1.6604,0.3759,2026-08-06 20:00:00
0.6245,1.6632,0.3755,2026-08-06 21:00:00
0.6258,1.6723,0.3742,2026-08-06 22:00:00
0.6271,1.6819,0.3729,2026-08-06 23:00:00
0.6271,1.6814,0.3729,2026-08-07 00:00:00
0.6228,1.6510,0.3772,2026-08-07 01:00:00
0.6207,1.6365,0.3793,2026-08-07 02:00:00
0.6202,1.6327,0.3798,2026-08-07 03:00:00
0.6169,1.6102,0.3831,2026-08-07 04:00:00
0.6146,1.5945,0.3854,2026-08-07 05:00:00
0.6175,1.6145,0.3825,2026-08-07 06:00:00
0.6177,1.6155,0.3823,2026-08-07 07:00:00
0.6215,1.6420,0.3785,2026-08-07 08:00:00
0.6262,1.6755,0.3738,2026-08-07 09:00:00
0.6254,1.6695,0.3746,2026-08-07 10:00:00
0.6237,1.6572,0.3763,2026-08-07 11:00:00
0.6266,1.6781,0.3734,2026-08-07 12:00:00
0.6249,1.6659,0.3751,2026-08-07 13:00:00
0.6193,1.6269,0.3807,2026-08-07 14:00:00
0.6194,1.6271,0.3806,2026-08-07 15:00:00
0.6198,1.6303,0.3802,2026-08-07 16:00:00
0.6216,1.6426,0.3784,2026-08-07 17:00:00
0.6200,1.6319,0.3800,2026-08-07 18:00:00
0.6243,1.6614,0.3757,2026-08-07 19:00:00
0.6239,1.6591,0.3761,2026-08-07 20:00:00
0.6242,1.6612,0.3758,2026-08-07 21:00:00
0.6251,1.6675,0.3749,2026-08-07 22:00:00
0.6267,1.6785,0.3733,2026-08-07 23:00:00
0.6263,1.6763,0.3737,2026-08-08 00:00:00
0.6283,1.6900,0.3717,2026-08-08 01:00:00
0.6280,1.6882,0.3720,2026-08-08 02:00:00
0.6257,1.6715,0.3743,2026-08-08 03:00:00
0.6250,1.6670,0.3750,2026-08-08 04:00:00
0.6247,1.6648,0.3753,2026-08-08 05:00:00
0.6224,1.6481,0.3776,2026-08-08 06:00:00
0.6249,1.6656,0.3751,2026-08-08 07:00:00
0.6245,1.6634,0.3755,2026-08-08 08:00:00
0.6241,1.6604,0.3759,2026-08-08 09:00:00
0.6238,1.6585,0.3762,2026-08-08 10:00:00
0.6206,1.6357,0.3794,2026-08-08 11:00:00
0.6216,1.6427,0.3784,2026-08-08 12:00:00
0.6219,1.6447,0.3781,2026-08-08 13:00:00
0.6190,1.6244,0.3810,2026-08-08 14:00:00
0.6206,1.6355,0.3794,2026-08-08 15:00:00
0.6204,1.6343,0.3796,2026-08-08 16:00:00
0.6219,1.6450,0.3781,2026-08-08 17:00:00
0.6176,1.6153,0.3824,2026-08-08 18:00:00
0.6190,1.6248,0.3810,2026-08-08 19:00:00
0.6171,1.6114,0.3829,2026-08-08 20:00:00
0.6191,1.6250,0.3809,2026-08-08 21:00:00
0.6197,1.6292,0.3803,2026-08-08 22:00:00
0.6207,1.6364,0.3793,2026-08-08 23:00:00
0.6126,1.5812,0.3874,2026-08-09 00:00:00
0.6161,1.6047,0.3839,2026-08-09 01:00:00
0.6189,1.6237,0.3811,2026-08-09 02:00:00
0.6186,1.6220,0.3814,2026-08-09 03:00:00
0.6231,1.6532,0.3769,2026-08-09 04:00:00
0.6236,1.6564,0.3764,2026-08-09 05:00:00
0.6233,1.6546,0.3767,2026-08-09 06:00:00
0.6215,1.6423,0.3785,2026-08-09 07:00:00
0.6227,1.6506,0.3773,2026-08-09 08:00:00
0.6229,1.6520,0.3771,2026-08-09 09:00:00
0.6230,1.6529,0.3770,2026-08-09 10:00:00
0.6214,1.6415,0.3786,2026-08-09 11:00:00
0.6210,1.6384,0.3790,2026-08-09 12:00:00
0.6196,1.6289,0.3804,2026-08-09 13:00:00
0.6201,1.6325,0.3799,2026-08-09 14:00:00
0.6195,1.6282,0.3805,2026-08-09 15:00:00
0.6188,1.6236,0.3812,2026-08-09 16:00:00
0.6168,1.6095,0.3832,2026-08-09 17:00:00
0.6162,1.6052,0.3838,2026-08-09 18:00:00
0.6170,1.6110,0.3830,2026-08-09 19:00:00
0.6178,1.6161,0.3822,2026-08-09 20:00:00
0.6185,1.6210,0.3815,2026-08-09 21:00:00
0.6192,1.6258,0.3808,2026-08-09 22:00:00
0.6197,1.6298,0.3803,2026-08-09 23:00:00
0.6221,1.6459,0.3779,2026-08-10 00:00:00
0.6228,1.6513,0.3772,2026-08-10 01:00:00
0.6222,1.6466,0.3778,2026-08-10 02:00:00
0.6220,1.6455,0.3780,2026-08-10 03:00:00
0.6237,1.6575,0.3763,2026-08-10 04:00:00
0.6233,1.6549,0.3767,2026-08-10 05:00:00
0.6238,1.6584,0.3762,2026-08-10 06:00:00
0.6233,1.6545,0.3767,2026-08-10 07:00:00
0.6271,1.6817,0.3729,2026-08-10 08:00:00
0.6236,1.6570,0.3764,2026-08-10 09:00:00
0.6220,1.6454,0.3780,2026-08-10 10:00:00
0.6200,1.6315,0.3800,2026-08-10 11:00:00
0.6248,1.6654,0.3752,2026-08-10 12:00:00
0.6200,1.6318,0.3800,2026-08-10 13:00:00
0.6213,1.6409,0.3787,2026-08-10 14:00:00
0.6222,1.6472,0.3778,2026-08-10 15:00:00
0.6247,1.6644,0.3753,2026-08-10 16:00:00
0.6246,1.6635,0.3754,2026-08-10 17:00:00
0.6258,1.6722,0.3742,2026-08-10 18:00:00
0.6267,1.6787,0.3733,2026-08-10 19:00:00
0.6278,1.6869,0.3722,2026-08-10 20:00:00
0.6286,1.6927,0.3714,2026-08-10 21:00:00
0.6296,1.6995,0.3704,2026-08-10 22:00:00
0.6296,1.7001,0.3704,2026-08-10 23:00:00
0.6273,1.6833,0.3727,2026-08-11 00:00:00
0.6269,1.6805,0.3731,2026-08-11 01:00:00
0.6268,1.6792,0.3732,2026-08-11 02:00:00
0.6235,1.6564,0.3765,2026-08-11 03:00:00
0.6251,1.6677,0.3749,2026-08-11 04:00:00
0.6253,1.6686,0.3747,2026-08-11 05:00:00
0.6239,1.6589,0.3761,2026-08-11 06:00:00
0.6245,1.6635,0.3755,2026-08-11 07:00:00
0.6249,1.6662,0.3751,2026-08-11 08:00:00
0.6251,1.6672,0.3749,2026-08-11 09:00:00
0.5969,1.4807,0.4031,2026-08-11 10:00:00
0.5533,1.2387,0.4467,2026-08-11 11:00:00
0.6041,1.5258,0.3959,2026-08-11 12:00:00
0.6072,1.5460,0.3928,2026-08-11 13:00:00
0.6053,1.5338,0.3947,2026-08-11 14:00:00
0.6156,1.6017,0.3844,2026-08-11 15:00:00
0.6027,1.5170,0.3973,2026-08-11 16:00:00
0.6080,1.5508,0.3920,2026-08-11 17:00:00
0.6092,1.5590,0.3908,2026-08-11 18:00:00
0.6045,1.5287,0.3955,2026-08-11 19:00:00
0.6045,1.5286,0.3955,2026-08-11 20:00:00
0.6066,1.5422,0.3934,2026-08-11 21:00:00
0.6087,1.5557,0.3913,2026-08-11 22:00:00
0.6086,1.5552,0.3914,2026-08-11 23:00:00
0.6076,1.5484,0.3924,2026-08-12 00:00:00
0.6099,1.5635,0.3901,2026-08-12 01:00:00
0.6066,1.5421,0.3934,2026-08-12 02:00:00
0.6062,1.5397,0.3938,2026-08-12 03:00:00
0.6073,1.5464,0.3927,2026-08-12 04:00:00
0.6146,1.5947,0.3854,2026-08-12 05:00:00
0.6090,1.5576,0.3910,2026-08-12 06:00:00
0.6125,1.5810,0.3875,2026-08-12 07:00:00
0.6160,1.6040,0.3840,2026-08-12 08:00:00
0.6171,1.6119,0.3829,2026-08-12 09:00:00
0.6205,1.6348,0.3795,2026-08-12 10:00:00
0.6208,1.6373,0.3792,2026-08-12 11:00:00
0.6150,1.5977,0.3850,2026-08-12 12:00:00
0.6109,1.5703,0.3891,2026-08-12 13:00:00
0.6058,1.5369,0.3942,2026-08-12 14:00:00
0.6015,1.5095,0.3985,2026-08-12 15:00:00
0.6022,1.5141,0.3978,2026-08-12 16:00:00
0.5994,1.4961,0.4006,2026-08-12 17:00:00
0.5928,1.4558,0.4072,2026-08-12 18:00:00
0.5926,1.4547,0.4074,2026-08-12 19:00:00
0.5949,1.4684,0.4051,2026-08-12 20:00:00
0.5937,1.4610,0.4063,2026-08-12 21:00:00
0.5917,1.4491,0.4083,2026-08-12 22:00:00
0.5953,1.4710,0.4047,2026-08-12 23:00:00
0.5896,1.4364,0.4104,2026-08-13 00:00:00
0.5925,1.4540,0.4075,2026-08-13 01:00:00
0.5874,1.4237,0.4126,2026-08-13 02:00:00
0.5878,1.4259,0.4122,2026-08-13 03:00:00
0.5867,1.4194,0.4133,2026-08-13 04:00:00
0.5868,1.4204,0.4132,2026-08-13 05:00:00
0.5846,1.4073,0.4154,2026-08-13 06:00:00
0.5847,1.4077,0.4153,2026-08-13 07:00:00
0.5830,1.3979,0.4170,2026-08-13 08:00:00
0.5843,1.4055,0.4157,2026-08-13 09:00:00
0.5819,1.3916,0.4181,2026-08-13 10:00:00
0.5784,1.3721,0.4216,2026-08-13 11:00:00
0.5744,1.3497,0.4256,2026-08-13 12:00:00
0.5770,1.3639,0.4230,2026-08-13 13:00:00
