longAccount,longShortRatio,shortAccount,time
0.3737,0.5967,0.6263,2026-07-28 20:00:00
0.3738,0.5969,0.6262,2026-07-28 21:00:00
0.3758,0.6021,0.6242,2026-07-28 22:00:00
0.3756,0.6015,0.6244,2026-07-28 23:00:00
0.3803,0.6137,0.6197,2026-07-29 00:00:00
0.3757,0.6018,0.6243,2026-07-29 01:00:00
0.3744,0.5985,0.6256,2026-07-29 02:00:00
0.3739,0.5972,0.6261,2026-07-29 03:00:00
0.3755,0.6013,0.6245,2026-07-29 04:00:00
0.3727,0.5941,0.6273,2026-07-29 05:00:00
0.3641,0.5726,0.6359,2026-07-29 06:00:00
0.3634,0.5708,0.6366,2026-07-29 07:00:00
0.3630,0.5699,0.6370,2026-07-29 08:00:00
0.3633,0.5706,0.6367,2026-07-29 09:00:00
0.3675,0.5810,0.6325,2026-07-29 10:00:00
0.3682,0.5828,0.6318,2026-07-29 11:00:00
0.3691,0.5850,0.6309,2026-07-29 12:00:00
0.3702,0.5878,0.6298,2026-07-29 13:00:00
0.3672,0.5803,0.6328,2026-07-29 14:00:00
0.3657,0.5765,0.6343,2026-07-29 15:00:00
0.3679,0.5820,0.6321,2026-07-29 16:00:00
0.3697,0.5865,0.6303,2026-07-29 17:00:00
0.3662,0.5778,0.6338,2026-07-29 18:00:00
0.3680,0.5823,0.6320,2026-07-29 19:00:00
0.3714,0.5908,0.6286,2026-07-29 20:00:00
0.3735,0.5962,0.6265,2026-07-29 21:00:00
0.3726,0.5939,0.6274,2026-07-29 22:00:00
0.3738,0.5969,0.6262,2026-07-29 23:00:00
0.3738,0.5969,0.6262,2026-07-30 00:00:00
0.3785,0.6090,0.6215,2026-07-30 01:00:00
0.3826,0.6197,0.6174,2026-07-30 02:00:00
0.3834,0.6218,0.6166,2026-07-30 03:00:00
0.3851,0.6263,0.6149,2026-07-30 04:00:00
0.3856,0.6276,0.6144,2026-07-30 05:00:00
0.3933,0.6483,0.6067,2026-07-30 06:00:00
0.3930,0.6474,0.6070,2026-07-30 07:00:00
0.3996,0.6656,0.6004,2026-07-30 08:00:00
0.4021,0.6725,0.5979,2026-07-30 09:00:00
0.4009,0.6692,0.5991,2026-07-30 10:00:00
0.4028,0.6745,0.5972,2026-07-30 11:00:00
0.4032,0.6756,0.5968,2026-07-30 12:00:00
