sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
2076840839.00000000,114247014.55339000,31774773644.00000000,2026-07-28 20:00:00
2076328076.00000000,114218807.46076000,31774773644.00000000,2026-07-28 21:00:00
2074893700.00000000,114091557.41379000,31774773644.00000000,2026-07-28 22:00:00
2075249872.00000000,113889712.97536000,31774773644.00000000,2026-07-28 23:00:00
2075303457.00000000,113482345.47367653,31774773644.00000000,2026-07-29 00:00:00
2074445338.00000000,113728893.34363088,31774773644.00000000,2026-07-29 01:00:00
2075784813.00000000,112999580.89667352,31774773644.00000000,2026-07-29 02:00:00
2077431254.00000000,113292941.95432794,31774779452.00000000,2026-07-29 03:00:00
2080387375.00000000,112177233.37133500,31774779452.00000000,2026-07-29 04:00:00
2082196924.00000000,112529417.68188640,31774779452.00000000,2026-07-29 05:00:00
2084659387.00000000,113477016.16296184,31774779452.00000000,2026-07-29 06:00:00
2085131522.00000000,113869032.41642000,31774779452.00000000,2026-07-29 07:00:00
2086074675.00000000,114680348.98062526,31774779452.00000000,2026-07-29 08:00:00
2087232906.00000000,114897746.54153928,31774779452.00000000,2026-07-29 09:00:00
2087767355.00000000,114747514.44505966,31774779452.00000000,2026-07-29 10:00:00
2087783771.00000000,114765473.89187000,31774779452.00000000,2026-07-29 11:00:00
2089088885.00000000,114878997.78615000,31774779452.00000000,2026-07-29 12:00:00
2089868766.00000000,114902865.63656940,31774779452.00000000,2026-07-29 13:00:00
2090650557.00000000,114965689.48314723,31774779452.00000000,2026-07-29 14:00:00
2093732632.00000000,116007088.00667655,31774779452.00000000,2026-07-29 15:00:00
2094097368.00000000,116159581.00296000,31774779452.00000000,2026-07-29 16:00:00
2093461067.00000000,114679797.25026000,31774779452.00000000,2026-07-29 17:00:00
2090689706.00000000,115734351.86883612,31774779452.00000000,2026-07-29 18:00:00
2090736434.00000000,116441642.21411072,31774779452.00000000,2026-07-29 19:00:00
2089971123.00000000,115935902.22090627,31774779452.00000000,2026-07-29 20:00:00
2090106340.00000000,115361099.41826260,31774779452.00000000,2026-07-29 21:00:00
2088158475.00000000,116488651.38334125,31774779452.00000000,2026-07-29 22:00:00
