buySellRatio,sellVol,buyVol,time
0.8239,86226.9420,71046.2560,2026-07-28 19:00:00
0.7386,84100.0210,62117.2270,2026-07-28 20:00:00
0.9938,30286.0310,30099.7470,2026-07-28 21:00:00
0.8592,218041.6120,187332.6000,2026-07-28 22:00:00
0.9876,239895.3650,236909.8340,2026-07-28 23:00:00
0.8927,210763.1940,188140.9510,2026-07-29 00:00:00
0.9603,419774.8610,403109.1610,2026-07-29 01:00:00
1.1063,361289.7240,399680.8820,2026-07-29 02:00:00
0.8426,175046.7590,147502.0370,2026-07-29 03:00:00
1.2377,152685.0600,188977.1870,2026-07-29 04:00:00
1.1111,250031.7190,277811.8050,2026-07-29 05:00:00
1.0328,217607.4550,224749.9820,2026-07-29 06:00:00
0.5767,202185.1960,116604.0470,2026-07-29 07:00:00
0.9834,234922.5900,231032.9700,2026-07-29 08:00:00
1.0401,103011.9670,107140.7190,2026-07-29 09:00:00
0.8319,251850.6330,209513.6530,2026-07-29 10:00:00
1.0809,213785.6020,231090.1590,2026-07-29 11:00:00
0.8565,509432.4610,436315.7390,2026-07-29 12:00:00
0.8464,535299.9960,453090.0890,2026-07-29 13:00:00
0.8675,450731.6070,391008.9970,2026-07-29 14:00:00
1.1895,166433.0300,197973.6840,2026-07-29 15:00:00
1.1638,346594.1360,403375.2200,2026-07-29 16:00:00
1.0545,461248.9860,486377.0470,2026-07-29 17:00:00
1.0152,1841867.7680,1869779.8010,2026-07-29 18:00:00
0.7353,1133919.2250,833760.6790,2026-07-29 19:00:00
1.3073,324257.6330,423896.1200,2026-07-29 20:00:00
0.6238,52108.0720,32505.2090,2026-07-29 21:00:00
1.2299,353581.0730,434869.7060,2026-07-29 22:00:00
0.9176,208168.2790,191012.0130,2026-07-29 23:00:00
1.0330,337305.2210,348445.8080,2026-07-30 00:00:00
0.9363,374753.6590,350890.1750,2026-07-30 01:00:00
1.0515,289800.3350,304716.9290,2026-07-30 02:00:00
1.0813,192006.5570,207619.6500,2026-07-30 03:00:00
0.9979,148737.0420,148429.7680,2026-07-30 04:00:00
1.0608,368755.9520,391177.9300,2026-07-30 05:00:00
1.1046,206772.8220,228405.1600,2026-07-30 06:00:00
1.0695,288110.6750,308138.9330,2026-07-30 07:00:00
1.0925,431185.3460,471061.8760,2026-07-30 08:00:00
0.9485,238474.4260,226184.6360,2026-07-30 09:00:00
0.7939,323689.0910,256961.2320,2026-07-30 10:00:00
0.8147,180992.7330,147448.2150,2026-07-30 11:00:00
1.0584,412052.3250,436115.1810,2026-07-30 12:00:00
