buySellRatio,sellVol,buyVol,time
1.2107,111.2110,134.6450,2026-07-28 19:00:00
0.9472,84.4160,79.9630,2026-07-28 20:00:00
0.7484,34.0480,25.4830,2026-07-28 21:00:00
0.7172,389.7830,279.5390,2026-07-28 22:00:00
1.6402,104.1600,170.8450,2026-07-28 23:00:00
0.9734,374.1030,364.1490,2026-07-29 00:00:00
0.9269,366.5130,339.7370,2026-07-29 01:00:00
1.9749,74.0950,146.3310,2026-07-29 02:00:00
1.3052,60.1550,78.5130,2026-07-29 03:00:00
1.2418,136.7120,169.7650,2026-07-29 04:00:00
0.9588,273.9450,262.6550,2026-07-29 05:00:00
1.0823,76.9170,83.2490,2026-07-29 06:00:00
0.9126,177.1670,161.6760,2026-07-29 07:00:00
0.4867,126.9130,61.7680,2026-07-29 08:00:00
0.6136,83.5280,51.2560,2026-07-29 09:00:00
0.8052,132.9280,107.0320,2026-07-29 10:00:00
1.0554,81.1050,85.6020,2026-07-29 11:00:00
0.6789,332.9070,226.0110,2026-07-29 12:00:00
0.5429,431.8840,234.4810,2026-07-29 13:00:00
1.0794,413.5590,446.3810,2026-07-29 14:00:00
1.4209,184.2590,261.8090,2026-07-29 15:00:00
0.9286,167.6170,155.6500,2026-07-29 16:00:00
0.7696,408.9380,314.7050,2026-07-29 17:00:00
0.9794,1992.8530,1951.7230,2026-07-29 18:00:00
0.7804,820.2610,640.1040,2026-07-29 19:00:00
1.2829,215.6800,276.7030,2026-07-29 20:00:00
0.9494,76.3820,72.5140,2026-07-29 21:00:00
1.1602,216.6160,251.3100,2026-07-29 22:00:00
1.6389,187.8580,307.8870,2026-07-29 23:00:00
0.4662,293.2180,136.6840,2026-07-30 00:00:00
1.1241,182.8910,205.5790,2026-07-30 01:00:00
0.8213,96.5760,79.3140,2026-07-30 02:00:00
0.7229,159.6560,115.4230,2026-07-30 03:00:00
1.1903,88.1750,104.9520,2026-07-30 04:00:00
0.8179,250.3840,204.7910,2026-07-30 05:00:00
1.1693,150.4610,175.9410,2026-07-30 06:00:00
1.5498,187.3790,290.4030,2026-07-30 07:00:00
0.7539,260.4330,196.3490,2026-07-30 08:00:00
0.6437,149.8190,96.4380,2026-07-30 09:00:00
0.9003,191.6210,172.5170,2026-07-30 10:00:00
0.4905,157.8090,77.4000,2026-07-30 11:00:00
0.9160,231.7760,212.3090,2026-07-30 12:00:00
1.1671,429.0460,500.7610,2026-07-30 13:00:00
1.0836,352.9090,382.4270,2026-07-30 14:00:00
1.3248,188.5820,249.8330,2026-07-30 15:00:00
1.3628,176.4680,240.4910,2026-07-30 16:00:00
0.4622,457.5020,211.4640,2026-07-30 17:00:00
0.6675,148.2030,98.9260,2026-07-30 18:00:00
0.6189,201.7650,124.8700,2026-07-30 19:00:00
0.4959,153.5860,76.1600,2026-07-30 20:00:00
1.6080,30.5980,49.2010,2026-07-30 21:00:00
1.7519,38.4740,67.4040,2026-07-30 22:00:00
0.9090,69.7740,63.4260,2026-07-30 23:00:00
0.6913,141.6490,97.9260,2026-07-31 00:00:00
0.8843,85.0690,75.2230,2026-07-31 01:00:00
0.4530,181.8500,82.3800,2026-07-31 02:00:00
0.9536,73.3620,69.9550,2026-07-31 03:00:00
1.2504,58.0950,72.6420,2026-07-31 04:00:00
1.6642,52.9170,88.0640,2026-07-31 05:00:00
1.1105,85.7740,95.2550,2026-07-31 06:00:00
0.9989,345.3990,345.0080,2026-07-31 07:00:00
1.1041,176.8650,195.2770,2026-07-31 08:00:00
0.9391,120.3030,112.9740,2026-07-31 09:00:00
1.3676,103.9560,142.1730,2026-07-31 10:00:00
1.0173,90.1800,91.7400,2026-07-31 11:00:00
0.8166,285.0850,232.7990,2026-07-31 12:00:00
0.9931,576.9850,573.0140,2026-07-31 13:00:00
1.0666,404.0920,430.9860,2026-07-31 14:00:00
1.1600,213.2830,247.4130,2026-07-31 15:00:00
1.2898,142.1320,183.3220,2026-07-31 16:00:00
0.6444,212.0050,136.6190,2026-07-31 17:00:00
0.8712,36.3360,31.6570,2026-07-31 18:00:00
1.6304,44.9880,73.3500,2026-07-31 19:00:00
1.1100,80.8130,89.7040,2026-07-31 20:00:00
0.9246,34.4510,31.8530,2026-07-31 21:00:00
2.8545,6.9820,19.9300,2026-07-31 22:00:00
0.0989,46.5540,4.6060,2026-07-31 23:00:00
0.3463,60.3570,20.9040,2026-08-01 00:00:00
1.2181,10.5510,12.8520,2026-08-01 01:00:00
1.4375,21.7300,31.2360,2026-08-01 02:00:00
0.6017,29.9720,18.0330,2026-08-01 03:00:00
0.7434,16.1810,12.0290,2026-08-01 04:00:00
1.4770,10.1680,15.0180,2026-08-01 05:00:00
0.6727,15.2030,10.2270,2026-08-01 06:00:00
1.6294,10.5340,17.1640,2026-08-01 07:00:00
0.2761,51.9610,14.3460,2026-08-01 08:00:00
1.4239,5.9750,8.5080,2026-08-01 09:00:00
0.1482,65.6410,9.7300,2026-08-01 10:00:00
2.5341,12.0850,30.6240,2026-08-01 11:00:00
0.3490,34.6060,12.0770,2026-08-01 12:00:00
1.2722,6.0480,7.6940,2026-08-01 13:00:00
1.6470,10.4500,17.2110,2026-08-01 14:00:00
0.9041,26.0140,23.5180,2026-08-01 15:00:00
