longAccount,longShortRatio,shortAccount,time
0.8052,4.1335,0.1948,2026-07-28 20:00:00
0.8068,4.1760,0.1932,2026-07-28 21:00:00
0.8083,4.2165,0.1917,2026-07-28 22:00:00
0.8085,4.2219,0.1915,2026-07-28 23:00:00
0.8114,4.3022,0.1886,2026-07-29 00:00:00
0.8127,4.3390,0.1873,2026-07-29 01:00:00
0.8080,4.2083,0.1920,2026-07-29 02:00:00
0.8080,4.2083,0.1920,2026-07-29 03:00:00
0.8033,4.0839,0.1967,2026-07-29 04:00:00
0.8072,4.1867,0.1928,2026-07-29 05:00:00
0.8050,4.1282,0.1950,2026-07-29 06:00:00
0.8028,4.0710,0.1972,2026-07-29 07:00:00
0.7936,3.8450,0.2064,2026-07-29 08:00:00
0.7926,3.8216,0.2074,2026-07-29 09:00:00
0.7953,3.8852,0.2047,2026-07-29 10:00:00
0.7982,3.9554,0.2018,2026-07-29 11:00:00
0.8011,4.0277,0.1989,2026-07-29 12:00:00
0.8108,4.2854,0.1892,2026-07-29 13:00:00
0.8109,4.2882,0.1891,2026-07-29 14:00:00
0.8118,4.3135,0.1882,2026-07-29 15:00:00
0.8124,4.3305,0.1876,2026-07-29 16:00:00
0.8133,4.3562,0.1867,2026-07-29 17:00:00
0.7858,3.6685,0.2142,2026-07-29 18:00:00
0.7606,3.1771,0.2394,2026-07-29 19:00:00
0.7615,3.1929,0.2385,2026-07-29 20:00:00
0.7701,3.3497,0.2299,2026-07-29 21:00:00
0.7683,3.3159,0.2317,2026-07-29 22:00:00
0.7659,3.2717,0.2341,2026-07-29 23:00:00
0.7461,2.9386,0.2539,2026-07-30 00:00:00
0.7458,2.9339,0.2542,2026-07-30 01:00:00
0.7393,2.8358,0.2607,2026-07-30 02:00:00
0.7394,2.8373,0.2606,2026-07-30 03:00:00
0.7526,3.0420,0.2474,2026-07-30 04:00:00
0.7523,3.0371,0.2477,2026-07-30 05:00:00
0.7698,3.3440,0.2302,2026-07-30 06:00:00
0.7744,3.4326,0.2256,2026-07-30 07:00:00
0.7752,3.4484,0.2248,2026-07-30 08:00:00
0.7574,3.1220,0.2426,2026-07-30 09:00:00
0.7507,3.0112,0.2493,2026-07-30 10:00:00
0.7421,2.8775,0.2579,2026-07-30 11:00:00
0.7311,2.7189,0.2689,2026-07-30 12:00:00
0.7214,2.5894,0.2786,2026-07-30 13:00:00
0.7139,2.4953,0.2861,2026-07-30 14:00:00
0.6955,2.2841,0.3045,2026-07-30 15:00:00
0.6922,2.2489,0.3078,2026-07-30 16:00:00
0.6712,2.0414,0.3288,2026-07-30 17:00:00
0.6735,2.0628,0.3265,2026-07-30 18:00:00
0.6691,2.0221,0.3309,2026-07-30 19:00:00
0.6653,1.9878,0.3347,2026-07-30 20:00:00
0.6688,2.0193,0.3312,2026-07-30 21:00:00
0.6694,2.0248,0.3306,2026-07-30 22:00:00
0.6691,2.0221,0.3309,2026-07-30 23:00:00
0.6696,2.0266,0.3304,2026-07-31 00:00:00
0.6660,1.9940,0.3340,2026-07-31 01:00:00
0.6741,2.0684,0.3259,2026-07-31 02:00:00
0.6825,2.1496,0.3175,2026-07-31 03:00:00
0.6970,2.3003,0.3030,2026-07-31 04:00:00
0.7047,2.3864,0.2953,2026-07-31 05:00:00
0.7092,2.4388,0.2908,2026-07-31 06:00:00
0.7131,2.4855,0.2869,2026-07-31 07:00:00
0.7141,2.4977,0.2859,2026-07-31 08:00:00
0.7301,2.7051,0.2699,2026-07-31 09:00:00
0.7381,2.8183,0.2619,2026-07-31 10:00:00
0.7463,2.9417,0.2537,2026-07-31 11:00:00
0.7557,3.0933,0.2443,2026-07-31 12:00:00
0.7616,3.1946,0.2384,2026-07-31 13:00:00
0.7938,3.8497,0.2062,2026-07-31 14:00:00
0.8003,4.0075,0.1997,2026-07-31 15:00:00
0.7969,3.9237,0.2031,2026-07-31 16:00:00
0.7989,3.9727,0.2011,2026-07-31 17:00:00
0.7996,3.9900,0.2004,2026-07-31 18:00:00
0.7992,3.9801,0.2008,2026-07-31 19:00:00
0.7993,3.9826,0.2007,2026-07-31 20:00:00
0.7980,3.9505,0.2020,2026-07-31 21:00:00
0.7990,3.9751,0.2010,2026-07-31 22:00:00
0.7994,3.9850,0.2006,2026-07-31 23:00:00
0.7991,3.9776,0.2009,2026-08-01 00:00:00
0.7996,3.9900,0.2004,2026-08-01 01:00:00
0.7996,3.9900,0.2004,2026-08-01 02:00:00
0.7997,3.9925,0.2003,2026-08-01 03:00:00
0.8013,4.0327,0.1987,2026-08-01 04:00:00
0.8000,4.0000,0.2000,2026-08-01 05:00:00
0.8004,4.0100,0.1996,2026-08-01 06:00:00
0.8005,4.0125,0.1995,2026-08-01 07:00:00
0.8006,4.0150,0.1994,2026-08-01 08:00:00
0.8004,4.0100,0.1996,2026-08-01 09:00:00
0.8004,4.0100,0.1996,2026-08-01 10:00:00
0.8008,4.0201,0.1992,2026-08-01 11:00:00
0.8005,4.0125,0.1995,2026-08-01 12:00:00
0.8011,4.0277,0.1989,2026-08-01 13:00:00
0.8012,4.0302,0.1988,2026-08-01 14:00:00
0.8015,4.0378,0.1985,2026-08-01 15:00:00
0.8018,4.0454,0.1982,2026-08-01 16:00:00
0.8017,4.0429,0.1983,2026-08-01 17:00:00
0.8021,4.0531,0.1979,2026-08-01 18:00:00
0.8022,4.0556,0.1978,2026-08-01 19:00:00
0.7977,3.9432,0.2023,2026-08-01 20:00:00
0.7969,3.9237,0.2031,2026-08-01 21:00:00
0.7974,3.9358,0.2026,2026-08-01 22:00:00
0.7973,3.9334,0.2027,2026-08-01 23:00:00
0.7970,3.9261,0.2030,2026-08-02 00:00:00
0.7977,3.9432,0.2023,2026-08-02 01:00:00
0.7995,3.9875,0.2005,2026-08-02 02:00:00
0.8015,4.0378,0.1985,2026-08-02 03:00:00
0.8019,4.0480,0.1981,2026-08-02 04:00:00
0.8003,4.0075,0.1997,2026-08-02 05:00:00
0.7981,3.9529,0.2019,2026-08-02 06:00:00
0.7978,3.9456,0.2022,2026-08-02 07:00:00
0.7956,3.8924,0.2044,2026-08-02 08:00:00
0.7946,3.8685,0.2054,2026-08-02 09:00:00
0.7951,3.8804,0.2049,2026-08-02 10:00:00
0.7952,3.8828,0.2048,2026-08-02 11:00:00
0.7943,3.8614,0.2057,2026-08-02 12:00:00
0.7977,3.9432,0.2023,2026-08-02 13:00:00
0.7986,3.9652,0.2014,2026-08-02 14:00:00
0.7986,3.9652,0.2014,2026-08-02 15:00:00
0.8000,4.0000,0.2000,2026-08-02 16:00:00
0.8002,4.0050,0.1998,2026-08-02 17:00:00
0.7996,3.9900,0.2004,2026-08-02 18:00:00
0.8004,4.0100,0.1996,2026-08-02 19:00:00
0.8001,4.0025,0.1999,2026-08-02 20:00:00
0.7994,3.9850,0.2006,2026-08-02 21:00:00
0.7986,3.9652,0.2014,2026-08-02 22:00:00
0.7935,3.8426,0.2065,2026-08-02 23:00:00
0.7900,3.7619,0.2100,2026-08-03 00:00:00
0.7860,3.6729,0.2140,2026-08-03 01:00:00
0.7888,3.7348,0.2112,2026-08-03 02:00:00
0.7880,3.7170,0.2120,2026-08-03 03:00:00
0.7827,3.6019,0.2173,2026-08-03 04:00:00
0.7801,3.5475,0.2199,2026-08-03 05:00:00
0.7786,3.5167,0.2214,2026-08-03 06:00:00
0.7739,3.4228,0.2261,2026-08-03 07:00:00
0.7750,3.4444,0.2250,2026-08-03 08:00:00
0.7732,3.4092,0.2268,2026-08-03 09:00:00
0.7773,3.4903,0.2227,2026-08-03 10:00:00
0.7752,3.4484,0.2248,2026-08-03 11:00:00
0.7774,3.4924,0.2226,2026-08-03 12:00:00
0.7834,3.6168,0.2166,2026-08-03 13:00:00
0.8034,4.0865,0.1966,2026-08-03 14:00:00
0.8113,4.2994,0.1887,2026-08-03 15:00:00
0.8129,4.3447,0.1871,2026-08-03 16:00:00
0.8125,4.3333,0.1875,2026-08-03 17:00:00
0.8119,4.3163,0.1881,2026-08-03 18:00:00
0.8128,4.3419,0.1872,2026-08-03 19:00:00
0.8089,4.2329,0.1911,2026-08-03 20:00:00
0.8059,4.1520,0.1941,2026-08-03 21:00:00
0.8038,4.0968,0.1962,2026-08-03 22:00:00
0.8013,4.0327,0.1987,2026-08-03 23:00:00
0.8006,4.0150,0.1994,2026-08-04 00:00:00
0.7993,3.9826,0.2007,2026-08-04 01:00:00
0.7943,3.8614,0.2057,2026-08-04 02:00:00
0.7898,3.7574,0.2102,2026-08-04 03:00:00
0.7853,3.6577,0.2147,2026-08-04 04:00:00
0.7781,3.5065,0.2219,2026-08-04 05:00:00
0.7749,3.4425,0.2251,2026-08-04 06:00:00
0.7740,3.4248,0.2260,2026-08-04 07:00:00
0.7701,3.3497,0.2299,2026-08-04 08:00:00
0.7708,3.3630,0.2292,2026-08-04 09:00:00
0.7826,3.5998,0.2174,2026-08-04 10:00:00
0.7850,3.6512,0.2150,2026-08-04 11:00:00
0.7723,3.3917,0.2277,2026-08-04 12:00:00
0.7606,3.1771,0.2394,2026-08-04 13:00:00
0.7474,2.9588,0.2526,2026-08-04 14:00:00
0.7394,2.8373,0.2606,2026-08-04 15:00:00
0.7355,2.7807,0.2645,2026-08-04 16:00:00
