buySellRatio,sellVol,buyVol,time
1.2926,2049.4220,2648.9990,2026-07-28 19:00:00
1.1621,1862.6160,2164.5000,2026-07-28 20:00:00
1.1083,703.3780,779.5720,2026-07-28 21:00:00
1.0612,5233.4100,5553.8130,2026-07-28 22:00:00
1.3127,4058.7360,5327.8780,2026-07-28 23:00:00
1.0324,14726.3370,15203.7730,2026-07-29 00:00:00
0.9706,19143.5410,18580.0090,2026-07-29 01:00:00
0.9667,12877.7420,12448.4990,2026-07-29 02:00:00
0.9474,9227.0240,8741.5060,2026-07-29 03:00:00
1.5446,3638.8960,5620.4590,2026-07-29 04:00:00
1.0931,4005.3040,4378.2280,2026-07-29 05:00:00
1.0593,4837.1550,5124.1260,2026-07-29 06:00:00
0.6178,5649.6490,3490.2860,2026-07-29 07:00:00
0.8087,5849.6910,4730.5130,2026-07-29 08:00:00
1.2412,4293.5950,5329.1000,2026-07-29 09:00:00
1.0395,4702.7790,4888.7370,2026-07-29 10:00:00
1.3885,4931.1770,6847.1560,2026-07-29 11:00:00
0.9501,18246.6050,17336.7810,2026-07-29 12:00:00
0.9516,17388.0580,16547.1890,2026-07-29 13:00:00
1.1788,15317.1840,18055.3820,2026-07-29 14:00:00
0.9496,8851.7740,8405.4680,2026-07-29 15:00:00
0.9095,14784.2390,13446.2600,2026-07-29 16:00:00
0.8313,17268.3800,14354.6540,2026-07-29 17:00:00
0.8393,60040.3420,50393.2240,2026-07-29 18:00:00
0.9242,31042.0740,28690.4740,2026-07-29 19:00:00
0.9065,12614.5220,11435.0540,2026-07-29 20:00:00
0.5790,1949.2380,1128.6310,2026-07-29 21:00:00
1.0389,12134.9610,12606.9810,2026-07-29 22:00:00
1.6444,14332.7620,23568.5470,2026-07-29 23:00:00
0.9296,6620.9410,6154.8510,2026-07-30 00:00:00
0.9937,8690.5670,8636.0470,2026-07-30 01:00:00
0.9263,4919.6430,4556.9370,2026-07-30 02:00:00
1.2065,6165.4260,7438.3180,2026-07-30 03:00:00
1.3607,5511.6200,7499.7910,2026-07-30 04:00:00
0.9726,13004.7470,12648.1860,2026-07-30 05:00:00
1.1087,6248.6180,6927.7980,2026-07-30 06:00:00
0.9095,8854.5330,8052.9590,2026-07-30 07:00:00
0.8342,13082.8170,10913.6800,2026-07-30 08:00:00
1.0235,6415.5990,6566.0890,2026-07-30 09:00:00
0.8789,8068.8990,7092.1570,2026-07-30 10:00:00
0.7384,5505.6680,4065.2220,2026-07-30 11:00:00
1.0599,13580.7060,14394.2860,2026-07-30 12:00:00
1.0355,27586.7320,28565.9390,2026-07-30 13:00:00
0.8716,29506.0720,25717.0680,2026-07-30 14:00:00
0.9631,8556.5320,8240.9020,2026-07-30 15:00:00
0.6380,10085.9730,6435.1410,2026-07-30 16:00:00
1.0547,5929.4670,6254.0100,2026-07-30 17:00:00
1.0494,2600.8780,2729.2390,2026-07-30 18:00:00
0.8775,3590.2320,3150.5130,2026-07-30 19:00:00
0.8642,5895.1760,5094.3620,2026-07-30 20:00:00
0.8012,1683.8890,1349.1810,2026-07-30 21:00:00
0.9130,3517.0310,3211.1930,2026-07-30 22:00:00
0.7388,3855.3380,2848.2990,2026-07-30 23:00:00
