longAccount,longShortRatio,shortAccount,time
0.5886,1.4307,0.4114,2026-07-28 20:00:00
0.5805,1.3838,0.4195,2026-07-28 21:00:00
0.5832,1.3992,0.4168,2026-07-28 22:00:00
0.5742,1.3485,0.4258,2026-07-28 23:00:00
0.5753,1.3546,0.4247,2026-07-29 00:00:00
0.5761,1.3590,0.4239,2026-07-29 01:00:00
0.5819,1.3918,0.4181,2026-07-29 02:00:00
0.5799,1.3804,0.4201,2026-07-29 03:00:00
0.5791,1.3759,0.4209,2026-07-29 04:00:00
0.5851,1.4102,0.4149,2026-07-29 05:00:00
0.5828,1.3969,0.4172,2026-07-29 06:00:00
0.5746,1.3507,0.4254,2026-07-29 07:00:00
0.5819,1.3918,0.4181,2026-07-29 08:00:00
0.5825,1.3952,0.4175,2026-07-29 09:00:00
0.5781,1.3702,0.4219,2026-07-29 10:00:00
0.5894,1.4355,0.4106,2026-07-29 11:00:00
0.5892,1.4343,0.4108,2026-07-29 12:00:00
0.5866,1.4190,0.4134,2026-07-29 13:00:00
0.5906,1.4426,0.4094,2026-07-29 14:00:00
0.5826,1.3958,0.4174,2026-07-29 15:00:00
0.5949,1.4685,0.4051,2026-07-29 16:00:00
0.5973,1.4832,0.4027,2026-07-29 17:00:00
0.5868,1.4201,0.4132,2026-07-29 18:00:00
0.5948,1.4679,0.4052,2026-07-29 19:00:00
0.5922,1.4522,0.4078,2026-07-29 20:00:00
0.5988,1.4925,0.4012,2026-07-29 21:00:00
0.5839,1.4033,0.4161,2026-07-29 22:00:00
0.5895,1.4361,0.4105,2026-07-29 23:00:00
0.5911,1.4456,0.4089,2026-07-30 00:00:00
0.5952,1.4704,0.4048,2026-07-30 01:00:00
0.5982,1.4888,0.4018,2026-07-30 02:00:00
0.5973,1.4832,0.4027,2026-07-30 03:00:00
0.5965,1.4783,0.4035,2026-07-30 04:00:00
0.5952,1.4704,0.4048,2026-07-30 05:00:00
0.5934,1.4594,0.4066,2026-07-30 06:00:00
0.5886,1.4307,0.4114,2026-07-30 07:00:00
0.5836,1.4015,0.4164,2026-07-30 08:00:00
0.5854,1.4120,0.4146,2026-07-30 09:00:00
0.6118,1.5760,0.3882,2026-07-30 10:00:00
0.6108,1.5694,0.3892,2026-07-30 11:00:00
0.6104,1.5667,0.3896,2026-07-30 12:00:00
0.6090,1.5575,0.3910,2026-07-30 13:00:00
0.5638,1.2925,0.4362,2026-07-30 14:00:00
0.5702,1.3267,0.4298,2026-07-30 15:00:00
0.5693,1.3218,0.4307,2026-07-30 16:00:00
0.6260,1.6738,0.3740,2026-07-30 17:00:00
0.6164,1.6069,0.3836,2026-07-30 18:00:00
0.6147,1.5954,0.3853,2026-07-30 19:00:00
0.5661,1.3047,0.4339,2026-07-30 20:00:00
0.5688,1.3191,0.4312,2026-07-30 21:00:00
0.5701,1.3261,0.4299,2026-07-30 22:00:00
0.5662,1.3052,0.4338,2026-07-30 23:00:00
0.5851,1.4102,0.4149,2026-07-31 00:00:00
0.6190,1.6247,0.3810,2026-07-31 01:00:00
0.6173,1.6130,0.3827,2026-07-31 02:00:00
0.6219,1.6448,0.3781,2026-07-31 03:00:00
