longAccount,longShortRatio,shortAccount,time
0.6112,1.5720,0.3888,2026-07-28 20:00:00
0.6023,1.5145,0.3977,2026-07-28 21:00:00
0.6044,1.5278,0.3956,2026-07-28 22:00:00
0.5968,1.4802,0.4032,2026-07-28 23:00:00
0.5967,1.4795,0.4033,2026-07-29 00:00:00
0.5962,1.4765,0.4038,2026-07-29 01:00:00
0.6017,1.5107,0.3983,2026-07-29 02:00:00
0.6057,1.5361,0.3943,2026-07-29 03:00:00
0.6012,1.5075,0.3988,2026-07-29 04:00:00
0.6061,1.5387,0.3939,2026-07-29 05:00:00
0.6009,1.5056,0.3991,2026-07-29 06:00:00
0.5955,1.4722,0.4045,2026-07-29 07:00:00
0.5999,1.4994,0.4001,2026-07-29 08:00:00
0.6021,1.5132,0.3979,2026-07-29 09:00:00
0.5963,1.4771,0.4037,2026-07-29 10:00:00
0.6062,1.5394,0.3938,2026-07-29 11:00:00
0.6071,1.5452,0.3929,2026-07-29 12:00:00
0.6039,1.5246,0.3961,2026-07-29 13:00:00
0.6026,1.5164,0.3974,2026-07-29 14:00:00
0.5963,1.4771,0.4037,2026-07-29 15:00:00
0.6091,1.5582,0.3909,2026-07-29 16:00:00
0.6096,1.5615,0.3904,2026-07-29 17:00:00
0.6035,1.5221,0.3965,2026-07-29 18:00:00
0.6082,1.5523,0.3918,2026-07-29 19:00:00
0.6056,1.5355,0.3944,2026-07-29 20:00:00
0.6114,1.5733,0.3886,2026-07-29 21:00:00
0.6048,1.5304,0.3952,2026-07-29 22:00:00
0.6087,1.5556,0.3913,2026-07-29 23:00:00
0.6095,1.5608,0.3905,2026-07-30 00:00:00
0.6121,1.5780,0.3879,2026-07-30 01:00:00
0.6144,1.5934,0.3856,2026-07-30 02:00:00
0.6124,1.5800,0.3876,2026-07-30 03:00:00
0.6113,1.5727,0.3887,2026-07-30 04:00:00
0.6102,1.5654,0.3898,2026-07-30 05:00:00
0.6100,1.5641,0.3900,2026-07-30 06:00:00
0.6012,1.5075,0.3988,2026-07-30 07:00:00
0.5971,1.4820,0.4029,2026-07-30 08:00:00
0.5979,1.4869,0.4021,2026-07-30 09:00:00
0.6190,1.6247,0.3810,2026-07-30 10:00:00
0.6212,1.6399,0.3788,2026-07-30 11:00:00
0.6167,1.6089,0.3833,2026-07-30 12:00:00
0.6191,1.6254,0.3809,2026-07-30 13:00:00
0.5804,1.3832,0.4196,2026-07-30 14:00:00
0.5906,1.4426,0.4094,2026-07-30 15:00:00
0.5897,1.4372,0.4103,2026-07-30 16:00:00
0.6329,1.7241,0.3671,2026-07-30 17:00:00
0.6248,1.6652,0.3752,2026-07-30 18:00:00
0.6192,1.6261,0.3808,2026-07-30 19:00:00
0.5767,1.3624,0.4233,2026-07-30 20:00:00
0.5753,1.3546,0.4247,2026-07-30 21:00:00
0.5755,1.3557,0.4245,2026-07-30 22:00:00
0.5740,1.3474,0.4260,2026-07-30 23:00:00
0.5914,1.4474,0.4086,2026-07-31 00:00:00
0.6180,1.6178,0.3820,2026-07-31 01:00:00
0.6248,1.6652,0.3752,2026-07-31 02:00:00
0.6281,1.6889,0.3719,2026-07-31 03:00:00
0.6302,1.7042,0.3698,2026-07-31 04:00:00
0.6312,1.7115,0.3688,2026-07-31 05:00:00
0.6322,1.7189,0.3678,2026-07-31 06:00:00
0.6329,1.7241,0.3671,2026-07-31 07:00:00
0.6362,1.7488,0.3638,2026-07-31 08:00:00
0.6259,1.6731,0.3741,2026-07-31 09:00:00
0.6236,1.6567,0.3764,2026-07-31 10:00:00
0.6260,1.6738,0.3740,2026-07-31 11:00:00
0.6295,1.6991,0.3705,2026-07-31 12:00:00
0.6261,1.6745,0.3739,2026-07-31 13:00:00
0.6248,1.6652,0.3752,2026-07-31 14:00:00
0.6233,1.6546,0.3767,2026-07-31 15:00:00
0.6214,1.6413,0.3786,2026-07-31 16:00:00
0.6106,1.5681,0.3894,2026-07-31 17:00:00
0.6383,1.7647,0.3617,2026-07-31 18:00:00
0.6441,1.8098,0.3559,2026-07-31 19:00:00
0.6387,1.7678,0.3613,2026-07-31 20:00:00
0.6299,1.7020,0.3701,2026-07-31 21:00:00
0.6284,1.6911,0.3716,2026-07-31 22:00:00
0.6251,1.6674,0.3749,2026-07-31 23:00:00
0.6264,1.6767,0.3736,2026-08-01 00:00:00
0.6256,1.6709,0.3744,2026-08-01 01:00:00
0.6150,1.5974,0.3850,2026-08-01 02:00:00
0.6175,1.6144,0.3825,2026-08-01 03:00:00
0.6137,1.5887,0.3863,2026-08-01 04:00:00
0.6020,1.5126,0.3980,2026-08-01 05:00:00
0.6007,1.5044,0.3993,2026-08-01 06:00:00
0.6016,1.5100,0.3984,2026-08-01 07:00:00
0.6077,1.5491,0.3923,2026-08-01 08:00:00
0.5973,1.4832,0.4027,2026-08-01 09:00:00
0.5994,1.4963,0.4006,2026-08-01 10:00:00
0.6036,1.5227,0.3964,2026-08-01 11:00:00
0.6011,1.5069,0.3989,2026-08-01 12:00:00
0.6048,1.5304,0.3952,2026-08-01 13:00:00
0.6099,1.5634,0.3901,2026-08-01 14:00:00
0.6176,1.6151,0.3824,2026-08-01 15:00:00
0.6176,1.6151,0.3824,2026-08-01 16:00:00
0.6138,1.5893,0.3862,2026-08-01 17:00:00
0.6111,1.5714,0.3889,2026-08-01 18:00:00
0.6080,1.5510,0.3920,2026-08-01 19:00:00
