longAccount,longShortRatio,shortAccount,time
0.7990,3.9760,0.2010,2026-07-28 20:00:00
0.7939,3.8514,0.2061,2026-07-28 21:00:00
0.7788,3.5215,0.2212,2026-07-28 22:00:00
0.7801,3.5476,0.2199,2026-07-28 23:00:00
0.7711,3.3684,0.2289,2026-07-29 00:00:00
0.7683,3.3155,0.2317,2026-07-29 01:00:00
0.7693,3.3342,0.2307,2026-07-29 02:00:00
0.7693,3.3344,0.2307,2026-07-29 03:00:00
0.7724,3.3946,0.2276,2026-07-29 04:00:00
0.7742,3.4280,0.2258,2026-07-29 05:00:00
0.7676,3.3022,0.2324,2026-07-29 06:00:00
0.7621,3.2040,0.2379,2026-07-29 07:00:00
0.7609,3.1828,0.2391,2026-07-29 08:00:00
0.7614,3.1909,0.2386,2026-07-29 09:00:00
0.7623,3.2073,0.2377,2026-07-29 10:00:00
0.7619,3.2004,0.2381,2026-07-29 11:00:00
0.7670,3.2912,0.2330,2026-07-29 12:00:00
0.7655,3.2636,0.2345,2026-07-29 13:00:00
0.7688,3.3252,0.2312,2026-07-29 14:00:00
0.7645,3.2469,0.2355,2026-07-29 15:00:00
0.7643,3.2433,0.2357,2026-07-29 16:00:00
0.7663,3.2797,0.2337,2026-07-29 17:00:00
0.7522,3.0352,0.2478,2026-07-29 18:00:00
0.7582,3.1358,0.2418,2026-07-29 19:00:00
0.7592,3.1523,0.2408,2026-07-29 20:00:00
0.7609,3.1820,0.2391,2026-07-29 21:00:00
0.7534,3.0553,0.2466,2026-07-29 22:00:00
0.7549,3.0803,0.2451,2026-07-29 23:00:00
0.7534,3.0557,0.2466,2026-07-30 00:00:00
0.7591,3.1511,0.2409,2026-07-30 01:00:00
0.7550,3.0813,0.2450,2026-07-30 02:00:00
0.7530,3.0483,0.2470,2026-07-30 03:00:00
0.7537,3.0608,0.2463,2026-07-30 04:00:00
0.7533,3.0540,0.2467,2026-07-30 05:00:00
0.7548,3.0782,0.2452,2026-07-30 06:00:00
0.7552,3.0853,0.2448,2026-07-30 07:00:00
0.7562,3.1023,0.2438,2026-07-30 08:00:00
0.7566,3.1085,0.2434,2026-07-30 09:00:00
0.7580,3.1314,0.2420,2026-07-30 10:00:00
0.7596,3.1598,0.2404,2026-07-30 11:00:00
0.7592,3.1523,0.2408,2026-07-30 12:00:00
0.7564,3.1046,0.2436,2026-07-30 13:00:00
0.7530,3.0481,0.2470,2026-07-30 14:00:00
0.7539,3.0642,0.2461,2026-07-30 15:00:00
0.7548,3.0784,0.2452,2026-07-30 16:00:00
0.7504,3.0062,0.2496,2026-07-30 17:00:00
0.7482,2.9717,0.2518,2026-07-30 18:00:00
0.7562,3.1019,0.2438,2026-07-30 19:00:00
0.7517,3.0275,0.2483,2026-07-30 20:00:00
0.7523,3.0363,0.2477,2026-07-30 21:00:00
0.7560,3.0977,0.2440,2026-07-30 22:00:00
0.7511,3.0182,0.2489,2026-07-30 23:00:00
0.7564,3.1045,0.2436,2026-07-31 00:00:00
0.7583,3.1367,0.2417,2026-07-31 01:00:00
0.7527,3.0438,0.2473,2026-07-31 02:00:00
0.7530,3.0489,0.2470,2026-07-31 03:00:00
0.7526,3.0419,0.2474,2026-07-31 04:00:00
0.7523,3.0374,0.2477,2026-07-31 05:00:00
0.7520,3.0321,0.2480,2026-07-31 06:00:00
0.7495,2.9922,0.2505,2026-07-31 07:00:00
0.7480,2.9675,0.2520,2026-07-31 08:00:00
0.7483,2.9722,0.2517,2026-07-31 09:00:00
0.7543,3.0693,0.2457,2026-07-31 10:00:00
