longAccount,longShortRatio,shortAccount,time
0.7373,2.8066,0.2627,2026-07-28 20:00:00
0.7352,2.7764,0.2648,2026-07-28 21:00:00
0.7332,2.7481,0.2668,2026-07-28 22:00:00
0.7315,2.7244,0.2685,2026-07-28 23:00:00
0.7321,2.7327,0.2679,2026-07-29 00:00:00
0.7308,2.7147,0.2692,2026-07-29 01:00:00
0.7273,2.6670,0.2727,2026-07-29 02:00:00
0.7256,2.6443,0.2744,2026-07-29 03:00:00
0.7247,2.6324,0.2753,2026-07-29 04:00:00
0.7189,2.5575,0.2811,2026-07-29 05:00:00
0.7146,2.5039,0.2854,2026-07-29 06:00:00
0.7131,2.4855,0.2869,2026-07-29 07:00:00
0.7123,2.4758,0.2877,2026-07-29 08:00:00
0.7117,2.4686,0.2883,2026-07-29 09:00:00
0.7123,2.4758,0.2877,2026-07-29 10:00:00
0.7098,2.4459,0.2902,2026-07-29 11:00:00
0.7092,2.4388,0.2908,2026-07-29 12:00:00
0.7119,2.4710,0.2881,2026-07-29 13:00:00
0.7137,2.4928,0.2863,2026-07-29 14:00:00
0.7212,2.5868,0.2788,2026-07-29 15:00:00
0.7200,2.5714,0.2800,2026-07-29 16:00:00
0.7213,2.5881,0.2787,2026-07-29 17:00:00
0.7237,2.6193,0.2763,2026-07-29 18:00:00
0.7160,2.5211,0.2840,2026-07-29 19:00:00
0.7169,2.5323,0.2831,2026-07-29 20:00:00
0.7232,2.6127,0.2768,2026-07-29 21:00:00
0.7236,2.6179,0.2764,2026-07-29 22:00:00
0.7249,2.6350,0.2751,2026-07-29 23:00:00
0.7212,2.5868,0.2788,2026-07-30 00:00:00
0.7241,2.6245,0.2759,2026-07-30 01:00:00
0.7251,2.6377,0.2749,2026-07-30 02:00:00
0.7189,2.5575,0.2811,2026-07-30 03:00:00
0.7181,2.5474,0.2819,2026-07-30 04:00:00
0.7174,2.5386,0.2826,2026-07-30 05:00:00
0.7264,2.6550,0.2736,2026-07-30 06:00:00
0.7257,2.6456,0.2743,2026-07-30 07:00:00
0.7253,2.6403,0.2747,2026-07-30 08:00:00
0.7245,2.6298,0.2755,2026-07-30 09:00:00
0.7253,2.6403,0.2747,2026-07-30 10:00:00
0.7253,2.6403,0.2747,2026-07-30 11:00:00
0.7216,2.5920,0.2784,2026-07-30 12:00:00
0.7205,2.5778,0.2795,2026-07-30 13:00:00
0.7215,2.5907,0.2785,2026-07-30 14:00:00
0.7111,2.4614,0.2889,2026-07-30 15:00:00
0.7084,2.4294,0.2916,2026-07-30 16:00:00
0.7069,2.4118,0.2931,2026-07-30 17:00:00
0.7071,2.4141,0.2929,2026-07-30 18:00:00
0.7078,2.4223,0.2922,2026-07-30 19:00:00
0.7062,2.4037,0.2938,2026-07-30 20:00:00
0.7072,2.4153,0.2928,2026-07-30 21:00:00
0.7076,2.4200,0.2924,2026-07-30 22:00:00
0.7068,2.4106,0.2932,2026-07-30 23:00:00
