longAccount,longShortRatio,shortAccount,time
0.4101,0.6952,0.5899,2026-07-28 20:00:00
0.4111,0.6981,0.5889,2026-07-28 21:00:00
0.4101,0.6952,0.5899,2026-07-28 22:00:00
0.4046,0.6795,0.5954,2026-07-28 23:00:00
0.4062,0.6841,0.5938,2026-07-29 00:00:00
0.4029,0.6748,0.5971,2026-07-29 01:00:00
0.4089,0.6918,0.5911,2026-07-29 02:00:00
0.3886,0.6356,0.6114,2026-07-29 03:00:00
0.3873,0.6321,0.6127,2026-07-29 04:00:00
0.3875,0.6327,0.6125,2026-07-29 05:00:00
0.3849,0.6258,0.6151,2026-07-29 06:00:00
0.3826,0.6197,0.6174,2026-07-29 07:00:00
0.3797,0.6121,0.6203,2026-07-29 08:00:00
0.3849,0.6258,0.6151,2026-07-29 09:00:00
0.3841,0.6236,0.6159,2026-07-29 10:00:00
0.3890,0.6367,0.6110,2026-07-29 11:00:00
0.3929,0.6472,0.6071,2026-07-29 12:00:00
0.3825,0.6194,0.6175,2026-07-29 13:00:00
0.3720,0.5924,0.6280,2026-07-29 14:00:00
0.3742,0.5980,0.6258,2026-07-29 15:00:00
0.3738,0.5969,0.6262,2026-07-29 16:00:00
0.3754,0.6010,0.6246,2026-07-29 17:00:00
0.3774,0.6062,0.6226,2026-07-29 18:00:00
0.3783,0.6085,0.6217,2026-07-29 19:00:00
0.3797,0.6121,0.6203,2026-07-29 20:00:00
0.3854,0.6271,0.6146,2026-07-29 21:00:00
0.3855,0.6273,0.6145,2026-07-29 22:00:00
0.3757,0.6018,0.6243,2026-07-29 23:00:00
0.3777,0.6069,0.6223,2026-07-30 00:00:00
0.3754,0.6010,0.6246,2026-07-30 01:00:00
0.3817,0.6173,0.6183,2026-07-30 02:00:00
0.3703,0.5881,0.6297,2026-07-30 03:00:00
0.3763,0.6033,0.6237,2026-07-30 04:00:00
0.3773,0.6059,0.6227,2026-07-30 05:00:00
0.3774,0.6062,0.6226,2026-07-30 06:00:00
0.3778,0.6072,0.6222,2026-07-30 07:00:00
0.3781,0.6080,0.6219,2026-07-30 08:00:00
0.3840,0.6234,0.6160,2026-07-30 09:00:00
0.3856,0.6276,0.6144,2026-07-30 10:00:00
0.3881,0.6343,0.6119,2026-07-30 11:00:00
0.3900,0.6393,0.6100,2026-07-30 12:00:00
0.3891,0.6369,0.6109,2026-07-30 13:00:00
0.3897,0.6385,0.6103,2026-07-30 14:00:00
0.3844,0.6244,0.6156,2026-07-30 15:00:00
0.3827,0.6200,0.6173,2026-07-30 16:00:00
0.3840,0.6234,0.6160,2026-07-30 17:00:00
0.3817,0.6173,0.6183,2026-07-30 18:00:00
0.3800,0.6129,0.6200,2026-07-30 19:00:00
0.3758,0.6021,0.6242,2026-07-30 20:00:00
0.3750,0.6000,0.6250,2026-07-30 21:00:00
0.3726,0.5939,0.6274,2026-07-30 22:00:00
0.3730,0.5949,0.6270,2026-07-30 23:00:00
0.3747,0.5992,0.6253,2026-07-31 00:00:00
0.3787,0.6095,0.6213,2026-07-31 01:00:00
0.3818,0.6176,0.6182,2026-07-31 02:00:00
0.3952,0.6534,0.6048,2026-07-31 03:00:00
0.3984,0.6622,0.6016,2026-07-31 04:00:00
0.4072,0.6869,0.5928,2026-07-31 05:00:00
0.4066,0.6852,0.5934,2026-07-31 06:00:00
0.4109,0.6975,0.5891,2026-07-31 07:00:00
0.4108,0.6972,0.5892,2026-07-31 08:00:00
0.4089,0.6918,0.5911,2026-07-31 09:00:00
0.4084,0.6903,0.5916,2026-07-31 10:00:00
0.4075,0.6878,0.5925,2026-07-31 11:00:00
0.4078,0.6886,0.5922,2026-07-31 12:00:00
0.4067,0.6855,0.5933,2026-07-31 13:00:00
0.4121,0.7010,0.5879,2026-07-31 14:00:00
0.4117,0.6998,0.5883,2026-07-31 15:00:00
0.4117,0.6998,0.5883,2026-07-31 16:00:00
0.4069,0.6861,0.5931,2026-07-31 17:00:00
0.4076,0.6880,0.5924,2026-07-31 18:00:00
0.4078,0.6886,0.5922,2026-07-31 19:00:00
0.4045,0.6793,0.5955,2026-07-31 20:00:00
0.4075,0.6878,0.5925,2026-07-31 21:00:00
0.4131,0.7039,0.5869,2026-07-31 22:00:00
0.4114,0.6989,0.5886,2026-07-31 23:00:00
0.4081,0.6895,0.5919,2026-08-01 00:00:00
0.4080,0.6892,0.5920,2026-08-01 01:00:00
0.4076,0.6880,0.5924,2026-08-01 02:00:00
0.4092,0.6926,0.5908,2026-08-01 03:00:00
0.4018,0.6717,0.5982,2026-08-01 04:00:00
0.3987,0.6631,0.6013,2026-08-01 05:00:00
0.3985,0.6625,0.6015,2026-08-01 06:00:00
0.3984,0.6622,0.6016,2026-08-01 07:00:00
0.3972,0.6589,0.6028,2026-08-01 08:00:00
0.4003,0.6675,0.5997,2026-08-01 09:00:00
0.3997,0.6658,0.6003,2026-08-01 10:00:00
0.3966,0.6573,0.6034,2026-08-01 11:00:00
0.3965,0.6570,0.6035,2026-08-01 12:00:00
0.3970,0.6584,0.6030,2026-08-01 13:00:00
0.3955,0.6543,0.6045,2026-08-01 14:00:00
0.3946,0.6518,0.6054,2026-08-01 15:00:00
0.3862,0.6292,0.6138,2026-08-01 16:00:00
0.3830,0.6207,0.6170,2026-08-01 17:00:00
