longAccount,longShortRatio,shortAccount,time
0.4857,0.9442,0.5143,2026-07-28 20:00:00
0.4850,0.9418,0.5150,2026-07-28 21:00:00
0.4847,0.9406,0.5153,2026-07-28 22:00:00
0.4838,0.9372,0.5162,2026-07-28 23:00:00
0.4831,0.9345,0.5169,2026-07-29 00:00:00
0.4853,0.9427,0.5147,2026-07-29 01:00:00
0.4866,0.9477,0.5134,2026-07-29 02:00:00
0.4882,0.9538,0.5118,2026-07-29 03:00:00
0.4864,0.9470,0.5136,2026-07-29 04:00:00
0.4844,0.9395,0.5156,2026-07-29 05:00:00
0.4820,0.9306,0.5180,2026-07-29 06:00:00
0.4844,0.9396,0.5156,2026-07-29 07:00:00
0.4893,0.9580,0.5107,2026-07-29 08:00:00
0.4904,0.9625,0.5096,2026-07-29 09:00:00
0.4931,0.9728,0.5069,2026-07-29 10:00:00
0.4936,0.9748,0.5064,2026-07-29 11:00:00
0.4946,0.9785,0.5054,2026-07-29 12:00:00
0.5034,1.0135,0.4966,2026-07-29 13:00:00
0.5053,1.0213,0.4947,2026-07-29 14:00:00
0.5042,1.0169,0.4958,2026-07-29 15:00:00
0.5043,1.0172,0.4957,2026-07-29 16:00:00
0.5041,1.0165,0.4959,2026-07-29 17:00:00
0.5016,1.0062,0.4984,2026-07-29 18:00:00
0.5018,1.0071,0.4982,2026-07-29 19:00:00
0.5031,1.0126,0.4969,2026-07-29 20:00:00
0.5056,1.0225,0.4944,2026-07-29 21:00:00
0.5039,1.0158,0.4961,2026-07-29 22:00:00
0.5046,1.0188,0.4954,2026-07-29 23:00:00
0.5005,1.0022,0.4995,2026-07-30 00:00:00
0.5020,1.0080,0.4980,2026-07-30 01:00:00
0.4997,0.9986,0.5003,2026-07-30 02:00:00
0.5006,1.0025,0.4994,2026-07-30 03:00:00
0.5008,1.0034,0.4992,2026-07-30 04:00:00
0.5004,1.0016,0.4996,2026-07-30 05:00:00
0.4996,0.9985,0.5004,2026-07-30 06:00:00
0.4998,0.9991,0.5002,2026-07-30 07:00:00
0.4995,0.9978,0.5005,2026-07-30 08:00:00
0.4986,0.9943,0.5014,2026-07-30 09:00:00
0.4985,0.9938,0.5015,2026-07-30 10:00:00
0.4998,0.9992,0.5002,2026-07-30 11:00:00
0.4996,0.9983,0.5004,2026-07-30 12:00:00
0.4982,0.9928,0.5018,2026-07-30 13:00:00
0.4995,0.9982,0.5005,2026-07-30 14:00:00
0.4996,0.9982,0.5004,2026-07-30 15:00:00
0.5001,1.0002,0.4999,2026-07-30 16:00:00
0.5013,1.0051,0.4987,2026-07-30 17:00:00
0.5023,1.0094,0.4977,2026-07-30 18:00:00
0.5013,1.0053,0.4987,2026-07-30 19:00:00
0.5009,1.0037,0.4991,2026-07-30 20:00:00
0.5011,1.0044,0.4989,2026-07-30 21:00:00
0.5017,1.0069,0.4983,2026-07-30 22:00:00
0.5039,1.0156,0.4961,2026-07-30 23:00:00
0.5048,1.0193,0.4952,2026-07-31 00:00:00
0.5034,1.0137,0.4966,2026-07-31 01:00:00
0.5079,1.0321,0.4921,2026-07-31 02:00:00
0.5132,1.0541,0.4868,2026-07-31 03:00:00
0.5114,1.0468,0.4886,2026-07-31 04:00:00
0.5100,1.0407,0.4900,2026-07-31 05:00:00
0.5150,1.0617,0.4850,2026-07-31 06:00:00
0.5147,1.0606,0.4853,2026-07-31 07:00:00
0.5156,1.0643,0.4844,2026-07-31 08:00:00
0.5153,1.0633,0.4847,2026-07-31 09:00:00
0.5125,1.0514,0.4875,2026-07-31 10:00:00
0.5096,1.0393,0.4904,2026-07-31 11:00:00
0.5095,1.0388,0.4905,2026-07-31 12:00:00
0.5097,1.0395,0.4903,2026-07-31 13:00:00
0.5117,1.0477,0.4883,2026-07-31 14:00:00
0.5177,1.0735,0.4823,2026-07-31 15:00:00
0.5303,1.1289,0.4697,2026-07-31 16:00:00
0.5282,1.1196,0.4718,2026-07-31 17:00:00
0.5274,1.1159,0.4726,2026-07-31 18:00:00
0.5277,1.1172,0.4723,2026-07-31 19:00:00
0.5279,1.1184,0.4721,2026-07-31 20:00:00
0.5276,1.1167,0.4724,2026-07-31 21:00:00
0.5281,1.1189,0.4719,2026-07-31 22:00:00
0.5288,1.1220,0.4712,2026-07-31 23:00:00
0.5297,1.1262,0.4703,2026-08-01 00:00:00
0.5301,1.1280,0.4699,2026-08-01 01:00:00
0.5276,1.1170,0.4724,2026-08-01 02:00:00
0.5278,1.1176,0.4722,2026-08-01 03:00:00
0.5299,1.1270,0.4701,2026-08-01 04:00:00
0.5277,1.1173,0.4723,2026-08-01 05:00:00
0.5267,1.1130,0.4733,2026-08-01 06:00:00
0.5264,1.1115,0.4736,2026-08-01 07:00:00
0.5263,1.1110,0.4737,2026-08-01 08:00:00
0.5255,1.1075,0.4745,2026-08-01 09:00:00
0.5240,1.1007,0.4760,2026-08-01 10:00:00
0.5250,1.1051,0.4750,2026-08-01 11:00:00
0.5256,1.1080,0.4744,2026-08-01 12:00:00
0.5255,1.1076,0.4745,2026-08-01 13:00:00
0.5240,1.1007,0.4760,2026-08-01 14:00:00
0.5236,1.0989,0.4764,2026-08-01 15:00:00
0.5234,1.0984,0.4766,2026-08-01 16:00:00
0.5219,1.0915,0.4781,2026-08-01 17:00:00
0.5225,1.0943,0.4775,2026-08-01 18:00:00
