date,symbol,volume,rank,rank_change
2017-08-09,BNBETH,4371.50189019,1,0
2017-08-10,BNBETH,9246.84946773,1,0
2017-08-11,BNBETH,13124.29994592,1,0
2017-08-12,BNBETH,12013.99793496,1,0
2017-08-13,BNBETH,27605.80622121,1,0
2017-08-14,BNBETH,64521.48299666,1,0
2017-08-15,BNBETH,33300.44231704,1,0
2017-08-16,BNBETH,32310.49000733,1,0
2017-08-17,BTCUSDT,3454770.05073206,1,0
2017-08-17,ETHUSDT,2154655.30035660,2,0
2017-08-17,BNBETH,51491.63596118,3,2
2017-08-18,BTCUSDT,5086958.30617151,1,0
2017-08-18,ETHUSDT,2858946.50935390,2,0
2017-08-18,BNBETH,89097.40436630,3,0
2017-08-19,BTCUSDT,1549483.73542151,1,0
2017-08-19,ETHUSDT,620022.58986170,2,0
2017-08-19,BNBETH,63594.17362179,3,0
2017-08-20,BTCUSDT,1930364.39032646,1,0
2017-08-20,ETHUSDT,742847.89455990,2,0
2017-08-20,BNBETH,63539.21008277,3,0
2017-08-21,BTCUSDT,2797231.71402728,1,0
2017-08-21,ETHUSDT,1689472.34121400,2,0
2017-08-21,BNBETH,78183.86133807,3,0
2017-08-22,BTCUSDT,3752505.77214051,1,0
2017-08-22,ETHUSDT,2454425.80331370,2,0
2017-08-22,BNBETH,58517.71975436,3,0
2017-08-23,BTCUSDT,4148686.46581968,1,0
2017-08-23,ETHUSDT,2753464.94504080,2,0
2017-08-23,BNBETH,77729.91036976,3,0
2017-08-24,BTCUSDT,3296476.41316476,1,0
2017-08-24,ETHUSDT,2159417.11415370,2,0
2017-08-24,BNBETH,55552.48782829,3,0
2017-08-25,BTCUSDT,2484637.34936327,1,0
2017-08-25,ETHUSDT,2354162.03829400,2,0
2017-08-25,BNBETH,34756.32428297,3,0
2017-08-26,ETHUSDT,1601994.37731660,1,-1
2017-08-26,BTCUSDT,977865.73333210,2,1
2017-08-26,BNBETH,14152.79903730,3,0
2017-08-27,ETHUSDT,1554477.35816030,1,0
2017-08-27,BTCUSDT,1521580.06202557,2,0
2017-08-27,BNBETH,16031.44194041,3,0
2017-08-28,BTCUSDT,2591660.52579953,1,-1
2017-08-28,ETHUSDT,1463758.16910410,2,1
2017-08-28,BNBETH,12597.99180113,3,0
2017-08-29,BTCUSDT,2682483.73582991,1,0
2017-08-29,ETHUSDT,1102069.62058090,2,0
2017-08-29,BNBETH,13990.10396324,3,0
2017-08-30,BTCUSDT,3683714.68666123,1,0
2017-08-30,ETHUSDT,1679526.21251150,2,0
2017-08-30,BNBETH,20640.09458696,3,0
2017-08-31,BTCUSDT,2579878.72401184,1,0
2017-08-31,ETHUSDT,1704441.39426660,2,0
2017-08-31,BNBETH,17023.38790477,3,0
2017-09-01,BTCUSDT,2665165.55924616,1,0
2017-09-01,ETHUSDT,1635227.61376610,2,0
2017-09-01,BNBETH,14842.08463704,3,0
2017-09-02,BTCUSDT,4257723.94481700,1,0
2017-09-02,ETHUSDT,2904008.46138610,2,0
2017-09-02,BNBETH,18102.31110174,3,0
2017-09-03,BTCUSDT,3121052.75230181,1,0
2017-09-03,ETHUSDT,1801702.61780290,2,0
2017-09-03,BNBETH,11236.14859453,3,0
2017-09-04,BTCUSDT,5909947.49008974,1,0
2017-09-04,ETHUSDT,2002446.18180200,2,0
2017-09-04,BNBETH,13887.46056455,3,0
2017-09-05,BTCUSDT,5083453.18675071,1,0
2017-09-05,ETHUSDT,2397490.91783860,2,0
2017-09-05,BNBETH,6696.15975640,3,0
2017-09-06,BTCUSDT,3626346.05544323,1,0
2017-09-06,ETHUSDT,1793962.85849940,2,0
2017-09-06,BNBETH,9159.81681034,3,0
2017-09-07,BTCUSDT,2305795.13638315,1,0
2017-09-07,ETHUSDT,1027135.68695240,2,0
2017-09-07,BNBETH,11041.19913190,3,0
2017-09-08,BTCUSDT,4866527.22639337,1,0
2017-09-08,ETHUSDT,1494309.88661630,2,0
2017-09-08,BNBETH,11339.80023438,3,0
2017-09-09,BTCUSDT,2815383.46568698,1,0
2017-09-09,ETHUSDT,813750.35893590,2,0
2017-09-09,BNBETH,4140.18968502,3,0
2017-09-10,BTCUSDT,2700371.80819211,1,0
2017-09-10,ETHUSDT,1181903.77219990,2,0
2017-09-10,BNBETH,3147.75573208,3,0
2017-09-11,BTCUSDT,2956842.76250147,1,0
2017-09-11,ETHUSDT,1436811.81615690,2,0
2017-09-11,BNBETH,3621.93740758,3,0
2017-09-12,BTCUSDT,3725190.62328952,1,0
2017-09-12,ETHUSDT,1573452.41245190,2,0
2017-09-12,BNBETH,6525.51823824,3,0
2017-09-13,BTCUSDT,3570365.92571669,1,0
2017-09-13,ETHUSDT,1761080.89760690,2,0
2017-09-13,BNBETH,3038.84673768,3,0
2017-09-14,BTCUSDT,5914261.40460825,1,0
2017-09-14,ETHUSDT,3110767.78056470,2,0
2017-09-14,BNBETH,4368.91678668,3,0
2017-09-15,BTCUSDT,6588767.18669446,1,0
2017-09-15,ETHUSDT,3319311.82673500,2,0
2017-09-15,BNBETH,4749.57189579,3,0
2017-09-16,BTCUSDT,4804878.24721283,1,0
2017-09-16,ETHUSDT,2647152.37237080,2,0
2017-09-16,BNBETH,3289.59719407,3,0
2017-09-17,BTCUSDT,2466490.27859466,1,0
2017-09-17,ETHUSDT,1149704.29492940,2,0
2017-09-17,BNBETH,1902.48325390,3,0
2017-09-18,BTCUSDT,4069033.05715863,1,0
2017-09-18,ETHUSDT,1182937.63357400,2,0
2017-09-18,BNBETH,2162.56806676,3,0
2017-09-19,BTCUSDT,3558315.19743872,1,0
2017-09-19,ETHUSDT,535773.56520010,2,0
2017-09-19,BNBETH,2240.55076838,3,0
2017-09-20,BTCUSDT,2839584.45308804,1,0
2017-09-20,ETHUSDT,302739.73375310,2,0
2017-09-20,BNBETH,1526.19863357,3,0
2017-09-21,BTCUSDT,3757043.07821264,1,0
2017-09-21,ETHUSDT,516193.19706080,2,0
2017-09-21,BNBETH,1527.80857543,3,0
2017-09-22,BTCUSDT,3031771.43292849,1,0
2017-09-22,ETHUSDT,382962.21794300,2,0
2017-09-22,BNBETH,1504.38793364,3,0
2017-09-23,BTCUSDT,2799706.99951511,1,0
2017-09-23,ETHUSDT,788810.32442390,2,0
2017-09-23,BNBETH,1362.20328498,3,0
2017-09-24,BTCUSDT,2445788.43620041,1,0
2017-09-24,ETHUSDT,1582877.48713290,2,0
2017-09-24,BNBETH,1751.60906121,3,0
2017-09-25,BTCUSDT,2784170.85318322,1,0
2017-09-25,ETHUSDT,1705551.99210180,2,0
2017-09-25,BNBETH,2063.72874464,3,0
2017-09-26,BTCUSDT,2061195.57868009,1,0
2017-09-26,ETHUSDT,1332125.16543960,2,0
2017-09-26,BNBETH,2876.09659664,3,0
2017-09-27,BTCUSDT,2554629.81447101,1,0
2017-09-27,ETHUSDT,1641896.87436510,2,0
2017-09-27,BNBETH,3819.88179230,3,0
2017-09-28,BTCUSDT,3553178.87037354,1,0
2017-09-28,ETHUSDT,2009233.88871050,2,0
2017-09-28,BNBETH,7104.32016252,3,0
2017-09-29,BTCUSDT,6571746.35900076,1,0
2017-09-29,ETHUSDT,3213725.09039790,2,0
2017-09-29,BNBETH,4284.47189403,3,0
2017-09-30,BTCUSDT,3088354.40084536,1,0
2017-09-30,ETHUSDT,1214456.83804620,2,0
2017-09-30,BNBETH,2939.89721094,3,0
2017-10-01,BTCUSDT,3137143.89184457,1,0
2017-10-01,ETHUSDT,1518988.30299000,2,0
2017-10-01,BNBETH,3637.07826198,3,0
2017-10-02,BTCUSDT,2905282.77570845,1,0
2017-10-02,ETHUSDT,1116501.22481220,2,0
2017-10-02,BNBETH,7883.50557168,3,0
2017-10-03,BTCUSDT,4627422.74283879,1,0
2017-10-03,ETHUSDT,1622460.72677460,2,0
2017-10-03,BNBETH,6271.92621551,3,0
2017-10-04,BTCUSDT,3676415.10054891,1,0
2017-10-04,ETHUSDT,1176260.21718690,2,0
2017-10-04,BNBETH,4135.25085472,3,0
2017-10-05,BTCUSDT,3295532.82397779,1,0
2017-10-05,ETHUSDT,994768.49540650,2,0
2017-10-05,BNBETH,3311.58341709,3,0
2017-10-06,BTCUSDT,2212035.12414239,1,0
2017-10-06,ETHUSDT,1063779.35392510,2,0
2017-10-06,BNBETH,3114.38520181,3,0
2017-10-07,BTCUSDT,1302533.21459281,1,0
2017-10-07,ETHUSDT,672026.66853280,2,0
2017-10-07,BNBETH,2173.77262591,3,0
2017-10-08,BTCUSDT,2347356.46944654,1,0
2017-10-08,ETHUSDT,923989.78755400,2,0
2017-10-08,BNBETH,3591.84869403,3,0
2017-10-09,BTCUSDT,3040508.90436387,1,0
2017-10-09,ETHUSDT,1462524.62495310,2,0
2017-10-09,BNBETH,5874.94826613,3,0
2017-10-10,BTCUSDT,5044283.86347582,1,0
2017-10-10,ETHUSDT,2028540.47292730,2,0
2017-10-10,BNBETH,3771.56332116,3,0
2017-10-11,BTCUSDT,3609240.90903919,1,0
2017-10-11,ETHUSDT,1125331.50335720,2,0
2017-10-11,BNBETH,2733.40525073,3,0
2017-10-12,BTCUSDT,6659759.29119366,1,0
2017-10-12,ETHUSDT,2397065.16336710,2,0
2017-10-12,BNBETH,2630.92710423,3,0
2017-10-13,BTCUSDT,10597340.30104987,1,0
2017-10-13,ETHUSDT,5832987.25591010,2,0
2017-10-13,BNBETH,4180.30969257,3,0
2017-10-14,BTCUSDT,5533972.48599470,1,0
2017-10-14,ETHUSDT,2655702.11454550,2,0
2017-10-14,BNBETH,1602.89895203,3,0
2017-10-15,BTCUSDT,7553650.20132813,1,0
2017-10-15,ETHUSDT,3326752.59711660,2,0
2017-10-15,BNBETH,3048.47183165,3,0
2017-10-16,BTCUSDT,8701914.79553535,1,0
2017-10-16,ETHUSDT,2956522.04178740,2,0
2017-10-16,BNBETH,1554.27692957,3,0
2017-10-17,BTCUSDT,8041662.31881055,1,0
2017-10-17,ETHUSDT,2638150.88929040,2,0
2017-10-17,BNBETH,811.64095681,3,0
2017-10-18,BTCUSDT,12456909.97604373,1,0
2017-10-18,ETHUSDT,3915770.15446750,2,0
2017-10-18,BNBETH,1236.04425240,3,0
2017-10-19,BTCUSDT,10609368.77338359,1,0
2017-10-19,ETHUSDT,2675399.86024250,2,0
2017-10-19,BNBETH,1245.66280004,3,0
2017-10-20,BTCUSDT,11486552.18880660,1,0
2017-10-20,ETHUSDT,2667391.89975510,2,0
2017-10-20,BNBETH,979.80722177,3,0
2017-10-21,BTCUSDT,10114821.44026351,1,0
2017-10-21,ETHUSDT,2558677.41154280,2,0
2017-10-21,BNBETH,785.83069192,3,0
2017-10-22,BTCUSDT,8035415.37335629,1,0
2017-10-22,ETHUSDT,2120546.54702250,2,0
2017-10-22,BNBETH,940.45393954,3,0
2017-10-23,BTCUSDT,10607190.98072695,1,0
2017-10-23,ETHUSDT,2743010.98770280,2,0
2017-10-23,BNBETH,1432.79865111,3,0
2017-10-24,BTCUSDT,14564495.85056032,1,0
2017-10-24,ETHUSDT,4253110.31958060,2,0
2017-10-24,BNBETH,3663.98655004,3,0
2017-10-25,BTCUSDT,12544847.89154201,1,0
2017-10-25,ETHUSDT,2840747.38462630,2,0
2017-10-25,BNBETH,1469.68109380,3,0
2017-10-26,BTCUSDT,11417126.63602561,1,0
2017-10-26,ETHUSDT,2306446.33373280,2,0
2017-10-26,BNBETH,1208.79504343,3,0
2017-10-27,BTCUSDT,8167069.73635031,1,0
2017-10-27,ETHUSDT,1852704.41610560,2,0
2017-10-27,BNBETH,1432.21887774,3,0
2017-10-28,BTCUSDT,7308076.01911184,1,0
2017-10-28,ETHUSDT,1715796.79419360,2,0
2017-10-28,BNBETH,491.09927578,3,0
2017-10-29,BTCUSDT,10620967.62459168,1,0
2017-10-29,ETHUSDT,2716332.81538860,2,0
2017-10-29,BNBETH,967.19413431,3,0
2017-10-30,BTCUSDT,9030219.28673499,1,0
2017-10-30,ETHUSDT,2751568.63653630,2,0
2017-10-30,BNBETH,1542.46195844,3,0
2017-10-31,BTCUSDT,9487640.84009910,1,0
2017-10-31,ETHUSDT,2347542.86483170,2,0
2017-10-31,BNBETH,1596.44646304,3,0
2017-11-01,BTCUSDT,10951171.07254041,1,0
2017-11-01,ETHUSDT,2948801.70630060,2,0
2017-11-01,BNBETH,1337.09875523,3,0
2017-11-02,BTCUSDT,17369001.33091877,1,0
2017-11-02,ETHUSDT,3810829.65967330,2,0
2017-11-02,BNBETH,3052.07203064,3,0
2017-11-03,BTCUSDT,13614451.74654126,1,0
2017-11-03,ETHUSDT,2400297.63478160,2,0
2017-11-03,BNBETH,1725.49665500,3,0
2017-11-04,BTCUSDT,10064538.39659038,1,0
2017-11-04,ETHUSDT,2333944.76080540,2,0
2017-11-04,BNBETH,3221.51569954,3,0
2017-11-05,BTCUSDT,9000403.86573288,1,0
2017-11-05,ETHUSDT,1974433.01351300,2,0
2017-11-05,BNBETH,1520.84847292,3,0
2017-11-06,BTCUSDT,12673524.62163980,1,0
2017-11-06,ETHUSDT,2233482.61226260,2,0
2017-11-06,BNBUSDT,192128.33554900,3,0
2017-11-06,BNBETH,2883.15084963,4,1
2017-11-07,BTCUSDT,10173272.33780804,1,0
2017-11-07,ETHUSDT,2765345.58277720,2,0
2017-11-07,BNBUSDT,224771.73096900,3,0
2017-11-07,BNBETH,3146.39951697,4,0
2017-11-08,BTCUSDT,20491286.19840822,1,0
2017-11-08,ETHUSDT,4839176.80681300,2,0
2017-11-08,BNBUSDT,661188.79151200,3,0
2017-11-08,BNBETH,6741.06044698,4,0
2017-11-09,BTCUSDT,13798534.34721742,1,0
2017-11-09,ETHUSDT,3527294.75033460,2,0
2017-11-09,BNBUSDT,585812.82570400,3,0
2017-11-09,BNBETH,4442.83157437,4,0
2017-11-10,BTCUSDT,22083345.18396158,1,0
2017-11-10,ETHUSDT,4762536.58505160,2,0
2017-11-10,BNBUSDT,885876.86520000,3,0
2017-11-10,BNBETH,4520.58138104,4,0
2017-11-11,BTCUSDT,17681445.46474999,1,0
2017-11-11,ETHUSDT,3282643.02778610,2,0
2017-11-11,BNBUSDT,452345.77016900,3,0
2017-11-11,BNBETH,2907.90467360,4,0
2017-11-12,BTCUSDT,29711508.60084671,1,0
2017-11-12,ETHUSDT,6345603.77067890,2,0
2017-11-12,BNBUSDT,704902.98963900,3,0
2017-11-12,BNBETH,6647.51855479,4,0
2017-11-13,BTCUSDT,16498136.09913936,1,0
2017-11-13,ETHUSDT,4852265.39556490,2,0
2017-11-13,BNBUSDT,273596.32318800,3,0
2017-11-13,BNBETH,2045.33784085,4,0
2017-11-14,BTCUSDT,8168729.97122799,1,0
2017-11-14,ETHUSDT,5756893.45279360,2,0
2017-11-14,BNBUSDT,285855.47570000,3,0
2017-11-14,BNBETH,2385.97848071,4,0
2017-11-15,BTCUSDT,12446186.45092821,1,0
2017-11-15,ETHUSDT,5178507.45727470,2,0
2017-11-15,BNBUSDT,460183.52253000,3,0
2017-11-15,BNBETH,3522.00213436,4,0
2017-11-16,BTCUSDT,17499577.25815967,1,0
2017-11-16,ETHUSDT,4638262.26258350,2,0
2017-11-16,BNBUSDT,315953.88804000,3,0
2017-11-16,BNBETH,3230.20773539,4,0
2017-11-17,BTCUSDT,31024092.61951179,1,0
2017-11-17,ETHUSDT,5954175.94002110,2,0
2017-11-17,BNBUSDT,640592.38072600,3,0
2017-11-17,BNBETH,1997.70490940,4,0
2017-11-18,BTCUSDT,30334498.31525712,1,0
2017-11-18,ETHUSDT,4780354.33540800,2,0
2017-11-18,BNBUSDT,270253.42793600,3,0
2017-11-18,BNBETH,1777.98974010,4,0
2017-11-19,BTCUSDT,30322635.76894570,1,0
2017-11-19,ETHUSDT,6895884.06240290,2,0
2017-11-19,BNBUSDT,294879.46520600,3,0
2017-11-19,BNBETH,1739.41273604,4,0
2017-11-20,BTCUSDT,31567135.38731295,1,0
