Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-10-23 10:00:00,0.3130000,0.4290000,0.3130000,0.3558000,136710096,2025-10-23 10:59:59,50220572.5312000,377889,67881573,24934125.4374900,0
2025-10-23 11:00:00,0.3556700,0.3800000,0.3240000,0.3548400,126092929,2025-10-23 11:59:59,44249916.8107200,442160,62002715,21787803.9560900,0
2025-10-23 12:00:00,0.3547800,0.3588900,0.2372500,0.2973000,262406018,2025-10-23 12:59:59,72808208.4098900,825481,127574588,35321828.1631300,0
2025-10-23 13:00:00,0.2971200,0.3500000,0.2800400,0.3491400,139614539,2025-10-23 13:59:59,42264607.8564300,568969,72029876,21857158.5327300,0
2025-10-23 14:00:00,0.3488600,0.3626000,0.3076900,0.3363700,109652558,2025-10-23 14:59:59,36365910.1300900,504063,55746455,18500095.9636300,0
2025-10-23 15:00:00,0.3364400,0.3743900,0.3172500,0.3362500,88820060,2025-10-23 15:59:59,30490794.2001300,355536,44605375,15324764.7859500,0
2025-10-23 16:00:00,0.3360500,0.3473000,0.3022000,0.3257700,64018448,2025-10-23 16:59:59,20816472.1096800,239960,31463581,10236182.6858800,0
2025-10-23 17:00:00,0.3258800,0.3870000,0.3237600,0.3826600,96570583,2025-10-23 17:59:59,34835954.9788700,405664,49363698,17813723.8622200,0
2025-10-23 18:00:00,0.3825100,0.4066700,0.3730000,0.3844700,75797302,2025-10-23 18:59:59,29642506.1601600,314760,38346711,15007500.2253500,0
2025-10-23 19:00:00,0.3843100,0.4260000,0.3800100,0.4095000,75408365,2025-10-23 19:59:59,30718451.1110800,294400,37690601,15350473.7217600,0
2025-10-23 20:00:00,0.4092800,0.4364700,0.3820500,0.4186100,66516865,2025-10-23 20:59:59,27459090.6257100,258132,33349603,13772629.6909100,0
2025-10-23 21:00:00,0.4183400,0.4450000,0.4020100,0.4196600,51559294,2025-10-23 21:59:59,22171948.1731900,209430,26242264,11295376.8596000,0
2025-10-23 22:00:00,0.4196900,0.4388000,0.4025000,0.4183900,30303191,2025-10-23 22:59:59,12644741.8819000,140431,15373376,6418237.9692900,0
2025-10-23 23:00:00,0.4183000,0.6299900,0.4088800,0.6246000,67111350,2025-10-23 23:59:59,32844615.2827200,304479,36796301,18053294.4473200,0
2025-10-24 00:00:00,0.6250800,0.6999900,0.5223800,0.5501800,147184019,2025-10-24 00:59:59,88925946.6585600,687946,73640661,44562557.3016000,0
2025-10-24 01:00:00,0.5501800,0.6200000,0.5329300,0.5884600,65728715,2025-10-24 01:59:59,37627983.2551200,308520,33564273,19230676.0910900,0
2025-10-24 02:00:00,0.5886700,0.6465000,0.5590000,0.6143200,70815220,2025-10-24 02:59:59,42888889.7915800,322987,35739144,21666085.7467200,0
2025-10-24 03:00:00,0.6143100,0.6599900,0.5829400,0.6126200,70248591,2025-10-24 03:59:59,44096353.7232400,328290,34821359,21880708.7540500,0
2025-10-24 04:00:00,0.6128700,0.7500000,0.5955500,0.7244900,83753890,2025-10-24 04:59:59,56430739.2497600,459013,43951984,29648122.9721800,0
2025-10-24 05:00:00,0.7244800,0.7499000,0.6588000,0.6954600,95252665,2025-10-24 05:59:59,67622953.5863200,542303,46896375,33326299.7773400,0
2025-10-24 06:00:00,0.6950900,0.7131600,0.5931400,0.6429700,94829686,2025-10-24 06:59:59,61236545.6827300,441893,45366442,29301410.9308600,0
2025-10-24 07:00:00,0.6430000,0.6675200,0.6105000,0.6408800,72599412,2025-10-24 07:59:59,46200120.4449800,366276,35861139,22839534.9289700,0
2025-10-24 08:00:00,0.6410200,0.6665700,0.5733300,0.5876600,66241455,2025-10-24 08:59:59,40947109.6409100,332327,31249030,19341661.6974200,0
2025-10-24 09:00:00,0.5878600,0.6122200,0.5573400,0.5960800,73004447,2025-10-24 09:59:59,43021524.0933200,344687,36842333,21727943.7614600,0
2025-10-24 10:00:00,0.5960000,0.6530400,0.5826000,0.6353100,75859784,2025-10-24 10:59:59,46875973.2568400,373227,38917575,24064190.8611900,0
2025-10-24 11:00:00,0.6353100,0.6699900,0.6220000,0.6409700,53292753,2025-10-24 11:59:59,34154879.3635000,273861,27116247,17390629.1029400,0
2025-10-24 12:00:00,0.6409700,0.6666600,0.6066600,0.6375400,64037847,2025-10-24 12:59:59,40712457.6173200,296783,31842617,20258681.5226800,0
2025-10-24 13:00:00,0.6373000,0.6582700,0.5746600,0.5927700,72669886,2025-10-24 13:59:59,44953542.6046000,323364,35490805,21971111.5893100,0
2025-10-24 14:00:00,0.5927300,0.6262400,0.5853300,0.6215900,60134882,2025-10-24 14:59:59,36509569.9174800,278657,30286722,18395050.6455400,0
2025-10-24 15:00:00,0.6215900,0.7000000,0.6031300,0.6913400,75153749,2025-10-24 15:59:59,48151625.1278000,378014,38776564,24862863.6115800,0
2025-10-24 16:00:00,0.6914200,0.7431000,0.6405600,0.6482700,130539934,2025-10-24 16:59:59,90037693.7828500,593782,64761054,44724494.8987300,0
2025-10-24 17:00:00,0.6482800,0.6485300,0.6040300,0.6072700,63378512,2025-10-24 17:59:59,39659669.5040400,282836,31248557,19563520.0979500,0
2025-10-24 18:00:00,0.6071200,0.6165900,0.4936000,0.5011100,98554207,2025-10-24 18:59:59,55174633.3546600,335843,46541622,26078573.9965400,0
2025-10-24 19:00:00,0.5011900,0.5144700,0.4287500,0.4291000,144185754,2025-10-24 19:59:59,68798667.0696600,460154,71432301,34148534.0039700,0
2025-10-24 20:00:00,0.4290500,0.5150000,0.4255400,0.4850500,81940312,2025-10-24 20:59:59,39517720.2088200,333675,42936578,20702588.5773500,0
2025-10-24 21:00:00,0.4849500,0.4986800,0.4617400,0.4738000,39109092,2025-10-24 21:59:59,18872443.0025100,193068,19641040,9484157.1936300,0
2025-10-24 22:00:00,0.4738000,0.4862800,0.4505500,0.4840400,31709385,2025-10-24 22:59:59,14836392.9001600,237934,16203723,7584302.1200500,0
2025-10-24 23:00:00,0.4840400,0.4854900,0.4409100,0.4666000,30185482,2025-10-24 23:59:59,13933611.0913100,217525,14754417,6809124.2724000,0
2025-10-25 00:00:00,0.4667200,0.4884000,0.4510500,0.4625600,31405950,2025-10-25 00:59:59,14797983.4605700,234535,15320961,7219893.4281400,0
2025-10-25 01:00:00,0.4625300,0.4896000,0.4522900,0.4761900,25525533,2025-10-25 01:59:59,11984584.7383200,179461,12907031,6056375.6407700,0
2025-10-25 02:00:00,0.4760600,0.4760600,0.4432600,0.4541700,30779565,2025-10-25 02:59:59,14155642.1128600,212082,15595492,7172493.1166700,0
2025-10-25 03:00:00,0.4541800,0.4773300,0.4307500,0.4754500,34074630,2025-10-25 03:59:59,15384686.8439600,219655,16641813,7519560.7466700,0
2025-10-25 04:00:00,0.4755400,0.4957400,0.4597000,0.4735500,28986484,2025-10-25 04:59:59,13814656.6505500,192650,14402804,6865047.4813900,0
2025-10-25 05:00:00,0.4736500,0.4758300,0.4118200,0.4244400,37300970,2025-10-25 05:59:59,16329842.2662100,210491,18382131,8055074.3240900,0
