Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-07-16 09:00:00,29.30000,30.30000,29.30000,29.37000,28333.43,2026-07-16 09:59:59,846737.2152000,6908,10741.47,321212.7643000,0
2026-07-16 10:00:00,29.35000,29.56000,28.68000,29.25000,14105.73,2026-07-16 10:59:59,411949.7719000,4333,7175.64,209631.1584000,0
2026-07-16 11:00:00,29.25000,29.25000,28.00000,28.22000,20463.94,2026-07-16 11:59:59,580627.5480000,5178,9111.49,258931.9967000,0
2026-07-16 12:00:00,28.22000,28.43000,27.54000,27.75000,41622.67,2026-07-16 12:59:59,1164268.0467000,7017,14785.12,414333.5622000,0
2026-07-16 13:00:00,27.77000,30.46000,27.60000,28.64000,101656.63,2026-07-16 13:59:59,2927905.7221000,16155,61119.77,1760462.8248000,0
2026-07-16 14:00:00,28.60000,29.48000,27.91000,28.42000,23721.60,2026-07-16 14:59:59,684039.3772000,4720,11936.34,345383.1241000,0
2026-07-16 15:00:00,28.44000,28.74000,27.21000,27.65000,34222.13,2026-07-16 15:59:59,953808.4108000,6840,16802.39,469664.3523000,0
2026-07-16 16:00:00,27.64000,27.78000,27.05000,27.55000,17174.74,2026-07-16 16:59:59,470586.8169000,3462,9831.11,270145.8495000,0
2026-07-16 17:00:00,27.56000,28.16000,26.81000,27.18000,32503.93,2026-07-16 17:59:59,888234.2171000,4469,14669.60,402327.4595000,0
2026-07-16 18:00:00,27.23000,28.33000,26.90000,27.11000,22774.63,2026-07-16 18:59:59,629818.3823000,3323,10161.89,280003.6145000,0
2026-07-16 19:00:00,27.10000,27.77000,26.87000,27.73000,8042.97,2026-07-16 19:59:59,220195.2424000,2718,5066.92,138870.6497000,0
2026-07-16 20:00:00,27.64000,27.84000,27.20000,27.81000,3785.90,2026-07-16 20:59:59,103875.0283000,2284,1758.04,48207.0850000,0
2026-07-16 21:00:00,27.80000,28.08000,27.68000,27.79000,2963.89,2026-07-16 21:59:59,82543.5026000,1271,1235.00,34448.8387000,0
2026-07-16 22:00:00,27.80000,27.87000,26.21000,26.74000,26222.45,2026-07-16 22:59:59,703951.0209000,6853,11031.64,296505.4091000,0
2026-07-16 23:00:00,26.75000,26.77000,25.90000,26.22000,10322.42,2026-07-16 23:59:59,271172.8640000,2954,5575.38,146643.3101000,0
2026-07-17 00:00:00,26.22000,26.89000,25.15000,26.00000,27619.46,2026-07-17 00:59:59,718273.3247000,6364,14133.26,368477.0557000,0
2026-07-17 01:00:00,25.98000,26.59000,25.50000,25.82000,14737.68,2026-07-17 01:59:59,383748.8869000,5089,7312.33,190549.9397000,0
2026-07-17 02:00:00,25.86000,26.05000,25.37000,25.79000,7394.14,2026-07-17 02:59:59,189913.9868000,3117,3557.34,91487.5377000,0
2026-07-17 03:00:00,25.78000,27.00000,25.73000,26.42000,13761.27,2026-07-17 03:59:59,365048.8582000,4033,7032.04,186072.0727000,0
2026-07-17 04:00:00,26.38000,26.42000,25.73000,25.88000,11310.59,2026-07-17 04:59:59,294735.2796000,3820,5015.77,130905.1394000,0
2026-07-17 05:00:00,25.87000,25.98000,24.81000,24.93000,26304.89,2026-07-17 05:59:59,669387.9730000,8422,11188.85,285222.1727000,0
2026-07-17 06:00:00,24.95000,25.59000,24.90000,25.05000,13168.48,2026-07-17 06:59:59,331811.2844000,4402,5203.98,131378.9926000,0
2026-07-17 07:00:00,25.04000,25.27000,24.55000,24.72000,10906.51,2026-07-17 07:59:59,271117.8225000,3361,4876.04,121230.7211000,0
2026-07-17 08:00:00,24.73000,25.36000,24.72000,25.13000,31953.48,2026-07-17 08:59:59,799825.8106000,8296,14522.24,363694.0408000,0
2026-07-17 09:00:00,25.11000,26.41000,25.10000,26.39000,60622.49,2026-07-17 09:59:59,1561424.1260000,11200,22522.87,579197.1701000,0
2026-07-17 10:00:00,26.40000,28.11000,26.36000,27.11000,104786.70,2026-07-17 10:59:59,2864932.8547000,21175,45448.12,1243477.6240000,0
2026-07-17 11:00:00,27.13000,27.33000,26.06000,26.41000,47853.78,2026-07-17 11:59:59,1277103.9315000,9486,22202.78,593335.5201000,0
2026-07-17 12:00:00,26.38000,26.54000,25.63000,26.07000,29630.00,2026-07-17 12:59:59,769773.9537000,7011,16083.45,417916.7841000,0
2026-07-17 13:00:00,26.06000,27.03000,24.30000,26.89000,107899.67,2026-07-17 13:59:59,2755169.2250000,21471,54875.41,1400864.0861000,0
