Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-05-26 13:00:00,224.94000,224.94000,210.70000,217.05000,7343.91,2026-05-26 13:59:59,1592843.4040000,7130,3687.62,800185.6718000,0
2026-05-26 14:00:00,217.12000,217.78000,211.65000,213.09000,3735.07,2026-05-26 14:59:59,800361.0322000,6375,1639.77,351266.4079000,0
2026-05-26 15:00:00,213.21000,214.11000,210.11000,210.85000,3073.20,2026-05-26 15:59:59,652647.3707000,6133,1434.45,304883.9745000,0
2026-05-26 16:00:00,210.86000,212.01000,209.34000,210.76000,1531.83,2026-05-26 16:59:59,322750.1780000,3413,785.43,165620.1787000,0
2026-05-26 17:00:00,210.65000,212.06000,206.90000,209.76000,1074.90,2026-05-26 17:59:59,225928.7644000,3519,492.97,103745.3990000,0
2026-05-26 18:00:00,209.69000,210.99000,206.26000,206.58000,592.42,2026-05-26 18:59:59,123444.0545000,2405,281.04,58558.5445000,0
2026-05-26 19:00:00,206.61000,209.94000,204.80000,208.23000,1194.22,2026-05-26 19:59:59,248355.9039000,2667,603.96,125914.8609000,0
2026-05-26 20:00:00,208.23000,209.49000,207.90000,208.52000,300.14,2026-05-26 20:59:59,62603.1948000,1466,123.08,25678.5172000,0
2026-05-26 21:00:00,208.64000,210.50000,208.48000,210.27000,255.26,2026-05-26 21:59:59,53539.5922000,1624,118.74,24895.5754000,0
2026-05-26 22:00:00,210.27000,210.57000,209.71000,209.97000,169.41,2026-05-26 22:59:59,35593.2448000,1555,73.94,15537.7116000,0
2026-05-26 23:00:00,209.97000,210.36000,208.41000,209.81000,192.57,2026-05-26 23:59:59,40430.7038000,1122,69.09,14505.8031000,0
2026-05-27 00:00:00,209.92000,211.10000,209.35000,210.34000,189.87,2026-05-27 00:59:59,39963.1417000,1166,122.51,25795.6939000,0
2026-05-27 01:00:00,210.38000,211.22000,209.94000,210.52000,205.08,2026-05-27 01:59:59,43170.0542000,873,77.85,16398.1251000,0
2026-05-27 02:00:00,210.52000,211.01000,210.21000,210.60000,120.66,2026-05-27 02:59:59,25424.8161000,526,77.21,16272.4885000,0
2026-05-27 03:00:00,210.64000,210.93000,209.92000,209.93000,126.40,2026-05-27 03:59:59,26586.0606000,546,53.28,11212.5421000,0
2026-05-27 04:00:00,209.96000,210.26000,208.50000,209.73000,243.82,2026-05-27 04:59:59,51021.1208000,1351,102.74,21509.0856000,0
2026-05-27 05:00:00,209.64000,209.87000,208.65000,209.29000,290.87,2026-05-27 05:59:59,60849.5846000,985,149.69,31294.3652000,0
2026-05-27 06:00:00,209.24000,209.38000,204.07000,207.32000,1761.47,2026-05-27 06:59:59,364335.9590000,6637,826.31,171039.7375000,0
2026-05-27 07:00:00,207.29000,208.05000,206.47000,207.70000,677.26,2026-05-27 07:59:59,140360.2457000,2224,290.27,60199.0792000,0
2026-05-27 08:00:00,207.79000,213.00000,207.75000,212.56000,775.28,2026-05-27 08:59:59,163362.8173000,3347,441.60,93013.1741000,0
2026-05-27 09:00:00,212.42000,212.55000,210.95000,211.95000,267.39,2026-05-27 09:59:59,56610.3479000,1115,129.06,27317.9892000,0
