Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-03-26 14:00:00,4415.00000000,4500.00000000,4410.00000000,4466.26000000,1174.69040000,2026-03-26 14:59:59,5238000.12407000,17430,673.52370000,3003771.49453400,0
2026-03-26 15:00:00,4465.98000000,4469.74000000,4435.57000000,4437.59000000,182.04020000,2026-03-26 15:59:59,810568.36078000,4422,54.49630000,242542.54541400,0
2026-03-26 16:00:00,4437.60000000,4441.45000000,4370.18000000,4392.43000000,207.56960000,2026-03-26 16:59:59,915086.41736700,3326,66.93990000,294726.56929500,0
2026-03-26 17:00:00,4392.02000000,4403.20000000,4382.40000000,4384.60000000,145.17520000,2026-03-26 17:59:59,637491.94417200,2156,81.41710000,357451.43603400,0
2026-03-26 18:00:00,4385.00000000,4399.39000000,4373.17000000,4397.21000000,114.94100000,2026-03-26 18:59:59,504426.93187000,1429,55.72000000,244563.93576000,0
2026-03-26 19:00:00,4397.80000000,4401.89000000,4364.82000000,4368.40000000,134.03860000,2026-03-26 19:59:59,586800.57776600,1599,32.49840000,142269.96574700,0
2026-03-26 20:00:00,4368.59000000,4421.39000000,4357.70000000,4382.94000000,292.35840000,2026-03-26 20:59:59,1283908.31605600,5610,167.89250000,736640.37675000,0
2026-03-26 21:00:00,4383.62000000,4395.87000000,4383.62000000,4394.23000000,53.04960000,2026-03-26 21:59:59,233037.60492900,665,32.29980000,141888.09456200,0
2026-03-26 22:00:00,4394.36000000,4413.14000000,4384.80000000,4413.14000000,174.90880000,2026-03-26 22:59:59,769741.31185900,2394,81.47650000,358675.64662900,0
2026-03-26 23:00:00,4412.20000000,4412.64000000,4390.01000000,4406.39000000,140.96690000,2026-03-26 23:59:59,620329.62151300,2352,79.35160000,349157.54693000,0
2026-03-27 00:00:00,4406.40000000,4410.80000000,4377.80000000,4380.40000000,92.22600000,2026-03-27 00:59:59,404883.16618400,1578,43.92570000,192839.76894000,0
2026-03-27 01:00:00,4380.20000000,4419.19000000,4378.67000000,4416.80000000,119.52970000,2026-03-27 01:59:59,525700.58419300,1431,66.80090000,293903.70444300,0
2026-03-27 02:00:00,4417.20000000,4438.39000000,4417.14000000,4431.20000000,62.46630000,2026-03-27 02:59:59,276784.14821800,1520,36.03620000,159627.20618100,0
2026-03-27 03:00:00,4431.40000000,4444.59000000,4421.90000000,4436.82000000,128.41500000,2026-03-27 03:59:59,569464.58608900,2356,96.84400000,429539.62818600,0
2026-03-27 04:00:00,4437.40000000,4447.80000000,4430.80000000,4446.00000000,108.48210000,2026-03-27 04:59:59,481446.02765800,2673,73.85470000,327792.52592400,0
2026-03-27 05:00:00,4445.80000000,4471.06000000,4440.27000000,4452.19000000,120.37520000,2026-03-27 05:59:59,535654.69173600,4288,74.88380000,333216.21165900,0
2026-03-27 06:00:00,4452.14000000,4467.99000000,4450.21000000,4456.36000000,60.52410000,2026-03-27 06:59:59,269837.46411100,2686,39.79470000,177416.06964500,0
2026-03-27 07:00:00,4455.86000000,4458.03000000,4442.39000000,4444.00000000,76.65800000,2026-03-27 07:59:59,341187.48992900,3491,22.58720000,100510.15764400,0
2026-03-27 08:00:00,4444.20000000,4447.79000000,4422.32000000,4422.79000000,72.22850000,2026-03-27 08:59:59,320355.82651300,4454,30.13810000,133627.17041500,0
2026-03-27 09:00:00,4422.92000000,4436.46000000,4417.43000000,4425.99000000,473.09880000,2026-03-27 09:59:59,2094942.20843200,46808,243.40870000,1077876.63831700,0
2026-03-27 10:00:00,4426.00000000,4430.00000000,4406.84000000,4410.81000000,331.66710000,2026-03-27 10:59:59,1466134.46510700,27768,168.19200000,743525.97263100,0
2026-03-27 11:00:00,4410.82000000,4421.24000000,4401.65000000,4415.41000000,365.15900000,2026-03-27 11:59:59,1610685.75934800,29564,184.07420000,811902.82924400,0
2026-03-27 12:00:00,4415.44000000,4440.81000000,4408.95000000,4433.30000000,236.67040000,2026-03-27 12:59:59,1047304.48605700,19706,135.16280000,598122.28036700,0
2026-03-27 13:00:00,4433.30000000,4438.29000000,4410.48000000,4428.24000000,249.94900000,2026-03-27 13:59:59,1106141.88047400,17648,126.38280000,559339.08975500,0
2026-03-27 14:00:00,4427.99000000,4505.68000000,4427.49000000,4500.92000000,450.09740000,2026-03-27 14:59:59,2008336.35559000,19001,266.95990000,1191147.71166900,0
2026-03-27 15:00:00,4500.93000000,4545.69000000,4494.16000000,4513.72000000,442.65450000,2026-03-27 15:59:59,2000754.23290400,17428,244.44610000,1105421.77660800,0
2026-03-27 16:00:00,4513.78000000,4522.61000000,4497.83000000,4509.21000000,322.44370000,2026-03-27 16:59:59,1454331.96703600,13446,141.67970000,639047.53747200,0
2026-03-27 17:00:00,4509.08000000,4514.00000000,4478.83000000,4479.00000000,146.51030000,2026-03-27 17:59:59,657994.05870700,9536,63.66160000,285946.15867200,0
2026-03-27 18:00:00,4479.00000000,4524.40000000,4478.99000000,4515.84000000,272.34160000,2026-03-27 18:59:59,1228469.96616400,10209,151.13210000,681633.55815900,0
2026-03-27 19:00:00,4515.84000000,4527.95000000,4505.17000000,4518.23000000,358.21710000,2026-03-27 19:59:59,1618746.81257600,7331,188.48320000,851763.64203200,0
2026-03-27 20:00:00,4518.31000000,4523.69000000,4488.06000000,4489.44000000,184.45500000,2026-03-27 20:59:59,830718.80503700,4814,55.12620000,248308.69386500,0
2026-03-27 21:00:00,4489.43000000,4496.88000000,4483.00000000,4494.31000000,165.19510000,2026-03-27 21:59:59,741412.06980200,7056,46.52310000,208804.93636700,0
2026-03-27 22:00:00,4494.30000000,4495.53000000,4493.25000000,4494.17000000,48.43320000,2026-03-27 22:59:59,217664.31573900,1946,20.73080000,93164.72715600,0
2026-03-27 23:00:00,4494.16000000,4495.59000000,4492.68000000,4494.53000000,96.03200000,2026-03-27 23:59:59,431601.87122400,3584,46.81640000,210410.74077800,0
2026-03-28 00:00:00,4494.53000000,4497.26000000,4494.48000000,4495.01000000,80.24850000,2026-03-28 00:59:59,360769.60657800,3943,38.94860000,175101.57525100,0
2026-03-28 01:00:00,4495.02000000,4495.33000000,4484.80000000,4487.26000000,153.06600000,2026-03-28 01:59:59,687438.49525900,6392,65.24800000,293008.80511000,0
2026-03-28 02:00:00,4487.26000000,4487.37000000,4485.60000000,4486.99000000,200.72330000,2026-03-28 02:59:59,900625.34533000,9012,101.69540000,456304.46297000,0
