Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-07-17 03:00:00,159.00000,167.80000,151.55000,155.32000,10309.72,2026-07-17 03:59:59,1646131.4312000,7856,4246.31,680852.9025000,0
2026-07-17 04:00:00,155.42000,160.36000,152.57000,160.36000,3028.11,2026-07-17 04:59:59,476492.6182000,4532,1686.48,264426.9168000,0
2026-07-17 05:00:00,160.36000,163.68000,140.54000,146.96000,10536.63,2026-07-17 05:59:59,1571025.8362000,15609,5197.58,774978.8500000,0
2026-07-17 06:00:00,146.76000,154.83000,145.78000,146.34000,6863.32,2026-07-17 06:59:59,1029205.4199000,9288,3849.85,577370.5265000,0
2026-07-17 07:00:00,146.50000,147.50000,140.41000,140.43000,4699.77,2026-07-17 07:59:59,675240.5350000,7346,2277.12,327611.2113000,0
2026-07-17 08:00:00,140.86000,145.27000,140.44000,141.09000,4007.54,2026-07-17 08:59:59,571897.3988000,4956,2208.69,315656.1725000,0
2026-07-17 09:00:00,141.09000,142.20000,140.45000,141.97000,2733.69,2026-07-17 09:59:59,386703.6773000,4003,1741.62,246392.1749000,0
2026-07-17 10:00:00,141.97000,145.70000,141.84000,145.48000,4202.55,2026-07-17 10:59:59,604830.1812000,5904,2827.83,407014.6745000,0
2026-07-17 11:00:00,145.40000,146.46000,145.39000,146.39000,1594.03,2026-07-17 11:59:59,232918.8589000,5489,707.93,103450.8535000,0
2026-07-17 12:00:00,146.41000,147.58000,143.88000,144.82000,2454.81,2026-07-17 12:59:59,357405.1305000,7256,1056.88,154023.9555000,0
2026-07-17 13:00:00,144.88000,146.68000,144.00000,146.68000,1353.05,2026-07-17 13:59:59,195750.5481000,4665,692.67,100279.7479000,0
2026-07-17 14:00:00,146.68000,148.49000,145.29000,147.70000,1560.43,2026-07-17 14:59:59,229283.2921000,4535,794.73,116893.4059000,0
2026-07-17 15:00:00,147.67000,147.70000,143.95000,146.59000,2177.91,2026-07-17 15:59:59,316735.2829000,6630,815.36,118669.0727000,0
2026-07-17 16:00:00,146.67000,148.41000,145.96000,146.34000,2103.37,2026-07-17 16:59:59,310166.8156000,5595,989.91,145990.9891000,0
2026-07-17 17:00:00,146.34000,151.07000,146.10000,149.67000,1412.72,2026-07-17 17:59:59,210588.2048000,2320,810.29,120979.6704000,0
2026-07-17 18:00:00,149.67000,149.73000,147.55000,149.16000,538.73,2026-07-17 18:59:59,80011.3156000,1190,216.02,32070.2256000,0
2026-07-17 19:00:00,149.19000,149.76000,148.86000,149.12000,431.16,2026-07-17 19:59:59,64409.6873000,805,149.80,22377.9284000,0
2026-07-17 20:00:00,148.92000,149.08000,147.48000,147.95000,450.43,2026-07-17 20:59:59,66757.1845000,1194,206.05,30555.3204000,0
2026-07-17 21:00:00,147.95000,149.28000,147.00000,148.03000,648.74,2026-07-17 21:59:59,96060.6737000,702,309.51,45900.5073000,0
2026-07-17 22:00:00,148.11000,148.11000,147.00000,147.45000,1002.96,2026-07-17 22:59:59,148041.7090000,1582,459.80,67891.6104000,0
2026-07-17 23:00:00,147.45000,148.12000,146.39000,147.46000,1035.13,2026-07-17 23:59:59,152463.8628000,2228,552.51,81428.2621000,0
2026-07-18 00:00:00,147.54000,149.00000,147.20000,148.19000,722.29,2026-07-18 00:59:59,106917.5542000,1206,497.19,73623.0692000,0
2026-07-18 01:00:00,148.29000,148.84000,146.19000,147.18000,1103.50,2026-07-18 01:59:59,162944.6946000,1861,472.75,69886.4475000,0
2026-07-18 02:00:00,147.14000,148.37000,146.14000,147.22000,1241.49,2026-07-18 02:59:59,182963.4299000,2875,594.42,87644.8605000,0
